Source Name	Characteristics [SampleType]	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Factor Value [Ecotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
BioSource:ATGE_22_C	fresh_sample	Columbia-0	developmental drift; whole plant after transition, but before bolting	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_22_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_22_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_22_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, distal half	  	  	Columbia-0	ATGE_22_C	E-AFMX-9-raw-data-365451398.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.1.zip
BioSource:ATGE_41_A	fresh_sample	Columbia-0	flowers stage 15, sepals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_41_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_41_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_41_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, pedicels	  	  	Columbia-0	ATGE_41_A	E-AFMX-9-raw-data-365453323.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_87_B	fresh_sample	Columbia-0	veg rosette (for phase change)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_87_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_87_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_87_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 10, w/o siliques	  	  	Columbia-0	ATGE_87_B	E-AFMX-9-raw-data-365456613.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_54_A	fresh_sample	lfy-12	flower stage 12 equivalent; flowers converted to leaf-like structures; some shoot characteristics	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_54_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_54_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_54_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number	  	  	clv3-7	ATGE_54_A	E-AFMX-9-raw-data-365454688.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_77_E	fresh_sample	Columbia-0	siliques, w/  seeds stage 4	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_77_E	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_77_E	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_77_E	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	siliques, w/  seeds stage 3	  	  	Columbia-0	ATGE_77_E	E-AFMX-9-raw-data-365455773.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_12_B	fresh_sample	Columbia-0	rosette leaf # 2	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_12_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_12_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_12_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 2	  	  	Columbia-0	ATGE_12_B	E-AFMX-9-raw-data-365450313.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_96_C	fresh_sample	Columbia-0	seedling - green parts	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_96_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_96_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_96_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_96_C	E-AFMX-9-raw-data-365457593.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_40_C	fresh_sample	Columbia-0	flowers stage 15, pedicels	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_40_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_40_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_40_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, vegetative + young leaves	  	  	Columbia-0	ATGE_40_C	E-AFMX-9-raw-data-365453288.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_22_B	fresh_sample	Columbia-0	developmental drift; whole plant after transition, but before bolting	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_22_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_22_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_22_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, distal half	  	  	Columbia-0	ATGE_22_B	E-AFMX-9-raw-data-365451363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_31_C2	fresh_sample	Columbia-0	flowers stage 9	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_31_C2	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_31_C2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_31_C2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_31_C2	E-AFMX-9-raw-data-365452343.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_76_C	fresh_sample	Columbia-0	siliques, w/  seeds stage 3	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_76_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_76_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_76_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	mature pollen	  	  	Columbia-0	ATGE_76_C	E-AFMX-9-raw-data-365455703.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_87_C	fresh_sample	Columbia-0	veg rosette (for phase change)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_87_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_87_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_87_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 10, w/o siliques	  	  	Columbia-0	ATGE_87_C	E-AFMX-9-raw-data-365456648.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_13_B	fresh_sample	Columbia-0	rosette leaf # 4	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_13_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_13_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_13_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 4	  	  	Columbia-0	ATGE_13_B	E-AFMX-9-raw-data-365450418.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.2.zip
BioSource:ATGE_54_B	fresh_sample	lfy-12	flower stage 12 equivalent; flowers converted to leaf-like structures; some shoot characteristics	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_54_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_54_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_54_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number	  	  	clv3-7	ATGE_54_B	E-AFMX-9-raw-data-365454723.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_22_A	fresh_sample	Columbia-0	developmental drift; whole plant after transition, but before bolting	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_22_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_22_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_22_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, distal half	  	  	Columbia-0	ATGE_22_A	E-AFMX-9-raw-data-365451328.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_31_B2	fresh_sample	Columbia-0	flowers stage 9	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_31_B2	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_31_B2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_31_B2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_31_B2	E-AFMX-9-raw-data-365452308.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_97_A	fresh_sample	Columbia-0	seedling - green parts	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_97_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_97_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_97_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_97_A	E-AFMX-9-raw-data-365457628.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_54_C	fresh_sample	lfy-12	flower stage 12 equivalent; flowers converted to leaf-like structures; some shoot characteristics	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_54_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_54_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_54_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number	  	  	clv3-7	ATGE_54_C	E-AFMX-9-raw-data-365454758.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_89_A	fresh_sample	Columbia-0	veg rosette (for phase change)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_89_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_89_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_89_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	veg rosette (for phase change)	  	  	Columbia-0	ATGE_89_A	E-AFMX-9-raw-data-365456683.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_40_B	fresh_sample	Columbia-0	flowers stage 15, pedicels	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_40_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_40_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_40_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, vegetative + young leaves	  	  	Columbia-0	ATGE_40_B	E-AFMX-9-raw-data-365453253.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
