Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE5688GSM133128	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-4	GSE5688GSM133128 sample	GSE5688GSM133128 extract	total_RNA	GSE5688GSM133128 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_4H_B	A-AFFY-2	P-AFFY-6	S0_4H_B	GSM133128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	4	hours
GSE5688GSM133127	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-4	GSE5688GSM133127 sample	GSE5688GSM133127 extract	total_RNA	GSE5688GSM133127 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_4H_A	A-AFFY-2	P-AFFY-6	S0_4H_A	GSM133127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	4	hours
GSE5688GSM133129	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-5	GSE5688GSM133129 sample	GSE5688GSM133129 extract	total_RNA	GSE5688GSM133129 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_8H_A	A-AFFY-2	P-AFFY-6	S0_8H_A	GSM133129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	8	hours
GSE5688GSM133130	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-5	GSE5688GSM133130 sample	GSE5688GSM133130 extract	total_RNA	GSE5688GSM133130 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S0_8H_B	A-AFFY-2	P-AFFY-6	S0_8H_B	GSM133130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium without sulphate	8	hours
GSE5688GSM133131	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-6	GSE5688GSM133131 sample	GSE5688GSM133131 extract	total_RNA	GSE5688GSM133131 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_0H_A	A-AFFY-2	P-AFFY-6	S1500_0H_A	GSM133131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	control	n/a	hours
GSE5688GSM133132	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-6	GSE5688GSM133132 sample	GSE5688GSM133132 extract	total_RNA	GSE5688GSM133132 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_0H_B	A-AFFY-2	P-AFFY-6	S1500_0H_B	GSM133132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	control	n/a	hours
GSE5688GSM133133	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-7	GSE5688GSM133133 sample	GSE5688GSM133133 extract	total_RNA	GSE5688GSM133133 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_12H_A	A-AFFY-2	P-AFFY-6	S1500_12H_A	GSM133133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	12	hours
GSE5688GSM133134	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-7	GSE5688GSM133134 sample	GSE5688GSM133134 extract	total_RNA	GSE5688GSM133134 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_12H_B	A-AFFY-2	P-AFFY-6	S1500_12H_B	GSM133134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	12	hours
GSE5688GSM133136	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-8	GSE5688GSM133136 sample	GSE5688GSM133136 extract	total_RNA	GSE5688GSM133136 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_24H_B	A-AFFY-2	P-AFFY-6	S1500_24H_B	GSM133136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	24	hours
GSE5688GSM133135	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-8	GSE5688GSM133135 sample	GSE5688GSM133135 extract	total_RNA	GSE5688GSM133135 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_24H_A	A-AFFY-2	P-AFFY-6	S1500_24H_A	GSM133135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	24	hours
GSE5688GSM133137	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-9	GSE5688GSM133137 sample	GSE5688GSM133137 extract	total_RNA	GSE5688GSM133137 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_2H_A	A-AFFY-2	P-AFFY-6	S1500_2H_A	GSM133137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	2	hours
GSE5688GSM133138	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 10-day-old plant; Tissue: root	Col-0	10	days	root	P-G5688-9	GSE5688GSM133138 sample	GSE5688GSM133138 extract	total_RNA	GSE5688GSM133138 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S1500_2H_B	A-AFFY-2	P-AFFY-6	S1500_2H_B	GSM133138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.raw.1.zip	E-GEOD-5688-processed-data-1628539268.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5688/E-GEOD-5688.processed.1.zip	transfer to MGRL medium with sulphate	2	hours
