Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1071678 1	Gene expression data from Arabidopsis thaliana camta2/3 mutant at 22?C	Arabidopsis thaliana camta2/3 mutant grown at 22?C	camta2/3 warm biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	camta2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071678 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071678 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071678	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071678_camta23_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071678_sample_table.txt norm	GSM1071678_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta2/3 mutant	grown at 22 C
GSM1071677 1	Gene expression data from Arabidopsis thaliana camta2/3 mutant at 22?C	Arabidopsis thaliana camta2/3 mutant grown at 22?C	camta2/3 warm biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	camta2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071677 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071677 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071677	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071677_camta23_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071677_sample_table.txt norm	GSM1071677_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta2/3 mutant	grown at 22 C
GSM1071676 1	Gene expression data from Arabidopsis thaliana camta1/2 mutant at 22?C	Arabidopsis thaliana camta1/2 mutant grown at 22?C	camta1/2 warm biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071676 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071676 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071676	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071676_camta12_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071676_sample_table.txt norm	GSM1071676_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2 mutant	grown at 22 C
GSM1071675 1	Gene expression data from Arabidopsis thaliana camta1/2 mutant at 22?C	Arabidopsis thaliana camta1/2 mutant grown at 22?C	camta1/2 warm biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071675 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071675 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071675	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071675_camta12_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071675_sample_table.txt norm	GSM1071675_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2 mutant	grown at 22 C
GSM1071674 1	Gene expression data from Arabidopsis thaliana camta1/2 mutant at 22?C	Arabidopsis thaliana camta1/2 mutant grown at 22?C	camta1/2 warm biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071674 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071674 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071674	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071674_camta12_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071674_sample_table.txt norm	GSM1071674_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2 mutant	grown at 22 C
GSM1071673 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 4?C for 24 hrs	Arabidopsis thaliana Col-0 WT grown at 22?C and treated at 4?C for 24 hrs	WT 24h cold, biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071673 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071673 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071673	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071673_wt_24hcold_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071673_sample_table.txt norm	GSM1071673_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C and treated at 4 C for 24 hours
GSM1071672 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 4?C for 24 hrs	Arabidopsis thaliana Col-0 WT grown at 22?C and treated at 4?C for 24 hrs	WT 24h cold, biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071672 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071672 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071672	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071672_wt_24hcold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071672_sample_table.txt norm	GSM1071672_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C and treated at 4 C for 24 hours
GSM1071671 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 4?C for 24 hrs	Arabidopsis thaliana Col-0 WT grown at 22?C and treated at 4?C for 24 hrs	WT 24h cold, biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071671 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071671 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071671	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071671_wt_24hcold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071671_sample_table.txt norm	GSM1071671_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C and treated at 4 C for 24 hours
GSM1071670 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 22?C	Arabidopsis thaliana Col-0 WT grown at 22?C	WT warm, biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071670 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071670 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071670	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071670_wt_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071670_sample_table.txt norm	GSM1071670_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C
GSM1071669 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 22?C	Arabidopsis thaliana Col-0 WT grown at 22?C	WT warm, biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071669 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071669 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071669	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071669_wt_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071669_sample_table.txt norm	GSM1071669_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C
GSM1071668 1	Gene expression data from Arabidopsis thaliana Col-0 WT at 22?C	Arabidopsis thaliana Col-0 WT grown at 22?C	WT warm, biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071668 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071668 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071668	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071668_wt_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071668_sample_table.txt norm	GSM1071668_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	wild type	grown at 22 C
