Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM539321 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539321 extract 1	total RNA	P-GSE21601-5	GSM539321 LE 1	biotin	P-GSE21601-6	GSM539321	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539321_sample_table.txt norm	GSM539321_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539320 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539320 extract 1	total RNA	P-GSE21601-5	GSM539320 LE 1	biotin	P-GSE21601-6	GSM539320	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539320_sample_table.txt norm	GSM539320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539319 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539319 extract 1	total RNA	P-GSE21601-5	GSM539319 LE 1	biotin	P-GSE21601-6	GSM539319	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539319_sample_table.txt norm	GSM539319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539318 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539318 extract 1	total RNA	P-GSE21601-5	GSM539318 LE 1	biotin	P-GSE21601-6	GSM539318	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539318_sample_table.txt norm	GSM539318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539317 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539317 extract 1	total RNA	P-GSE21601-5	GSM539317 LE 1	biotin	P-GSE21601-6	GSM539317	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539317.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539317_sample_table.txt norm	GSM539317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539316 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539316 extract 1	total RNA	P-GSE21601-5	GSM539316 LE 1	biotin	P-GSE21601-6	GSM539316	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539316_sample_table.txt norm	GSM539316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539315 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539315 extract 1	total RNA	P-GSE21601-5	GSM539315 LE 1	biotin	P-GSE21601-6	GSM539315	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539315_sample_table.txt norm	GSM539315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539314 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539314 extract 1	total RNA	P-GSE21601-5	GSM539314 LE 1	biotin	P-GSE21601-6	GSM539314	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539314_sample_table.txt norm	GSM539314_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539313 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539313 extract 1	total RNA	P-GSE21601-5	GSM539313 LE 1	biotin	P-GSE21601-6	GSM539313	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539313.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539313_sample_table.txt norm	GSM539313_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539312 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539312 extract 1	total RNA	P-GSE21601-5	GSM539312 LE 1	biotin	P-GSE21601-6	GSM539312	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539312.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539312_sample_table.txt norm	GSM539312_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539311 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539311 extract 1	total RNA	P-GSE21601-5	GSM539311 LE 1	biotin	P-GSE21601-6	GSM539311	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539311_sample_table.txt norm	GSM539311_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
GSM539310 1	Gene expression data before 2 hours treatment	14 days-old Arabidopsis thaliana	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	whole organism	P-GSE21601-2	P-GSE21601-3	P-GSE21601-4	GSM539310 extract 1	total RNA	P-GSE21601-5	GSM539310 LE 1	biotin	P-GSE21601-6	GSM539310	A-AFFY-2	P-GSE21601-7	P-GSE21601-8	GSM539310.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.raw.1.zip	P-GSE21601-1	GSM539310_sample_table.txt norm	GSM539310_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21601/E-GEOD-21601.processed.1.zip	wild type
