Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[biological replicate]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [BIOLOGICAL REPLICATE]	FactorValue [ORGANISM PART]	FactorValue [TREATMENT]
GSM731464 1	aerial organ explants, callus induction, 12 h	aerial organ explants, incubated on callus inducing medium, 12 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731464 extract 1	total RNA	P-GSE29543-5	GSM731464 LE 1	biotin	P-GSE29543-6	GSM731464	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731464_CB2009176_xcy2_2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731464_sample_table.txt norm	GSM731464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	aerial organ explants	12 hours after incubating on callus inducing medium
GSM731463 1	aerial organ explants, callus induction, 12 h	aerial organ explants, incubated on callus inducing medium, 12 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731463 extract 1	total RNA	P-GSE29543-5	GSM731463 LE 1	biotin	P-GSE29543-6	GSM731463	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731463_CB2009176_xcy1_2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731463_sample_table.txt norm	GSM731463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	aerial organ explants	12 hours after incubating on callus inducing medium
GSM731462 1	aerial organ explants, callus induction, 0 h	aerial organ explants, incubated on callus inducing medium, 0 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731462 extract 1	total RNA	P-GSE29543-5	GSM731462 LE 1	biotin	P-GSE29543-6	GSM731462	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731462_CB2009176_xcy3_1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731462_sample_table.txt norm	GSM731462_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	aerial organ explants	0 hours after incubating on callus inducing medium
GSM731461 1	aerial organ explants, callus induction, 0 h	aerial organ explants, incubated on callus inducing medium, 0 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731461 extract 1	total RNA	P-GSE29543-5	GSM731461 LE 1	biotin	P-GSE29543-6	GSM731461	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731461_CB2009176_xcy2_1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731461_sample_table.txt norm	GSM731461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	aerial organ explants	0 hours after incubating on callus inducing medium
GSM731452 1	aerial organ explants, callus induction, 0 h	aerial organ explants, incubated on callus inducing medium, 0 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	aerial organ explants	P-GSE29543-9	P-GSE29543-4	GSM731452 extract 1	total RNA	P-GSE29543-5	GSM731452 LE 1	biotin	P-GSE29543-6	GSM731452	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731452_CB2009176_xcy1_1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731452_sample_table.txt norm	GSM731452_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	aerial organ explants	0 hours after incubating on callus inducing medium
GSM731451 1	root explants, callus induction, 96 h	root explants, incubated on callus inducing medium, 96 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731451 extract 1	total RNA	P-GSE29543-5	GSM731451 LE 1	biotin	P-GSE29543-6	GSM731451	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731451_XCY3_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731451_sample_table.txt norm	GSM731451_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	root explants	96 hours after incubating on callus inducing medium
GSM731310 1	root explants, callus induction, 96 h	root explants, incubated on callus inducing medium, 96 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731310 extract 1	total RNA	P-GSE29543-5	GSM731310 LE 1	biotin	P-GSE29543-6	GSM731310	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731310_XCY2_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731310_sample_table.txt norm	GSM731310_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	root explants	96 hours after incubating on callus inducing medium
GSM731309 1	root explants, callus induction, 96 h	root explants, incubated on callus inducing medium, 96 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731309 extract 1	total RNA	P-GSE29543-5	GSM731309 LE 1	biotin	P-GSE29543-6	GSM731309	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731309_XCY1_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731309_sample_table.txt norm	GSM731309_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	root explants	96 hours after incubating on callus inducing medium
GSM731308 1	root explants, callus induction, 48 h	root explants, incubated on callus inducing medium, 48 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731308 extract 1	total RNA	P-GSE29543-5	GSM731308 LE 1	biotin	P-GSE29543-6	GSM731308	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731308_XCY3_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731308_sample_table.txt norm	GSM731308_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	root explants	48 hours after incubating on callus inducing medium
GSM731307 1	root explants, callus induction, 48 h	root explants, incubated on callus inducing medium, 48 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731307 extract 1	total RNA	P-GSE29543-5	GSM731307 LE 1	biotin	P-GSE29543-6	GSM731307	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731307_XCY2_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731307_sample_table.txt norm	GSM731307_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	root explants	48 hours after incubating on callus inducing medium
GSM731306 1	root explants, callus induction, 48 h	root explants, incubated on callus inducing medium, 48 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731306 extract 1	total RNA	P-GSE29543-5	GSM731306 LE 1	biotin	P-GSE29543-6	GSM731306	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731306_XCY1_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731306_sample_table.txt norm	GSM731306_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	root explants	48 hours after incubating on callus inducing medium
GSM731305 1	root explants, callus induction, 24 h	root explants, incubated on callus inducing medium, 24 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731305 extract 1	total RNA	P-GSE29543-5	GSM731305 LE 1	biotin	P-GSE29543-6	GSM731305	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731305_XCY3_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731305_sample_table.txt norm	GSM731305_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	root explants	24 hours after incubating on callus inducing medium
GSM731304 1	root explants, callus induction, 24 h	root explants, incubated on callus inducing medium, 24 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731304 extract 1	total RNA	P-GSE29543-5	GSM731304 LE 1	biotin	P-GSE29543-6	GSM731304	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731304_XCY2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731304_sample_table.txt norm	GSM731304_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	root explants	24 hours after incubating on callus inducing medium
GSM731303 1	root explants, callus induction, 24 h	root explants, incubated on callus inducing medium, 24 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731303 extract 1	total RNA	P-GSE29543-5	GSM731303 LE 1	biotin	P-GSE29543-6	GSM731303	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731303_XCY1_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731303_sample_table.txt norm	GSM731303_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	root explants	24 hours after incubating on callus inducing medium
GSM731302 1	root explants, callus induction, 12 h	root explants, incubated on callus inducing medium, 12 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731302 extract 1	total RNA	P-GSE29543-5	GSM731302 LE 1	biotin	P-GSE29543-6	GSM731302	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731302_XCY3_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-2	GSM731302_sample_table.txt norm	GSM731302_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	root explants	12 hours after incubating on callus inducing medium
GSM731301 1	root explants, callus induction, 12 h	root explants, incubated on callus inducing medium, 12 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731301 extract 1	total RNA	P-GSE29543-5	GSM731301 LE 1	biotin	P-GSE29543-6	GSM731301	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731301_XCY2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731301_sample_table.txt norm	GSM731301_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	root explants	12 hours after incubating on callus inducing medium
GSM731298 1	root explants, callus induction, 12 h	root explants, incubated on callus inducing medium, 12 h, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731298 extract 1	total RNA	P-GSE29543-5	GSM731298 LE 1	biotin	P-GSE29543-6	GSM731298	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731298_XCY1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731298_sample_table.txt norm	GSM731298_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	1 of three	root explants	12 hours after incubating on callus inducing medium
GSM731297 1	root explants, callus induction, 0 h	root explants, incubated on callus inducing medium, 0 h, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731297 extract 1	total RNA	P-GSE29543-5	GSM731297 LE 1	biotin	P-GSE29543-6	GSM731297	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731297_XCY3_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731297_sample_table.txt norm	GSM731297_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	3 of three	root explants	0 hours after incubating on callus inducing medium
GSM731296 1	root explants, callus induction, 0 h	root explants, incubated on callus inducing medium, 0 h, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 of three	Columbia-0, wild-type	root explants	P-GSE29543-3	P-GSE29543-4	GSM731296 extract 1	total RNA	P-GSE29543-5	GSM731296 LE 1	biotin	P-GSE29543-6	GSM731296	A-AFFY-2	  	P-GSE29543-7	P-GSE29543-8	GSM731296_XCY2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.raw.1.zip	P-GSE29543-1	GSM731296_sample_table.txt norm	GSM731296_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29543/E-GEOD-29543.processed.1.zip	2 of three	root explants	0 hours after incubating on callus inducing medium
