Source Name	Material Type	Provider	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[specimen with known storage state]	Characteristics[organism part]	Characteristics[temperature]	Unit[temperature unit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[temperature]	Unit[temperature unit]	Factor Value [organism part]
Sample12	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample12 RNA	P-MTAB-34009	Sample12 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 12	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-083_63-18degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	micropylar endosperm
Sample13	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample13 RNA	P-MTAB-34009	Sample13 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 13	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-084_64-18degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	radicle
Sample14	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample14 RNA	P-MTAB-34009	Sample14 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 14	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-085_65-18degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	radicle
Sample15	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample15 RNA	P-MTAB-34009	Sample15 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 15	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-086_66-18degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	radicle
Sample16	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	18	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample16 RNA	P-MTAB-34009	Sample16 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 16	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-087_67-18degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	18	degree celsius	radicle
Sample17	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample17 RNA	P-MTAB-34009	Sample17 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 17	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-088_69-27degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	micropylar endosperm
Sample18	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample18 RNA	P-MTAB-34009	Sample18 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 18	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-089_70-27degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	micropylar endosperm
Sample19	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample19 RNA	P-MTAB-34009	Sample19 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 19	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-090_71-27degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	micropylar endosperm
Sample20	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample20 RNA	P-MTAB-34009	Sample20 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 20	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-091_72-27degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	micropylar endosperm
Sample21	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample21 RNA	P-MTAB-34009	Sample21 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 21	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-092_74-27degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	radicle
Sample22	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample22 RNA	P-MTAB-34009	Sample22 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 22	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-093_76-27degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	radicle
Sample23	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample23 RNA	P-MTAB-34009	Sample23 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 23	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-094_77-27degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	radicle
Sample24	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	27	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample24 RNA	P-MTAB-34009	Sample24 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 24	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-095_78-27degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	27	degree celsius	radicle
Sample25	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample25 RNA	P-MTAB-34009	Sample25 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 25	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-096_79-32degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	micropylar endosperm
Sample26	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample26 RNA	P-MTAB-34009	Sample26 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 26	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-097_80-32degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	micropylar endosperm
Sample27	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample27 RNA	P-MTAB-34009	Sample27 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 27	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-098_81-32degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	micropylar endosperm
Sample28	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	micropylar endosperm	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample28 RNA	P-MTAB-34009	Sample28 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 28	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-110_Repl-32degreesCAP.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	micropylar endosperm
Sample29	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample29 RNA	P-MTAB-34009	Sample29 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 29	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-100_84-32degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	radicle
Sample30	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample30 RNA	P-MTAB-34009	Sample30 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 30	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-102_86-32degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	radicle
Sample31	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample31 RNA	P-MTAB-34009	Sample31 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 31	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-103_87-32degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	radicle
Sample32	organism part	Juliwa, Heidelberg, Germany	Lepidium sativum	seed	fresh_sample	radicle	32	degree celsius	P-MTAB-34006	P-MTAB-34007	P-MTAB-34008	Sample32 RNA	P-MTAB-34009	Sample32 labeled_extract	biotin	P-AFFY-3	ArrayExpress	Assay 32	A-AFFY-2	array assay	P-AFFY-6	ArrayExpress	101650-111_Repl-32degreesRAD.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1811/E-MTAB-1811.raw.1.zip	32	degree celsius	radicle
