Source Name	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Genotype]	Factor Value [Ecotype]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE576GSM8852	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8852 sample	GSE576GSM8852 extract	total_RNA	GSE576GSM8852 LE.biotin	biotin	synthetic_RNA	co-2_0_2	A-AFFY-2	0	d	co-2	Landsberg erecta	co-2_0_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8827	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8827 sample	GSE576GSM8827 extract	total_RNA	GSE576GSM8827 LE.biotin	biotin	synthetic_RNA	Col_0_1	A-AFFY-2	0	d	wild_type	Columbia-0	Col_0_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8838	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8838 sample	GSE576GSM8838 extract	total_RNA	GSE576GSM8838 LE.biotin	biotin	synthetic_RNA	lfy-12_3_2	A-AFFY-2	3	d	lfy-12	Columbia-0	lfy-12_3_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8839	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8839 sample	GSE576GSM8839 extract	total_RNA	GSE576GSM8839 LE.biotin	biotin	synthetic_RNA	lfy-12_5_1	A-AFFY-2	5	d	lfy-12	Columbia-0	lfy-12_5_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8832	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8832 sample	GSE576GSM8832 extract	total_RNA	GSE576GSM8832 LE.biotin	biotin	synthetic_RNA	Col_5_2	A-AFFY-2	5	d	wild_type	Columbia-0	Col_5_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8845	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8845 sample	GSE576GSM8845 extract	total_RNA	GSE576GSM8845 LE.biotin	biotin	synthetic_RNA	Ler_3_1	A-AFFY-2	3	d	wild_type	Landsberg erecta	Ler_3_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8856	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8856 sample	GSE576GSM8856 extract	total_RNA	GSE576GSM8856 LE.biotin	biotin	synthetic_RNA	co-2_5_2	A-AFFY-2	5	d	co-2	Landsberg erecta	co-2_5_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8842	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8842 sample	GSE576GSM8842 extract	total_RNA	GSE576GSM8842 LE.biotin	biotin	synthetic_RNA	lfy-12_7_2	A-AFFY-2	7	d	lfy-12	Columbia-0	lfy-12_7_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8833	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8833 sample	GSE576GSM8833 extract	total_RNA	GSE576GSM8833 LE.biotin	biotin	synthetic_RNA	Col_7_1	A-AFFY-2	7	d	wild_type	Columbia-0	Col_7_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8831	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8831 sample	GSE576GSM8831 extract	total_RNA	GSE576GSM8831 LE.biotin	biotin	synthetic_RNA	Col_5_1	A-AFFY-2	5	d	wild_type	Columbia-0	Col_5_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8841	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8841 sample	GSE576GSM8841 extract	total_RNA	GSE576GSM8841 LE.biotin	biotin	synthetic_RNA	lfy-12_7_1	A-AFFY-2	7	d	lfy-12	Columbia-0	lfy-12_7_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8836	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8836 sample	GSE576GSM8836 extract	total_RNA	GSE576GSM8836 LE.biotin	biotin	synthetic_RNA	lfy-12_0_2	A-AFFY-2	0	d	lfy-12	Columbia-0	lfy-12_0_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8857	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8857 sample	GSE576GSM8857 extract	total_RNA	GSE576GSM8857 LE.biotin	biotin	synthetic_RNA	co-2_7_1	A-AFFY-2	7	d	co-2	Landsberg erecta	co-2_7_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8850	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8850 sample	GSE576GSM8850 extract	total_RNA	GSE576GSM8850 LE.biotin	biotin	synthetic_RNA	Ler_7_2	A-AFFY-2	7	d	wild_type	Landsberg erecta	Ler_7_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8861	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8861 sample	GSE576GSM8861 extract	total_RNA	GSE576GSM8861 LE.biotin	biotin	synthetic_RNA	ft-2_3_1	A-AFFY-2	3	d	ft-2	Landsberg erecta	ft-2_3_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8828	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8828 sample	GSE576GSM8828 extract	total_RNA	GSE576GSM8828 LE.biotin	biotin	synthetic_RNA	Col_0_2	A-AFFY-2	0	d	wild_type	Columbia-0	Col_0_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8849	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8849 sample	GSE576GSM8849 extract	total_RNA	GSE576GSM8849 LE.biotin	biotin	synthetic_RNA	Ler_7_1	A-AFFY-2	7	d	wild_type	Landsberg erecta	Ler_7_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8854	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8854 sample	GSE576GSM8854 extract	total_RNA	GSE576GSM8854 LE.biotin	biotin	synthetic_RNA	co-2_3_2	A-AFFY-2	3	d	co-2	Landsberg erecta	co-2_3_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8830	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8830 sample	GSE576GSM8830 extract	total_RNA	GSE576GSM8830 LE.biotin	biotin	synthetic_RNA	Col_3_2	A-AFFY-2	3	d	wild_type	Columbia-0	Col_3_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8837	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8837 sample	GSE576GSM8837 extract	total_RNA	GSE576GSM8837 LE.biotin	biotin	synthetic_RNA	lfy-12_3_1	A-AFFY-2	3	d	lfy-12	Columbia-0	lfy-12_3_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8866	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8866 sample	GSE576GSM8866 extract	total_RNA	GSE576GSM8866 LE.biotin	biotin	synthetic_RNA	ft-2_7_2	A-AFFY-2	7	d	ft-2	Landsberg erecta	ft-2_7_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8846	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8846 sample	GSE576GSM8846 extract	total_RNA	GSE576GSM8846 LE.biotin	biotin	synthetic_RNA	Ler_3_2	A-AFFY-2	3	d	wild_type	Landsberg erecta	Ler_3_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8859	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8859 sample	GSE576GSM8859 extract	total_RNA	GSE576GSM8859 LE.biotin	biotin	synthetic_RNA	ft-2_0_1	A-AFFY-2	0	d	ft-2	Landsberg erecta	ft-2_0_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8834	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	GSE576GSM8834 sample	GSE576GSM8834 extract	total_RNA	GSE576GSM8834 LE.biotin	biotin	synthetic_RNA	Col_7_2	A-AFFY-2	7	d	wild_type	Columbia-0	Col_7_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8858	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8858 sample	GSE576GSM8858 extract	total_RNA	GSE576GSM8858 LE.biotin	biotin	synthetic_RNA	co-2_7_2	A-AFFY-2	7	d	co-2	Landsberg erecta	co-2_7_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8844	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8844 sample	GSE576GSM8844 extract	total_RNA	GSE576GSM8844 LE.biotin	biotin	synthetic_RNA	Ler_0_2	A-AFFY-2	0	d	wild_type	Landsberg erecta	Ler_0_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8853	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8853 sample	GSE576GSM8853 extract	total_RNA	GSE576GSM8853 LE.biotin	biotin	synthetic_RNA	co-2_3_1	A-AFFY-2	3	d	co-2	Landsberg erecta	co-2_3_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8862	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8862 sample	GSE576GSM8862 extract	total_RNA	GSE576GSM8862 LE.biotin	biotin	synthetic_RNA	ft-2_3_2	A-AFFY-2	3	d	ft-2	Landsberg erecta	ft-2_3_2	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8865	ft-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8865 sample	GSE576GSM8865 extract	total_RNA	GSE576GSM8865 LE.biotin	biotin	synthetic_RNA	ft-2_7_1	A-AFFY-2	7	d	ft-2	Landsberg erecta	ft-2_7_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
GSE576GSM8855	co-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	GSE576GSM8855 sample	GSE576GSM8855 extract	total_RNA	GSE576GSM8855 LE.biotin	biotin	synthetic_RNA	co-2_5_1	A-AFFY-2	5	d	co-2	Landsberg erecta	co-2_5_1	E-GEOD-576-processed-data-1442077265.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-576/E-GEOD-576.processed.1.zip
