Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[antibody]	Characteristics[antibody manufacturer]	Characteristics[cell type]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[longitudinal zone]	Characteristics[marker line]	Characteristics[media]	Characteristics[teatment]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [CELL TYPE]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [GENOTYPE]	FactorValue [LONGITUDINAL ZONE]	FactorValue [MARKER LINE]	FactorValue [MEDIA]	FactorValue [TEATMENT]	FactorValue [TREATMENT]
GSM744832 1	  	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, low sulfur, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	3	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744832 extract 1	total RNA	P-GSE30166-20	GSM744832 LE 1	biotin	P-GSE30166-15	GSM744832	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744832_sample_table.txt norm	GSM744832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	3	not specified	not specified	not specified	not specified
GSM744831 1	  	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, low sulfur, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	3	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744831 extract 1	total RNA	P-GSE30166-20	GSM744831 LE 1	biotin	P-GSE30166-15	GSM744831	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744831_sample_table.txt norm	GSM744831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	3	not specified	not specified	not specified	not specified
GSM744830 1	  	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, low sulfur, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	2	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744830 extract 1	total RNA	P-GSE30166-20	GSM744830 LE 1	biotin	P-GSE30166-15	GSM744830	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744830_sample_table.txt norm	GSM744830_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	2	not specified	not specified	not specified	not specified
GSM744829 1	  	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, low sulfur, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	2	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744829 extract 1	total RNA	P-GSE30166-20	GSM744829 LE 1	biotin	P-GSE30166-15	GSM744829	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744829.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744829_sample_table.txt norm	GSM744829_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	2	not specified	not specified	not specified	not specified
GSM744828 1	  	Gene expression data from root developmental stage zone 1	root tissue	Arabidopsis root section, longitudinal zone 1, low sulfur, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	1	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744828 extract 1	total RNA	P-GSE30166-20	GSM744828 LE 1	biotin	P-GSE30166-15	GSM744828	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744828_sample_table.txt norm	GSM744828_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	1	not specified	not specified	not specified	not specified
GSM744827 1	  	Gene expression data from root developmental stage zone 1	root tissue	Arabidopsis root section, longitudinal zone 1, low sulfur, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	  	Columbia	  	1	  	  	  	P-GSE30166-29	P-GSE30166-28	P-GSE30166-19	GSM744827 extract 1	total RNA	P-GSE30166-20	GSM744827 LE 1	biotin	P-GSE30166-15	GSM744827	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744827_sample_table.txt norm	GSM744827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	not specified	not specified	1	not specified	not specified	not specified	not specified
GSM744826 1	  	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	stele	  	Columbia	  	  	pWOL::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744826 extract 1	total RNA	P-GSE30166-14	GSM744826 LE 1	biotin	P-GSE30166-15	GSM744826	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744826_sample_table.txt norm	GSM744826_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	stele	not specified	not specified	not specified	pWOL::GFP	not specified	not specified	not specified
GSM744825 1	  	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	stele	  	Columbia	  	  	pWOL::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744825 extract 1	total RNA	P-GSE30166-14	GSM744825 LE 1	biotin	P-GSE30166-15	GSM744825	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744825_sample_table.txt norm	GSM744825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	stele	not specified	not specified	not specified	pWOL::GFP	not specified	not specified	not specified
GSM744824 1	  	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	stele	  	Columbia	  	  	pWOL::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744824 extract 1	total RNA	P-GSE30166-14	GSM744824 LE 1	biotin	P-GSE30166-15	GSM744824	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744824_sample_table.txt norm	GSM744824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	stele	not specified	not specified	not specified	pWOL::GFP	not specified	not specified	not specified
GSM744823 1	  	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	endodermis and quiescent center	  	Columbia	  	  	pSCR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744823 extract 1	total RNA	P-GSE30166-14	GSM744823 LE 1	biotin	P-GSE30166-15	GSM744823	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744823.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744823_sample_table.txt norm	GSM744823_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	endodermis and quiescent center	not specified	not specified	not specified	pSCR::GFP	not specified	not specified	not specified
GSM744822 1	  	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	endodermis and quiescent center	  	Columbia	  	  	pSCR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744822 extract 1	total RNA	P-GSE30166-14	GSM744822 LE 1	biotin	P-GSE30166-15	GSM744822	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744822_sample_table.txt norm	GSM744822_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	endodermis and quiescent center	not specified	not specified	not specified	pSCR::GFP	not specified	not specified	not specified
GSM744821 1	  	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	endodermis and quiescent center	  	Columbia	  	  	pSCR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744821 extract 1	total RNA	P-GSE30166-14	GSM744821 LE 1	biotin	P-GSE30166-15	GSM744821	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744821.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744821_sample_table.txt norm	GSM744821_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	endodermis and quiescent center	not specified	not specified	not specified	pSCR::GFP	not specified	not specified	not specified
GSM744820 1	  	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	cortex	  	Columbia	  	  	pCOR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744820 extract 1	total RNA	P-GSE30166-14	GSM744820 LE 1	biotin	P-GSE30166-15	GSM744820	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744820.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744820_sample_table.txt norm	GSM744820_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	cortex	not specified	not specified	not specified	pCOR::GFP	not specified	not specified	not specified
GSM744819 1	  	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	cortex	  	Columbia	  	  	pCOR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744819 extract 1	total RNA	P-GSE30166-14	GSM744819 LE 1	biotin	P-GSE30166-15	GSM744819	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744819_sample_table.txt norm	GSM744819_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	cortex	not specified	not specified	not specified	pCOR::GFP	not specified	not specified	not specified
