Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[ecotype]	Characteristics[germplasm]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[inoculation]	FactorValue[treatment time]	Unit[time unit]
GSE5686GSM133103	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 30-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-15	GSE5686GSM133103 sample	GSE5686GSM133103 extract	total_RNA	GSE5686GSM133103 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 24H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 24H	GSM133103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	24	hour
GSE5686GSM133099	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 30-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-15	GSE5686GSM133099 sample	GSE5686GSM133099 extract	total_RNA	GSE5686GSM133099 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 24H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 24H INFECTED	GSM133099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	24	hour
GSE5686GSM133069	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 31-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-1	GSE5686GSM133069 sample	GSE5686GSM133069 extract	total_RNA	GSE5686GSM133069 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 02D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 02D INFECTED	GSM133069.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	48	hour
GSE5686GSM133104	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 31-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-1	GSE5686GSM133104 sample	GSE5686GSM133104 extract	total_RNA	GSE5686GSM133104 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 2D	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 2D	GSM133104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	48	hour
GSE5686GSM133085	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 31-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-1	GSE5686GSM133085 sample	GSE5686GSM133085 extract	total_RNA	GSE5686GSM133085 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 02D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 02D INFECTED	GSM133085.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	48	hour
GSE5686GSM133105	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 32-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-3	GSE5686GSM133105 sample	GSE5686GSM133105 extract	total_RNA	GSE5686GSM133105 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 3D	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 3D	GSM133105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	72	hour
GSE5686GSM133087	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 32-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-3	GSE5686GSM133087 sample	GSE5686GSM133087 extract	total_RNA	GSE5686GSM133087 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 03D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 03D INFECTED	GSM133087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	72	hour
GSE5686GSM133071	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 32-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-3	GSE5686GSM133071 sample	GSE5686GSM133071 extract	total_RNA	GSE5686GSM133071 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 03D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 03D INFECTED	GSM133071.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	72	hour
GSE5686GSM133073	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 33-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-5	GSE5686GSM133073 sample	GSE5686GSM133073 extract	total_RNA	GSE5686GSM133073 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 04D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 04D INFECTED	GSM133073.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	96	hour
GSE5686GSM133106	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 33-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-5	GSE5686GSM133106 sample	GSE5686GSM133106 extract	total_RNA	GSE5686GSM133106 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 4D	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 4D	GSM133106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	96	hour
GSE5686GSM133089	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 33-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-5	GSE5686GSM133089 sample	GSE5686GSM133089 extract	total_RNA	GSE5686GSM133089 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 04D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 04D INFECTED	GSM133089.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	96	hour
GSE5686GSM133091	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 34-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-7	GSE5686GSM133091 sample	GSE5686GSM133091 extract	total_RNA	GSE5686GSM133091 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 05D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 05D INFECTED	GSM133091.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	120	hour
GSE5686GSM133075	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 34-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-7	GSE5686GSM133075 sample	GSE5686GSM133075 extract	total_RNA	GSE5686GSM133075 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 05D INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 05D INFECTED	GSM133075.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	120	hour
GSE5686GSM133107	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 34-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-7	GSE5686GSM133107 sample	GSE5686GSM133107 extract	total_RNA	GSE5686GSM133107 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 5D	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 5D	GSM133107.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	120	hour
GSE5686GSM133078	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-10	GSE5686GSM133078 sample	GSE5686GSM133078 extract	total_RNA	GSE5686GSM133078 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 06H UNINFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 06H UNINFECTED	GSM133078.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	none	6	hour
GSE5686GSM133116	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-10	GSE5686GSM133116 sample	GSE5686GSM133116 extract	total_RNA	GSE5686GSM133116 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 UNINF 6H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 UNINF 6H	GSM133116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	none	6	hour
GSE5686GSM133094	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-10	GSE5686GSM133094 sample	GSE5686GSM133094 extract	total_RNA	GSE5686GSM133094 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 06H UNINFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 06H UNINFECTED	GSM133094.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	none	6	hour
GSE5686GSM133109	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-12	GSE5686GSM133109 sample	GSE5686GSM133109 extract	total_RNA	GSE5686GSM133109 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 UNINF 12H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 UNINF 12H	GSM133109.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	none	12	hour
