Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Characteristics[Genotype]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Assay Name	Technology Type	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	Factor Value[growth condition]	Factor Value[genotype]	Factor Value[organism part]	Factor Value [RNA]
GSE14502GSM362178	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA, Root polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362178 sample	organism part	P-G14502-5	GSE14502GSM362178 extract	total RNA	P-G14502-3	GSE14502GSM362178 LE biotin	synthetic RNA	biotin	root_hypoxia_p35S_rep1	array assay	A-AFFY-2	GSM362178	GSM362178.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362178 Norm	GSM362178_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	p35S:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362179	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA, Root polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362179 sample	organism part	P-G14502-5	GSE14502GSM362179 extract	total RNA	P-G14502-3	GSE14502GSM362179 LE biotin	synthetic RNA	biotin	root_hypoxia_p35S_rep3	array assay	A-AFFY-2	GSM362179	GSM362179.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362179 Norm	GSM362179_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	p35S:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362180	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pSCR-enriched polysomal mRNA, Root endodermis RNA under control conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pSCR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362180 sample	organism part	P-G14502-5	GSE14502GSM362180 extract	total RNA	P-G14502-3	GSE14502GSM362180 LE biotin	synthetic RNA	biotin	root_control_pSCR_rep1	array assay	A-AFFY-2	GSM362180	GSM362180.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362180 Norm	GSM362180_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	pSCR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362181	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pSCR-enriched polysomal mRNA, Root endodermis RNA under control conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pSCR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362181 sample	organism part	P-G14502-5	GSE14502GSM362181 extract	total RNA	P-G14502-3	GSE14502GSM362181 LE biotin	synthetic RNA	biotin	root_control_pSCR_rep2	array assay	A-AFFY-2	GSM362181	GSM362181.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362181 Norm	GSM362181_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	pSCR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362182	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSCR-enriched polysomal mRNA, Root endodermis RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pSCR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362182 sample	organism part	P-G14502-5	GSE14502GSM362182 extract	total RNA	P-G14502-3	GSE14502GSM362182 LE biotin	synthetic RNA	biotin	root_hypoxia_pSCR_rep1	array assay	A-AFFY-2	GSM362182	GSM362182.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362182 Norm	GSM362182_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	pSCR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362183	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSCR-enriched polysomal mRNA, Root endodermis RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSCR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSCR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pSCR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362183 sample	organism part	P-G14502-5	GSE14502GSM362183 extract	total RNA	P-G14502-3	GSE14502GSM362183 LE biotin	synthetic RNA	biotin	root_hypoxia_pSCR_rep2	array assay	A-AFFY-2	GSM362183	GSM362183.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362183 Norm	GSM362183_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	pSCR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362184	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pSHR-enriched polysomal mRNA, Root vascular (SHR) RNA under control conditions. Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pSHR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pSHR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362184 sample	organism part	P-G14502-5	GSE14502GSM362184 extract	total RNA	P-G14502-3	GSE14502GSM362184 LE biotin	synthetic RNA	biotin	root_control_pSHR_rep1	array assay	A-AFFY-2	GSM362184	GSM362184.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362184 Norm	GSM362184_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	pSHR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362185	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pSHR-enriched polysomal mRNA, Root vascular (SHR) RNA under control conditions. Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pSHR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pSHR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362185 sample	organism part	P-G14502-5	GSE14502GSM362185 extract	total RNA	P-G14502-3	GSE14502GSM362185 LE biotin	synthetic RNA	biotin	root_control_pSHR_rep2	array assay	A-AFFY-2	GSM362185	GSM362185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362185 Norm	GSM362185_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	control	pSHR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362186	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSHR-enriched polysomal mRNA, Root vascular (SHR) RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSHR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pSHR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362186 sample	organism part	P-G14502-5	GSE14502GSM362186 extract	total RNA	P-G14502-3	GSE14502GSM362186 LE biotin	synthetic RNA	biotin	root_hypoxia_pSHR_rep1	array assay	A-AFFY-2	GSM362186	GSM362186.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362186 Norm	GSM362186_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	pSHR:His6FLAG-RPL18B	root	polysomal mRNA
GSE14502GSM362187	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSHR-enriched polysomal mRNA, Root vascular (SHR) RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pSHR-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pSHR:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pSHR:His6FLAG-RPL18B	root	7	day	seedling	Col-0	P-G14502-1	P-G14502-2	GSE14502GSM362187 sample	organism part	P-G14502-5	GSE14502GSM362187 extract	total RNA	P-G14502-3	GSE14502GSM362187 LE biotin	synthetic RNA	biotin	root_hypoxia_pSHR_rep2	array assay	A-AFFY-2	GSM362187	GSM362187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.raw.1.zip	P-G14502-4	GSE14502GSM362187 Norm	GSM362187_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14502/E-GEOD-14502.processed.1.zip	ATH1-121501.CDF	hypoxia	pSHR:His6FLAG-RPL18B	root	polysomal mRNA
