Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit [time unit]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [environmental stress]	FactorValue [time]	Unit[time unit]
GSM1346938 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Tenela cold acclimation at 4 C for two weeks	Tenela cold acclimated at 4  for two weeks, replicate 2	Te_CA_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346938 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346938 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346938	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346938_T2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346938_sample_table.txt norm	GSM1346938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	cold acclimation	0	hour
GSM1346937 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Te-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Tenela cold acclimation at 4 C for two weeks	Tenela cold acclimated at 4  for two weeks, replicate 1	Te_CA_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346937 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346937 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346937	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346937_T_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346937_sample_table.txt norm	GSM1346937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Te-0	cold acclimation	0	hour
GSM1346936 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 3d at -3 C	Rschew sub-zero acclimated at -3  for 3 days, replicate 3	Rsch_3d_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346936 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346936 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346936	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346936_R3_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346936_sample_table.txt norm	GSM1346936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	72	hour
GSM1346935 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 3d at -3 C	Rschew sub-zero acclimated at -3  for 3 days, replicate 2	Rsch_3d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346935 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346935 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346935	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346935_R2_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346935_sample_table.txt norm	GSM1346935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	72	hour
GSM1346934 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 3d at -3 C	Rschew sub-zero acclimated at -3  for 3 days, replicate 1	Rsch_3d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346934 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346934 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346934	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346934_R_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346934_sample_table.txt norm	GSM1346934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	72	hour
GSM1346933 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 1d at -3 C	Rschew sub-zero acclimated at -3  for 1 day, replicate 3	Rsch_1d_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346933 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346933 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346933	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346933_R3_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346933_sample_table.txt norm	GSM1346933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	24	hour
GSM1346932 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 1d at -3 C	Rschew sub-zero acclimated at -3  for 1 day, replicate 2	Rsch_1d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346932 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346932 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346932	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346932_R2_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346932_sample_table.txt norm	GSM1346932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	24	hour
GSM1346931 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 1d at -3 C	Rschew sub-zero acclimated at -3  for 1 day, replicate 1	Rsch_1d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346931 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346931 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346931	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346931_R_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346931_sample_table.txt norm	GSM1346931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	24	hour
GSM1346930 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 8h at -3 C	Rschew sub-zero acclimated at -3  for 8 hours, replicate 3	Rsch_8h_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346930 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346930 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346930	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346930_Mai_R38h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346930_sample_table.txt norm	GSM1346930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	8	hour
GSM1346929 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 8h at -3 C	Rschew sub-zero acclimated at -3  for 8 hours, replicate 2	Rsch_8h_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346929 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346929 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346929	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346929_R2_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346929_sample_table.txt norm	GSM1346929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	8	hour
GSM1346928 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Rschew sub-zero acclimated for 8h at -3 C	Rschew sub-zero acclimated at -3  for 8 hours, replicate 1	Rsch_8h_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346928 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346928 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346928	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346928_R1_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346928_sample_table.txt norm	GSM1346928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	sub-zero acclimation	8	hour
GSM1346927 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Rschew cold acclimation at 4 C for two weeks	Rschew cold acclimated at 4  for two weeks, replicate 2	Rsch_CA_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346927 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346927 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346927	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346927_R3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346927_sample_table.txt norm	GSM1346927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	cold acclimation	0	hour
GSM1346926 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Rschew cold acclimation at 4 C for two weeks	Rschew cold acclimated at 4  for two weeks, replicate 2	Rsch_CA_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346926 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346926 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346926	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346926_R2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346926_sample_table.txt norm	GSM1346926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	cold acclimation	0	hour
GSM1346925 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Rschew	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Rschew cold acclimation at 4 C for two weeks	Rschew cold acclimated at 4  for two weeks, replicate 1	Rsch_CA_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346925 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346925 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346925	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346925_R_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346925_sample_table.txt norm	GSM1346925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Rschew	cold acclimation	0	hour
