Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[compound]
GSE7631GSM184491	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184491 sample	P-G7631-4	GSE7631GSM184491 extract	total_RNA	P-G7631-3	GSE7631GSM184491 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep1	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep1	GSM184491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr continuous KNO3
GSE7631GSM184493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184493 sample	P-G7631-4	GSE7631GSM184493 extract	total_RNA	P-G7631-3	GSE7631GSM184493 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep3	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr continuous KNO3 treated, biological rep3	GSM184493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr continuous KNO3
GSE7631GSM184486	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  n/a. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184486 sample	P-G7631-4	GSE7631GSM184486 extract	total_RNA	P-G7631-3	GSE7631GSM184486 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr KCl control treated, biological rep2	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr KCl control treated, biological rep2	GSM184486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	control
GSE7631GSM184485	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  n/a. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184485 sample	P-G7631-4	GSE7631GSM184485 extract	total_RNA	P-G7631-3	GSE7631GSM184485 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr KCl control treated, biological rep1	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr KCl control treated, biological rep1	GSM184485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	control
GSE7631GSM184487	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  n/a. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184487 sample	P-G7631-4	GSE7631GSM184487 extract	total_RNA	P-G7631-3	GSE7631GSM184487 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr KCl control treated, biological rep3	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr KCl control treated, biological rep3	GSM184487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	control
GSE7631GSM184489	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184489 sample	P-G7631-4	GSE7631GSM184489 extract	total_RNA	P-G7631-3	GSE7631GSM184489 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep2	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep2	GSM184489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr transitory KNO3
GSE7631GSM184488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184488 sample	P-G7631-4	GSE7631GSM184488 extract	total_RNA	P-G7631-3	GSE7631GSM184488 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep1	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep1	GSM184488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr transitory KNO3
GSE7631GSM184490	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Epidermis&Cortex root cells, 2 hr KNO3 continuous treated:  KNO3 was not maintained in the protoplast-generating solution. Genotype: Col-0; Cell type: epidermal and cortical root cells	epidermis and cortex	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184490 sample	P-G7631-4	GSE7631GSM184490 extract	total_RNA	P-G7631-3	GSE7631GSM184490 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep3	A-AFFY-2	P-AFFY-6	Epidermis&Cortex root cells 2hr transitory KNO3 treated, biological rep3	GSM184490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	epidermis and cortex	2hr transitory KNO3
GSE7631GSM184501	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184501 sample	P-G7631-4	GSE7631GSM184501 extract	total_RNA	P-G7631-3	GSE7631GSM184501 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep2	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep2	GSM184501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	2hr continuous KNO3
GSE7631GSM184502	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184502 sample	P-G7631-4	GSE7631GSM184502 extract	total_RNA	P-G7631-3	GSE7631GSM184502 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep3	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep3	GSM184502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	2hr continuous KNO3
GSE7631GSM184500	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KNO3 continuous treated:  KNO3 was maintained in the protoplast-generating solution at 5mM. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184500 sample	P-G7631-4	GSE7631GSM184500 extract	total_RNA	P-G7631-3	GSE7631GSM184500 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep1	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr continuous KNO3 treated, biological rep1	GSM184500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	2hr continuous KNO3
GSE7631GSM184495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184495 sample	P-G7631-4	GSE7631GSM184495 extract	total_RNA	P-G7631-3	GSE7631GSM184495 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep2	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep2	GSM184495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	control
GSE7631GSM184496	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184496 sample	P-G7631-4	GSE7631GSM184496 extract	total_RNA	P-G7631-3	GSE7631GSM184496 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep3	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep3	GSM184496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	control
GSE7631GSM184494	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FACS-sorted 12 day old Arabidopsis Endodermis&Pericycle root cells, 2 hr KCl control treated:  n/a. Genotype: Col-0; Cell type: endodermal and pericycle root cells	endodermis and pericycle 	Col-0	12	day	P-G7631-2	P-G7631-1	GSE7631GSM184494 sample	P-G7631-4	GSE7631GSM184494 extract	total_RNA	P-G7631-3	GSE7631GSM184494 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep1	A-AFFY-2	P-AFFY-6	Endodermis&Pericycle root cells 2hr KCl control treated, biological rep1	GSM184494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.raw.1.zip	E-GEOD-7631-processed-data-1630450762.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7631/E-GEOD-7631.processed.1.zip	endodermis and pericycle 	control
