Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5632GSM131635	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	12	flower	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; filamentous organs in whorls two and three; Genetic background: Col-0	GSE5632GSM131635 sample	GSE5632GSM131635 extract	total_RNA	GSE5632GSM131635 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_59_C	A-AFFY-2	P-AFFY-6	ATGE_59_C	GSM131635.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ufo-1	12	flower
GSE5632GSM131602	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	pedicels	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, pedicels	GSE5632GSM131602 sample	GSE5632GSM131602 extract	total_RNA	GSE5632GSM131602 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_40_C	A-AFFY-2	P-AFFY-6	ATGE_40_C	GSM131602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	pedicels
GSE5632GSM131611	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	stamen	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, stamen	GSE5632GSM131611 sample	GSE5632GSM131611 extract	total_RNA	GSE5632GSM131611 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_43_C	A-AFFY-2	P-AFFY-6	ATGE_43_C	GSM131611.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	stamen
GSE5632GSM131633	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	12	flower	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; filamentous organs in whorls two and three; Genetic background: Col-0	GSE5632GSM131633 sample	GSE5632GSM131633 extract	total_RNA	GSE5632GSM131633 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_59_A	A-AFFY-2	P-AFFY-6	ATGE_59_A	GSM131633.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ufo-1	12	flower
GSE5632GSM131612	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	carpels	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, carpels	GSE5632GSM131612 sample	GSE5632GSM131612 extract	total_RNA	GSE5632GSM131612 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_45_A	A-AFFY-2	P-AFFY-6	ATGE_45_A	GSM131612.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	carpels
GSE5632GSM131623	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap1-15	12	flower	ap1-15:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; flowers without sepals, petals replaced by sec. flowers; Genetic background: Col-0	GSE5632GSM131623 sample	GSE5632GSM131623 extract	total_RNA	GSE5632GSM131623 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_55_C	A-AFFY-2	P-AFFY-6	ATGE_55_C	GSM131623.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ap1-15	12	flower
GSE5632GSM131605	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	sepals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, sepals	GSE5632GSM131605 sample	GSE5632GSM131605 extract	total_RNA	GSE5632GSM131605 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_41_C	A-AFFY-2	P-AFFY-6	ATGE_41_C	GSM131605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	sepals
GSE5632GSM131638	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	n/a	pollen	Col-0:  Photoperiod: continuous light Substrate: soil Temperature: 23oC. Tissue: mature pollen	GSE5632GSM131638 sample	GSE5632GSM131638 extract	total_RNA	GSE5632GSM131638 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_73_C	A-AFFY-2	P-AFFY-6	ATGE_73_C	GSM131638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	n/a	pollen
GSE5632GSM131609	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	stamen	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, stamen	GSE5632GSM131609 sample	GSE5632GSM131609 extract	total_RNA	GSE5632GSM131609 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_43_A	A-AFFY-2	P-AFFY-6	ATGE_43_A	GSM131609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	stamen
GSE5632GSM131634	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	12	flower	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; filamentous organs in whorls two and three; Genetic background: Col-0	GSE5632GSM131634 sample	GSE5632GSM131634 extract	total_RNA	GSE5632GSM131634 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_59_B	A-AFFY-2	P-AFFY-6	ATGE_59_B	GSM131634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ufo-1	12	flower
GSE5632GSM131603	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	sepals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, sepals	GSE5632GSM131603 sample	GSE5632GSM131603 extract	total_RNA	GSE5632GSM131603 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_41_A	A-AFFY-2	P-AFFY-6	ATGE_41_A	GSM131603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	sepals
GSE5632GSM131628	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap3-6	12	flower	ap3-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flower stage 12 equivalent; flowers without petals, stamens; Genetic background: Col-0	GSE5632GSM131628 sample	GSE5632GSM131628 extract	total_RNA	GSE5632GSM131628 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_57_B	A-AFFY-2	P-AFFY-6	ATGE_57_B	GSM131628.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	ap3-6	12	flower
GSE5632GSM131619	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	lfy-12	12	flower	lfy-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: size similar to wildtype flowers stage12. Tissue: flower stage 12 equivalent; flowers converted to leaf-like structures; some shoot characteristics; Genetic background: Col-0	GSE5632GSM131619 sample	GSE5632GSM131619 extract	total_RNA	GSE5632GSM131619 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_54_B	A-AFFY-2	P-AFFY-6	ATGE_54_B	GSM131619.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	lfy-12	12	flower
GSE5632GSM131580	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	10/11	flower	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 10/11	GSE5632GSM131580 sample	GSE5632GSM131580 extract	total_RNA	GSE5632GSM131580 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_32_B2	A-AFFY-2	P-AFFY-6	ATGE_32_B2	GSM131580.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	10/11	flower
GSE5632GSM131591	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	stamen	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12, stamens	GSE5632GSM131591 sample	GSE5632GSM131591 extract	total_RNA	GSE5632GSM131591 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_36_A	A-AFFY-2	P-AFFY-6	ATGE_36_A	GSM131591.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	stamen
GSE5632GSM131607	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	petals	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, petals	GSE5632GSM131607 sample	GSE5632GSM131607 extract	total_RNA	GSE5632GSM131607 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_42_C	A-AFFY-2	P-AFFY-6	ATGE_42_C	GSM131607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	petals
GSE5632GSM131600	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	15	pedicels	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 15, pedicels	GSE5632GSM131600 sample	GSE5632GSM131600 extract	total_RNA	GSE5632GSM131600 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_40_A	A-AFFY-2	P-AFFY-6	ATGE_40_A	GSM131600.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	15	pedicels
GSE5632GSM131582	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	12	flower	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flowers stage 12	GSE5632GSM131582 sample	GSE5632GSM131582 extract	total_RNA	GSE5632GSM131582 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_33_A	A-AFFY-2	P-AFFY-6	ATGE_33_A	GSM131582.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	wild_type	12	flower
GSE5632GSM131616	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	clv3-7	12	flower	clv3-7:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number; Genetic background: Col-0	GSE5632GSM131616 sample	GSE5632GSM131616 extract	total_RNA	GSE5632GSM131616 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_53_B	A-AFFY-2	P-AFFY-6	ATGE_53_B	GSM131616.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.raw.1.zip	E-GEOD-5632-processed-data-1628538984.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5632/E-GEOD-5632.processed.1.zip	clv3-7	12	flower
