Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[growth condition]
GSM984531 1	Arabidopsis Thaliana mutant leaf in water condition	Arabidopsis Thaliana mutant leaf in water condition	camta1 leaf water,biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984531 extract 1	total RNA	P-GSE40061-5	GSM984531 LE 1	biotin	P-GSE40061-6	GSM984531	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984531_camta1_leaf_water_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984531_sample_table.txt norm	GSM984531_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	control
GSM984530 1	Arabidopsis Thaliana mutant leaf in water condition	Arabidopsis Thaliana mutant leaf in water condition	camta1 leaf water,biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984530 extract 1	total RNA	P-GSE40061-5	GSM984530 LE 1	biotin	P-GSE40061-6	GSM984530	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984530_camta1_leaf_water_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984530_sample_table.txt norm	GSM984530_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	control
GSM984529 1	Arabidopsis Thaliana root in drought condition	Arabidopsis Thaliana root in drought condition	Col-0 root drought, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984529 extract 1	total RNA	P-GSE40061-5	GSM984529 LE 1	biotin	P-GSE40061-6	GSM984529	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984529_Col-0_root_drought_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984529_sample_table.txt norm	GSM984529_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	drought
GSM984528 1	Arabidopsis Thaliana root in drought condition	Arabidopsis Thaliana root in drought condition	Col-0 root drought, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984528 extract 1	total RNA	P-GSE40061-5	GSM984528 LE 1	biotin	P-GSE40061-6	GSM984528	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984528_Col-0_root_drought_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984528_sample_table.txt norm	GSM984528_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	drought
GSM984527 1	Arabidopsis Thaliana root in drought condition	Arabidopsis Thaliana root in drought condition	Col-0 root drought, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984527 extract 1	total RNA	P-GSE40061-5	GSM984527 LE 1	biotin	P-GSE40061-6	GSM984527	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984527_Col-0_root_drought_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984527_sample_table.txt norm	GSM984527_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	drought
GSM984526 1	Arabidopsis Thaliana leaf in drought condition	Arabidopsis Thaliana leaf in drought condition	Col-0 leaf drought, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984526 extract 1	total RNA	P-GSE40061-5	GSM984526 LE 1	biotin	P-GSE40061-6	GSM984526	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984526_Col-0_leaf_drought_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984526_sample_table.txt norm	GSM984526_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	drought
GSM984525 1	Arabidopsis Thaliana leaf in drought condition	Arabidopsis Thaliana leaf in drought condition	Col-0 leaf drought, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984525 extract 1	total RNA	P-GSE40061-5	GSM984525 LE 1	biotin	P-GSE40061-6	GSM984525	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984525_Col-0_leaf_drought_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984525_sample_table.txt norm	GSM984525_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	drought
GSM984524 1	Arabidopsis Thaliana leaf in drought condition	Arabidopsis Thaliana leaf in drought condition	Col-0 leaf drought, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984524 extract 1	total RNA	P-GSE40061-5	GSM984524 LE 1	biotin	P-GSE40061-6	GSM984524	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984524_Col-0_leaf_drought_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984524_sample_table.txt norm	GSM984524_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	drought
GSM984523 1	Arabidopsis Thaliana root in water condition	Arabidopsis Thaliana root in water condition	Col-0 root water, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984523 extract 1	total RNA	P-GSE40061-5	GSM984523 LE 1	biotin	P-GSE40061-6	GSM984523	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984523_Col-0_root_water_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984523_sample_table.txt norm	GSM984523_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	control
GSM984522 1	Arabidopsis Thaliana root in water condition	Arabidopsis Thaliana root in water condition	Col-0 root water, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984522 extract 1	total RNA	P-GSE40061-5	GSM984522 LE 1	biotin	P-GSE40061-6	GSM984522	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984522_Col-0_root_water_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984522_sample_table.txt norm	GSM984522_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	control
GSM984521 1	Arabidopsis Thaliana root in water condition	Arabidopsis Thaliana root in water condition	Col-0 root water, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984521 extract 1	total RNA	P-GSE40061-5	GSM984521 LE 1	biotin	P-GSE40061-6	GSM984521	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984521_Col-0_root_water_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984521_sample_table.txt norm	GSM984521_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	root	control
GSM984520 1	Arabidopsis Thaliana leaf in water condition	Arabidopsis Thaliana leaf in water condition	Col-0 leaf water, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984520 extract 1	total RNA	P-GSE40061-5	GSM984520 LE 1	biotin	P-GSE40061-6	GSM984520	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984520_Col-0_leaf_water_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984520_sample_table.txt norm	GSM984520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	control
GSM984519 1	Arabidopsis Thaliana leaf in water condition	Arabidopsis Thaliana leaf in water condition	Col-0 leaf water, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984519 extract 1	total RNA	P-GSE40061-5	GSM984519 LE 1	biotin	P-GSE40061-6	GSM984519	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984519_Col-0_leaf_water_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984519_sample_table.txt norm	GSM984519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	control
GSM984518 1	Arabidopsis Thaliana leaf in water condition	Arabidopsis Thaliana leaf in water condition	Col-0 leaf water, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984518 extract 1	total RNA	P-GSE40061-5	GSM984518 LE 1	biotin	P-GSE40061-6	GSM984518	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984518_Col-0_leaf_water_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984518_sample_table.txt norm	GSM984518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	wild type	leaf	control
