Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSM9581 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment: IAA treated	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9581 extract 1	total_RNA	GSM9581 LE 1	1	unknown	GSM9581	A-AFFY-2	P-AFFY-6	GSM9581.cel	GSM9581.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1
GSM9582 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment:IAA treated	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1	7	day	GSM9582 extract 1	total_RNA	GSM9582 LE 1	1	unknown	GSM9582	A-AFFY-2	P-AFFY-6	GSM9582.cel	GSM9582.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1
GSM9583 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: arf19-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9583 extract 1	total_RNA	GSM9583 LE 1	1	unknown	GSM9583	A-AFFY-2	P-AFFY-6	GSM9583.cel	GSM9583.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	arf19-1
GSM9584 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 2	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9584 extract 1	total_RNA	GSM9584 LE 1	1	unknown	GSM9584	A-AFFY-2	P-AFFY-6	GSM9584.cel	GSM9584.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	arf19-1
GSM9585 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment: Control	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9585 extract 1	total_RNA	GSM9585 LE 1	1	unknown	GSM9585	A-AFFY-2	P-AFFY-6	GSM9585.cel	GSM9585.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	arf19-1
GSM9586 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: arf19-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9586 extract 1	total_RNA	GSM9586 LE 1	1	unknown	GSM9586	A-AFFY-2	P-AFFY-6	GSM9586.cel	GSM9586.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	arf19-1
GSM9587 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 2	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9587 extract 1	total_RNA	GSM9587 LE 1	1	unknown	GSM9587	A-AFFY-2	P-AFFY-6	GSM9587.cel	GSM9587.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	arf19-1
GSM9588 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	arf19-1	7	day	GSM9588 extract 1	total_RNA	GSM9588 LE 1	1	unknown	GSM9588	A-AFFY-2	P-AFFY-6	GSM9588.cel	GSM9588.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	arf19-1
GSM9589 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: nph4-1 arf19-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9589 extract 1	total_RNA	GSM9589 LE 1	1	unknown	GSM9589	A-AFFY-2	P-AFFY-6	GSM9589.cel	GSM9589.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1 arf19-1
GSM9590 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9590 extract 1	total_RNA	GSM9590 LE 1	1	unknown	GSM9590	A-AFFY-2	P-AFFY-6	GSM9590.cel	GSM9590.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1 arf19-1
GSM9591 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: nph4-1 arf19-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9591 extract 1	total_RNA	GSM9591 LE 1	1	unknown	GSM9591	A-AFFY-2	P-AFFY-6	GSM9591.cel	GSM9591.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	none	nph4-1 arf19-1
GSM9592 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Treatment: IAA treated	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9592 extract 1	total_RNA	GSM9592 LE 1	1	unknown	GSM9592	A-AFFY-2	P-AFFY-6	GSM9592.cel	GSM9592.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1 arf19-1
GSM9593 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Line: nph4-1 arf19-1 (ecotype Columbia)	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9593 extract 1	total_RNA	GSM9593 LE 1	1	unknown	GSM9593	A-AFFY-2	P-AFFY-6	GSM9593.cel	GSM9593.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1 arf19-1
GSM9594 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Replicate 3	Light grown liquid cultured seedlings (7-day old)	seedling	Columbia	nph4-1 arf19-1	7	day	GSM9594 extract 1	total_RNA	GSM9594 LE 1	1	unknown	GSM9594	A-AFFY-2	P-AFFY-6	GSM9594.cel	GSM9594.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.raw.1.zip	P-GSE627-1	E-GEOD-627-processed-data-2495535978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-627/E-GEOD-627.processed.1.zip	indole-3-acetic acid	nph4-1 arf19-1
