Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[treatment]	FactorValue[genotype]
GSM435964 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435964 extract 1	total RNA	P-GSE17479-5	GSM435964 LE 1	biotin	P-GSE17479-6	GSM435964	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435964_sample_table.txt norm	GSM435964_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
GSM435950 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435950 extract 1	total RNA	P-GSE17479-5	GSM435950 LE 1	biotin	P-GSE17479-6	GSM435950	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435950.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435950_sample_table.txt norm	GSM435950_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
GSM435949 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435949 extract 1	total RNA	P-GSE17479-5	GSM435949 LE 1	biotin	P-GSE17479-6	GSM435949	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435949_sample_table.txt norm	GSM435949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
GSM435935 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435935 extract 1	total RNA	P-GSE17479-5	GSM435935 LE 1	biotin	P-GSE17479-6	GSM435935	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435935_sample_table.txt norm	GSM435935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
GSM435934 1	Genes expression on leaf tissue after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435934 extract 1	total RNA	P-GSE17479-5	GSM435934 LE 1	biotin	P-GSE17479-6	GSM435934	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435934_sample_table.txt norm	GSM435934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	wild type
GSM435971 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435971 extract 1	total RNA	P-GSE17479-5	GSM435971 LE 1	biotin	P-GSE17479-6	GSM435971	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435971.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435971_sample_table.txt norm	GSM435971_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435970 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435970 extract 1	total RNA	P-GSE17479-5	GSM435970 LE 1	biotin	P-GSE17479-6	GSM435970	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435970.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435970_sample_table.txt norm	GSM435970_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435956 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435956 extract 1	total RNA	P-GSE17479-5	GSM435956 LE 1	biotin	P-GSE17479-6	GSM435956	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435956.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435956_sample_table.txt norm	GSM435956_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435955 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435955 extract 1	total RNA	P-GSE17479-5	GSM435955 LE 1	biotin	P-GSE17479-6	GSM435955	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435955.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435955_sample_table.txt norm	GSM435955_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435941 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435941 extract 1	total RNA	P-GSE17479-5	GSM435941 LE 1	biotin	P-GSE17479-6	GSM435941	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435941_sample_table.txt norm	GSM435941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435940 1	Genes expression on leaf tissue after auxin (NAA, 10µM) and flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435940 extract 1	total RNA	P-GSE17479-5	GSM435940 LE 1	biotin	P-GSE17479-6	GSM435940	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435940.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435940_sample_table.txt norm	GSM435940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid and flg22	wild type
GSM435969 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435969 extract 1	total RNA	P-GSE17479-5	GSM435969 LE 1	biotin	P-GSE17479-6	GSM435969	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435969_sample_table.txt norm	GSM435969_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435968 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435968 extract 1	total RNA	P-GSE17479-5	GSM435968 LE 1	biotin	P-GSE17479-6	GSM435968	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435968.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435968_sample_table.txt norm	GSM435968_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435954 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435954 extract 1	total RNA	P-GSE17479-5	GSM435954 LE 1	biotin	P-GSE17479-6	GSM435954	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435954_sample_table.txt norm	GSM435954_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435953 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435953 extract 1	total RNA	P-GSE17479-5	GSM435953 LE 1	biotin	P-GSE17479-6	GSM435953	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435953.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435953_sample_table.txt norm	GSM435953_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435939 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435939 extract 1	total RNA	P-GSE17479-5	GSM435939 LE 1	biotin	P-GSE17479-6	GSM435939	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435939_sample_table.txt norm	GSM435939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435938 1	Genes expression on leaf tissue after auxin (NAA, 10µM) treatment	5weeks old arabidopsis leaves	5	week	wild type	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435938 extract 1	total RNA	P-GSE17479-5	GSM435938 LE 1	biotin	P-GSE17479-6	GSM435938	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435938_sample_table.txt norm	GSM435938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	1-naphthylacetic acid	wild type
GSM435975 1	Genes expression on leaf tissue on 35S:miR393 plant	5weeks old arabidopsis leaves	5	week	35S::miR393	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435975 extract 1	total RNA	P-GSE17479-5	GSM435975 LE 1	biotin	P-GSE17479-6	GSM435975	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435975_sample_table.txt norm	GSM435975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	35S::miR393
GSM435960 1	Genes expression on leaf tissue on 35S:miR393 plant	5weeks old arabidopsis leaves	5	week	35S::miR393	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435960 extract 1	total RNA	P-GSE17479-5	GSM435960 LE 1	biotin	P-GSE17479-6	GSM435960	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435960_sample_table.txt norm	GSM435960_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	35S::miR393
GSM435945 1	Genes expression on leaf tissue on 35S:miR393 plant	5weeks old arabidopsis leaves	5	week	35S::miR393	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435945 extract 1	total RNA	P-GSE17479-5	GSM435945 LE 1	biotin	P-GSE17479-6	GSM435945	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435945_sample_table.txt norm	GSM435945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	none	35S::miR393
GSM435977 1	Genes expression on leaf tissue in 35S:miR393 plant after flg22 (100nM) treatment	5weeks old arabidopsis leaves	5	week	35S::miR393	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE17479-2	P-GSE17479-3	P-GSE17479-4	GSM435977 extract 1	total RNA	P-GSE17479-5	GSM435977 LE 1	biotin	P-GSE17479-6	GSM435977	A-AFFY-2	P-GSE17479-7	P-GSE17479-8	GSM435977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.raw.1.zip	P-GSE17479-1	GSM435977_sample_table.txt norm	GSM435977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17479/E-GEOD-17479.processed.1.zip	flg22	35S::miR393
