Source Name	Material Type	Characteristics[organism]	Characteristics[environmental history]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Characteristics[sampling time point]	Characteristics[organism part]	Characteristics[infect]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[genotype]
HS116-118-11	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-11	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-11	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-11	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-11	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-11_mock_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-11_mock_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	wild type genotype
HS116-118-12	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-12	24 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-12	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-12	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-12	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-12_mock_wt_24_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-12_mock_wt_24_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	24	hour	wild type genotype
HS116-118-13	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-13	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-13	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-13	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-13	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-13_infected_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-13_infected_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	coi1-2 mutant
HS116-118-14	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-14	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-14	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-14	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-14	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-14_infected_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-14_infected_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	coi1-2 mutant
HS116-118-15	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-15	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-15	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-15	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-15	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-15_infected_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-15_infected_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	coi1-2 mutant
HS116-118-16	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-16	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-16	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-16	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-16	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-16_infected_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-16_infected_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	wild type genotype
HS116-118-17	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-17	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-17	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-17	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-17	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-17_infected_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-17_infected_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	wild type genotype
HS116-118-18	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-18	48 h post-inoculation	leaf	Sclerotinia sclerotiorum	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-18	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-18	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-18	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-18_infected_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-18_infected_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	Sclerotinia sclerotiorum	48	hour	wild type genotype
HS116-118-19	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-19	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-19	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-19	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-19	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-19_mock_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-19_mock_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	coi1-2 mutant
HS116-118-20	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-20	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-20	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-20	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-20	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-20_mock_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-20_mock_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	coi1-2 mutant
HS116-118-21	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	coi1-2 mutant	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-21	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-21	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-21	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-21	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-21_mock_coi1_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-21_mock_coi1_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	coi1-2 mutant
HS116-118-22	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-22	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-22	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-22	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-22	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-22_mock_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-22_mock_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	wild type genotype
HS116-118-23	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-23	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-23	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-23	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-23	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-23_mock_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-23_mock_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	wild type genotype
HS116-118-24	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	4 to 6	week	wild type genotype	Col-0	P-MTAB-19272	P-MTAB-19270	HS116-118-24	48 h post-inoculation	leaf	none	P-MTAB-19273	P-MTAB-19271	P-MTAB-19273	HS116-118-24	total_RNA	P-AFFY-2	ArrayExpress	HS116-118-24	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	HS116-118-24	A-AFFY-2	P-AFFY-6	ArrayExpress	HS116-118-24_mock_wt_48_h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	HS116-118-24_mock_wt_48_h.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3122/E-MEXP-3122.processed.1.zip	none	48	hour	wild type genotype
