Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [ORGANISM]	FactorValue[GROWTH CONDITION]
GSM643116 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at optimum temperature	Glycine max leaf, optimum	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643116 extract 1	total RNA	P-GSE26199-13	GSM643116 LE 1	biotin	P-GSE26199-19	GSM643116	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643116_sample_table.txt norm	GSM643116_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	optimum photosynthesis temperature
GSM643115 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at optimum temperature	Glycine max leaf, optimum	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643115 extract 1	total RNA	P-GSE26199-13	GSM643115 LE 1	biotin	P-GSE26199-19	GSM643115	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643115_sample_table.txt norm	GSM643115_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	optimum photosynthesis temperature
GSM643114 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at growth temperature	Glycine max leaf, baseline	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643114 extract 1	total RNA	P-GSE26199-13	GSM643114 LE 1	biotin	P-GSE26199-19	GSM643114	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643114_sample_table.txt norm	GSM643114_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	baseline growth temperature
GSM643113 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at growth temperature	Glycine max leaf, baseline	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643113 extract 1	total RNA	P-GSE26199-13	GSM643113 LE 1	biotin	P-GSE26199-19	GSM643113	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643113_sample_table.txt norm	GSM643113_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	baseline growth temperature
GSM643112 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at growth temperature	Glycine max leaf, baseline	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643112 extract 1	total RNA	P-GSE26199-13	GSM643112 LE 1	biotin	P-GSE26199-19	GSM643112	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643112_sample_table.txt norm	GSM643112_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	baseline growth temperature
GSM643111 1	Gene expression data from the first fully expanded leaf of Glycine max 'Williams 82' at growth temperature	Glycine max leaf, baseline	Glycine max	Williams 82	leaf, first fully expanded	P-GSE26199-17	P-GSE26199-18	P-GSE26199-12	GSM643111 extract 1	total RNA	P-GSE26199-13	GSM643111 LE 1	biotin	P-GSE26199-19	GSM643111	A-AFFY-59	P-GSE26199-20	P-GSE26199-21	GSM643111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-3	GSM643111_sample_table.txt norm	GSM643111_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Williams 82	Glycine max	baseline growth temperature
GSM643110 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643110 extract 1	total RNA	P-GSE26199-13	GSM643110 LE 1	biotin	P-GSE26199-14	GSM643110	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643110_sample_table.txt norm	GSM643110_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	30% inhibition from optimum photosynthesis temperature
GSM643109 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643109 extract 1	total RNA	P-GSE26199-13	GSM643109 LE 1	biotin	P-GSE26199-14	GSM643109	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643109.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643109_sample_table.txt norm	GSM643109_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	30% inhibition from optimum photosynthesis temperature
GSM643108 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643108 extract 1	total RNA	P-GSE26199-13	GSM643108 LE 1	biotin	P-GSE26199-14	GSM643108	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643108_sample_table.txt norm	GSM643108_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	30% inhibition from optimum photosynthesis temperature
GSM643107 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 30% inhibition from optimum	Arabidopsis thaliana leaf, 30% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643107 extract 1	total RNA	P-GSE26199-13	GSM643107 LE 1	biotin	P-GSE26199-14	GSM643107	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643107.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643107_sample_table.txt norm	GSM643107_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	30% inhibition from optimum photosynthesis temperature
GSM643106 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643106 extract 1	total RNA	P-GSE26199-13	GSM643106 LE 1	biotin	P-GSE26199-14	GSM643106	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643106.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643106_sample_table.txt norm	GSM643106_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	20% inhibition from optimum photosynthesis temperature
GSM643105 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643105 extract 1	total RNA	P-GSE26199-13	GSM643105 LE 1	biotin	P-GSE26199-14	GSM643105	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643105_sample_table.txt norm	GSM643105_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	20% inhibition from optimum photosynthesis temperature
GSM643104 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643104 extract 1	total RNA	P-GSE26199-13	GSM643104 LE 1	biotin	P-GSE26199-14	GSM643104	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643104_sample_table.txt norm	GSM643104_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	20% inhibition from optimum photosynthesis temperature
GSM643103 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at 20% inhibition from optimum	Arabidopsis thaliana leaf, 20% inhibition	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643103 extract 1	total RNA	P-GSE26199-13	GSM643103 LE 1	biotin	P-GSE26199-14	GSM643103	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643103_sample_table.txt norm	GSM643103_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	20% inhibition from optimum photosynthesis temperature
GSM643102 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643102 extract 1	total RNA	P-GSE26199-13	GSM643102 LE 1	biotin	P-GSE26199-14	GSM643102	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643102_sample_table.txt norm	GSM643102_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	optimum photosynthesis temperature
GSM643101 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643101 extract 1	total RNA	P-GSE26199-13	GSM643101 LE 1	biotin	P-GSE26199-14	GSM643101	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643101_sample_table.txt norm	GSM643101_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	optimum photosynthesis temperature
GSM643100 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643100 extract 1	total RNA	P-GSE26199-13	GSM643100 LE 1	biotin	P-GSE26199-14	GSM643100	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643100.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643100_sample_table.txt norm	GSM643100_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	optimum photosynthesis temperature
GSM643099 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at optimum temperature	Arabidopsis thaliana leaf, optimum	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643099 extract 1	total RNA	P-GSE26199-13	GSM643099 LE 1	biotin	P-GSE26199-14	GSM643099	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643099_sample_table.txt norm	GSM643099_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	optimum photosynthesis temperature
GSM643098 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at growth temperature	Arabidopsis thaliana leaf, baseline	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643098 extract 1	total RNA	P-GSE26199-13	GSM643098 LE 1	biotin	P-GSE26199-14	GSM643098	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643098_sample_table.txt norm	GSM643098_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	baseline growth temperature
GSM643097 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at growth temperature	Arabidopsis thaliana leaf, baseline	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643097 extract 1	total RNA	P-GSE26199-13	GSM643097 LE 1	biotin	P-GSE26199-14	GSM643097	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643097_sample_table.txt norm	GSM643097_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	baseline growth temperature
GSM643096 1	Gene expression data from the first fully expanded leaf of Arabidopsis thaliana at growth temperature	Arabidopsis thaliana leaf, baseline	Arabidopsis thaliana	Columbia	leaf, first fully expanded	P-GSE26199-4	P-GSE26199-11	P-GSE26199-12	GSM643096 extract 1	total RNA	P-GSE26199-13	GSM643096 LE 1	biotin	P-GSE26199-14	GSM643096	A-AFFY-2	P-GSE26199-15	P-GSE26199-16	GSM643096.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.raw.1.zip	P-GSE26199-2	GSM643096_sample_table.txt norm	GSM643096_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26199/E-GEOD-26199.processed.1.zip	Columbia	Arabidopsis thaliana	baseline growth temperature
