Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	Factor Value[compound]	Factor Value[dose]	Unit[concentration]	FactorValue [time]	Unit[time unit]
GSM566862 1	Split KNO3 roots - 2hours - repeat 2	Split KNO3 roots - 2hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566862 extract 1	total RNA	P-GSE22966-5	GSM566862 LE 1	biotin	P-GSE22966-6	GSM566862	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566862.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566862_sample_table.txt norm	GSM566862_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	2	hour
GSM566861 1	Split KNO3 roots - 2hours - repeat 1	Split KNO3 roots - 2hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566861 extract 1	total RNA	P-GSE22966-5	GSM566861 LE 1	biotin	P-GSE22966-6	GSM566861	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566861.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566861_sample_table.txt norm	GSM566861_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	2	hour
GSM566878 1	Control KCl roots - 8hours - repeat 3	Control KCl roots - 8hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566878 extract 1	total RNA	P-GSE22966-5	GSM566878 LE 1	biotin	P-GSE22966-6	GSM566878	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566878.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566878_sample_table.txt norm	GSM566878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	8	hour
GSM566877 1	Control KCl roots - 8hours - repeat 2	Control KCl roots - 8hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566877 extract 1	total RNA	P-GSE22966-5	GSM566877 LE 1	biotin	P-GSE22966-6	GSM566877	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566877.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566877_sample_table.txt norm	GSM566877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	8	hour
GSM566876 1	Control KCl roots - 8hours - repeat 1	Control KCl roots - 8hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566876 extract 1	total RNA	P-GSE22966-5	GSM566876 LE 1	biotin	P-GSE22966-6	GSM566876	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566876.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566876_sample_table.txt norm	GSM566876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	8	hour
GSM566881 1	Split KCl roots - 8hours - repeat 3	Split KCl roots - 8hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566881 extract 1	total RNA	P-GSE22966-5	GSM566881 LE 1	biotin	P-GSE22966-6	GSM566881	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566881.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566881_sample_table.txt norm	GSM566881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	8	hour
GSM566880 1	Split KCl roots - 8hours - repeat 2	Split KCl roots - 8hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566880 extract 1	total RNA	P-GSE22966-5	GSM566880 LE 1	biotin	P-GSE22966-6	GSM566880	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566880.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566880_sample_table.txt norm	GSM566880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	8	hour
GSM566879 1	Split KCl roots - 8hours - repeat 1	Split KCl roots - 8hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566879 extract 1	total RNA	P-GSE22966-5	GSM566879 LE 1	biotin	P-GSE22966-6	GSM566879	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566879.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566879_sample_table.txt norm	GSM566879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	8	hour
GSM566872 1	Control KNO3 roots - 8hours - repeat 3	Control KNO3 roots - 8hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566872 extract 1	total RNA	P-GSE22966-5	GSM566872 LE 1	biotin	P-GSE22966-6	GSM566872	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566872.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566872_sample_table.txt norm	GSM566872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	8	hour
GSM566871 1	Control KNO3 roots - 8hours - repeat 2	Control KNO3 roots - 8hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566871 extract 1	total RNA	P-GSE22966-5	GSM566871 LE 1	biotin	P-GSE22966-6	GSM566871	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566871.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566871_sample_table.txt norm	GSM566871_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	8	hour
GSM566870 1	Control KNO3 roots - 8hours - repeat 1	Control KNO3 roots - 8hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566870 extract 1	total RNA	P-GSE22966-5	GSM566870 LE 1	biotin	P-GSE22966-6	GSM566870	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566870.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566870_sample_table.txt norm	GSM566870_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	8	hour
GSM566875 1	Split KNO3 roots - 8hours - repeat 3	Split KNO3 roots - 8hours - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566875 extract 1	total RNA	P-GSE22966-5	GSM566875 LE 1	biotin	P-GSE22966-6	GSM566875	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566875_sample_table.txt norm	GSM566875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	8	hour
GSM566874 1	Split KNO3 roots - 8hours - repeat 2	Split KNO3 roots - 8hours - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566874 extract 1	total RNA	P-GSE22966-5	GSM566874 LE 1	biotin	P-GSE22966-6	GSM566874	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566874.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566874_sample_table.txt norm	GSM566874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	8	hour
GSM566873 1	Split KNO3 roots - 8hours - repeat 1	Split KNO3 roots - 8hours - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566873 extract 1	total RNA	P-GSE22966-5	GSM566873 LE 1	biotin	P-GSE22966-6	GSM566873	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566873.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566873_sample_table.txt norm	GSM566873_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, one side	potassium nitrate	5	millimolar	8	hour
GSM566890 1	Control KCl roots - 2days - repeat 3	Control KCl roots - 2days - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566890 extract 1	total RNA	P-GSE22966-5	GSM566890 LE 1	biotin	P-GSE22966-6	GSM566890	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566890.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566890_sample_table.txt norm	GSM566890_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	48	hour
GSM566889 1	Control KCl roots - 2days - repeat 2	Control KCl roots - 2days - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566889 extract 1	total RNA	P-GSE22966-5	GSM566889 LE 1	biotin	P-GSE22966-6	GSM566889	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566889.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566889_sample_table.txt norm	GSM566889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	48	hour
GSM566888 1	Control KCl roots - 2days - repeat 1	Control KCl roots - 2days - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566888 extract 1	total RNA	P-GSE22966-5	GSM566888 LE 1	biotin	P-GSE22966-6	GSM566888	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566888.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566888_sample_table.txt norm	GSM566888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, one side	potassium chloride	5	millimolar	48	hour
GSM566893 1	Split KCl roots - 2days - repeat 3	Split KCl roots - 2days - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566893 extract 1	total RNA	P-GSE22966-5	GSM566893 LE 1	biotin	P-GSE22966-6	GSM566893	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566893.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566893_sample_table.txt norm	GSM566893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	48	hour
GSM566892 1	Split KCl roots - 2days - repeat 2	Split KCl roots - 2days - repeat 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566892 extract 1	total RNA	P-GSE22966-5	GSM566892 LE 1	biotin	P-GSE22966-6	GSM566892	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566892.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566892_sample_table.txt norm	GSM566892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	48	hour
GSM566891 1	Split KCl roots - 2days - repeat 1	Split KCl roots - 2days - repeat 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566891 extract 1	total RNA	P-GSE22966-5	GSM566891 LE 1	biotin	P-GSE22966-6	GSM566891	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566891.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566891_sample_table.txt norm	GSM566891_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	split root system, both sides	potassium chloride	5	millimolar	48	hour
GSM566884 1	Control KNO3 roots - 2days - repeat 3	Control KNO3 roots - 2days - repeat 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	P-GSE22966-3	P-GSE22966-2	P-GSE22966-4	GSM566884 extract 1	total RNA	P-GSE22966-5	GSM566884 LE 1	biotin	P-GSE22966-6	GSM566884	A-AFFY-2	P-GSE22966-7	P-GSE22966-8	GSM566884.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.raw.1.zip	P-GSE22966-1	GSM566884_sample_table.txt norm	GSM566884_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22966/E-GEOD-22966.processed.1.zip	control root system, both sides	potassium nitrate	5	millimolar	48	hour
