Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue[organism part]	FactorValue [growth condition]	FactorValue [time]	Unit[time unit]
GSM959159 1	gene expression data from Kas shoots on minus iron media for 24h	Kas shoots on minus iron media for 24h	Kas_-Fe_24h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959159 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959159 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959159	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959159_BrW_ATH1_121410_42_KmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959159_sample_table.txt norm	GSM959159_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	24	hour
GSM959158 1	gene expression data from Kas shoots on minus iron media for 24h	Kas shoots on minus iron media for 24h	Kas_-Fe_24h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959158 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959158 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959158	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959158_BrW_ATH1_121410_41_KmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959158_sample_table.txt norm	GSM959158_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	24	hour
GSM959157 1	gene expression data from Kas shoots on minus iron media for 24h	Kas shoots on minus iron media for 24h	Kas_-Fe_24h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959157 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959157 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959157	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959157_BrW_ATH1_121410_40_KmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959157_sample_table.txt norm	GSM959157_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	24	hour
GSM959162 1	gene expression data from Kas shoots on minus iron media for 48h	Kas shoots on minus iron media for 48h	Kas_-Fe_48h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959162 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959162 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959162	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959162_BrW_ATH1_121410_48_KmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959162_sample_table.txt norm	GSM959162_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	48	hour
GSM959161 1	gene expression data from Kas shoots on minus iron media for 48h	Kas shoots on minus iron media for 48h	Kas_-Fe_48h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959161 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959161 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959161	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959161_BrW_ATH1_121410_47_KmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959161_sample_table.txt norm	GSM959161_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	48	hour
GSM959160 1	gene expression data from Kas shoots on minus iron media for 48h	Kas shoots on minus iron media for 48h	Kas_-Fe_48h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kas-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959160 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959160 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959160	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959160_BrW_ATH1_121410_46_KmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959160_sample_table.txt norm	GSM959160_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Kas-1	shoot	iron deprivation	48	hour
GSM959129 1	gene expression data from Tsu roots on complete media for 24h	Tsu roots on complete media for 24h	Tsu_+Fe_24h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959129 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959129 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959129	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959129_BrW_ATH1_121410_03_TpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959129_sample_table.txt norm	GSM959129_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	control	24	hour
GSM959128 1	gene expression data from Tsu roots on complete media for 24h	Tsu roots on complete media for 24h	Tsu_+Fe_24h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959128 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959128 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959128	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959128_BrW_ATH1_121410_02_TpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959128_sample_table.txt norm	GSM959128_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	control	24	hour
GSM959127 1	gene expression data from Tsu roots on complete media for 24h	Tsu roots on complete media for 24h	Tsu_+Fe_24h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959127 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959127 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959127	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959127_BrW_ATH1_121410_01_TpR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959127_sample_table.txt norm	GSM959127_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	control	24	hour
GSM959132 1	gene expression data from Tsu roots on minus iron media for 24h	Tsu roots on minus iron media for 24h	Tsu_-Fe_24h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959132 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959132 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959132	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959132_BrW_ATH1_121410_06_TmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959132_sample_table.txt norm	GSM959132_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	24	hour
GSM959131 1	gene expression data from Tsu roots on minus iron media for 24h	Tsu roots on minus iron media for 24h	Tsu_-Fe_24h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959131 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959131 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959131	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959131_BrW_ATH1_121410_05_TmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959131_sample_table.txt norm	GSM959131_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	24	hour
GSM959130 1	gene expression data from Tsu roots on minus iron media for 24h	Tsu roots on minus iron media for 24h	Tsu_-Fe_24h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959130 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959130 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959130	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959130_BrW_ATH1_121410_04_TmR24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959130_sample_table.txt norm	GSM959130_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	24	hour
