Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[treatment]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]
GSM744789 1	Expression profile of whole root exposed to pH 4.6 for 1H	whole roots transferred to low pH, 1H	Whole root - low pH 1H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 1 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744789 extract 1	total RNA	P-GSE30097-5	  	GSM744789 LE 1	biotin	P-GSE30097-6	  	GSM744789	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744789.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744789_sample_table.txt norm	GSM744789_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 1 hr
GSM744788 1	Expression profile of whole root exposed to pH 4.6 for 1H	whole roots transferred to low pH, 1H	Whole root - low pH 1H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 1 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744788 extract 1	total RNA	P-GSE30097-5	  	GSM744788 LE 1	biotin	P-GSE30097-6	  	GSM744788	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744788_sample_table.txt norm	GSM744788_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 1 hr
GSM744787 1	Expression profile of whole root exposed to pH 4.6 for 30 min	whole roots transferred to low pH, 30min	Whole root - low pH 30min_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 30 min	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744787 extract 1	total RNA	P-GSE30097-5	  	GSM744787 LE 1	biotin	P-GSE30097-6	  	GSM744787	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744787.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744787_sample_table.txt norm	GSM744787_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 30 min
GSM744786 1	Expression profile of whole root exposed to pH 4.6 for 30 min	whole roots transferred to low pH, 30min	Whole root - low pH 30min_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 4.6 for 30 min	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744786 extract 1	total RNA	P-GSE30097-5	  	GSM744786 LE 1	biotin	P-GSE30097-6	  	GSM744786	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744786.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744786_sample_table.txt norm	GSM744786_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 4.6 for 30 min
GSM744785 1	Expression profile of whole root exposed to pH 5.7 for 48H	whole roots transferred to std pH, 48H	Whole root - Std pH 48H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 48 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744785 extract 1	total RNA	P-GSE30097-5	  	GSM744785 LE 1	biotin	P-GSE30097-6	  	GSM744785	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744785.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744785_sample_table.txt norm	GSM744785_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 48 hr
GSM744784 1	Expression profile of whole root exposed to pH 5.7 for 48H	whole roots transferred to std pH, 48H	Whole root - Std pH 48H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 48 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744784 extract 1	total RNA	P-GSE30097-5	  	GSM744784 LE 1	biotin	P-GSE30097-6	  	GSM744784	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744784.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744784_sample_table.txt norm	GSM744784_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 48 hr
GSM744783 1	Expression profile of whole root exposed to pH 5.7 for 24H	whole roots transferred to std pH, 24H	Whole root - Std pH 24H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 24 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744783 extract 1	total RNA	P-GSE30097-5	  	GSM744783 LE 1	biotin	P-GSE30097-6	  	GSM744783	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744783.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744783_sample_table.txt norm	GSM744783_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 24 hr
GSM744782 1	Expression profile of whole root exposed to pH 5.7 for 24H	whole roots transferred to std pH, 24H	Whole root - Std pH 24H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 24 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744782 extract 1	total RNA	P-GSE30097-5	  	GSM744782 LE 1	biotin	P-GSE30097-6	  	GSM744782	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744782.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744782_sample_table.txt norm	GSM744782_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 24 hr
GSM744781 1	Expression profile of whole root exposed to pH 5.7 for 12H	whole roots transferred to std pH, 12H	Whole root - Std pH 12H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 12 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744781 extract 1	total RNA	P-GSE30097-5	  	GSM744781 LE 1	biotin	P-GSE30097-6	  	GSM744781	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744781_sample_table.txt norm	GSM744781_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 12 hr
GSM744780 1	Expression profile of whole root exposed to pH 5.7 for 12H	whole roots transferred to std pH, 12H	Whole root - Std pH 12H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 12 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744780 extract 1	total RNA	P-GSE30097-5	  	GSM744780 LE 1	biotin	P-GSE30097-6	  	GSM744780	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744780_sample_table.txt norm	GSM744780_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 12 hr
GSM744779 1	Expression profile of whole root exposed to pH 5.7 for 6H	whole roots transferred to std pH, 6H	Whole root - Std pH 6H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 6 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744779 extract 1	total RNA	P-GSE30097-5	  	GSM744779 LE 1	biotin	P-GSE30097-6	  	GSM744779	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744779_sample_table.txt norm	GSM744779_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 6 hr
GSM744778 1	Expression profile of whole root exposed to pH 5.7 for 6H	whole roots transferred to std pH, 6H	Whole root - Std pH 6H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 6 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744778 extract 1	total RNA	P-GSE30097-5	  	GSM744778 LE 1	biotin	P-GSE30097-6	  	GSM744778	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744778_sample_table.txt norm	GSM744778_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 6 hr
GSM744777 1	Expression profile of whole root exposed to pH 5.7 for 3H	whole roots transferred to std pH, 3H	Whole root - Std pH 3H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 3 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744777 extract 1	total RNA	P-GSE30097-5	  	GSM744777 LE 1	biotin	P-GSE30097-6	  	GSM744777	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744777_sample_table.txt norm	GSM744777_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 3 hr
GSM744776 1	Expression profile of whole root exposed to pH 5.7 for 3H	whole roots transferred to std pH, 3H	Whole root - Std pH 3H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 3 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744776 extract 1	total RNA	P-GSE30097-5	  	GSM744776 LE 1	biotin	P-GSE30097-6	  	GSM744776	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744776_sample_table.txt norm	GSM744776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 3 hr
GSM744775 1	Expression profile of whole root exposed to pH 5.7 for 1H	whole roots transferred to std pH, 1H	Whole root - Std pH 1H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 1 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744775 extract 1	total RNA	P-GSE30097-5	  	GSM744775 LE 1	biotin	P-GSE30097-6	  	GSM744775	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744775_sample_table.txt norm	GSM744775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 1 hr
GSM744774 1	Expression profile of whole root exposed to pH 5.7 for 1H	whole roots transferred to std pH, 1H	Whole root - Std pH 1H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 1 hr	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744774 extract 1	total RNA	P-GSE30097-5	  	GSM744774 LE 1	biotin	P-GSE30097-6	  	GSM744774	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744774_sample_table.txt norm	GSM744774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 1 hr
GSM744773 1	Expression profile of whole root exposed to pH 5.7 for 30 min	whole roots transferred to std pH, 30 min	Whole root - Std pH 30min_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 30 min	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744773 extract 1	total RNA	P-GSE30097-5	  	GSM744773 LE 1	biotin	P-GSE30097-6	  	GSM744773	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744773_sample_table.txt norm	GSM744773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 30 min
GSM744772 1	Expression profile of whole root exposed to pH 5.7 for 30 min	whole roots transferred to std pH, 30 min	Whole root - Std pH 30min_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole root	Columbia	pH 5.7 for 30 min	P-GSE30097-2	  	P-GSE30097-3	  	P-GSE30097-4	  	GSM744772 extract 1	total RNA	P-GSE30097-5	  	GSM744772 LE 1	biotin	P-GSE30097-6	  	GSM744772	A-AFFY-2	  	P-GSE30097-7	  	P-GSE30097-8	  	GSM744772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.raw.1.zip	P-GSE30097-1	  	GSM744772_sample_table.txt norm	GSM744772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30097/E-GEOD-30097.processed.1.zip	pH 5.7 for 30 min
