Source Name	Characteristics [Organism]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Characteristics [StrainOrLine]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [LANDSCAPE FRAGMENTATION]	Factor Value [STRAIN]	Factor Value [LANDSCAPE DISTURBANCE]	FactorValue[ORGANISM PART]
dynamic 4-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_B5_4patch	P-MTAB-4192	d_B5_4patch	genomic_DNA	P-MTAB-4193	d_B5_4patch_labelled	biotin	unknown	P-MTAB-4194	d_B5_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_B5_4patch.CEL	d_B5_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	dynamic	flower
parental Ler 1st replicate	Arabidopsis thaliana	leaf	adult	Ler	P-MTAB-4190	  	Ler1	P-MTAB-4192	Ler1	genomic_DNA	P-MTAB-4193	Ler1labelled	biotin	unknown	P-MTAB-4194	Ler1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Ler1.CEL	Ler1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Ler	none	leaf
static 2-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_A1_2patch	P-MTAB-4192	s_A1_2patch	genomic_DNA	P-MTAB-4193	s_A1_2patch_labelled	biotin	unknown	P-MTAB-4194	s_A1_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_A1_2patch.CEL	s_A1_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	static	flower
dynamic 8-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_C1_8patch	P-MTAB-4192	d_C1_8patch	genomic_DNA	P-MTAB-4193	d_C1_8patch_labelled	biotin	unknown	P-MTAB-4194	d_C1_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_C1_8patch.CEL	d_C1_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	dynamic	flower
dynamic 8-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_C4_8patch	P-MTAB-4192	d_C4_8patch	genomic_DNA	P-MTAB-4193	d_C4_8patch_labelled	biotin	unknown	P-MTAB-4194	d_C4_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_C4_8patch.CEL	d_C4_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	dynamic	flower
dynamic 16-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_D6_16patch	P-MTAB-4192	d_D6_16patch	genomic_DNA	P-MTAB-4193	d_D6_16patch_labelled	biotin	unknown	P-MTAB-4194	d_D6_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_D6_16patch.CEL	d_D6_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	dynamic	flower
dynamic 2-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_A4_2patch	P-MTAB-4192	d_A4_2patch	genomic_DNA	P-MTAB-4193	d_A4_2patch_labelled	biotin	unknown	P-MTAB-4194	d_A4_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_A4_2patch.CEL	d_A4_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	dynamic	flower
parental Cvi 4th replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi4	P-MTAB-4192	Cvi4	genomic_DNA	P-MTAB-4193	Cvi4labelled	biotin	unknown	P-MTAB-4194	Cvi4	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi4.CEL	Cvi4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Cvi	none	leaf
dynamic 2-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_A5_2patch	P-MTAB-4192	d_A5_2patch	genomic_DNA	P-MTAB-4193	d_A5_2patch_labelled	biotin	unknown	P-MTAB-4194	d_A5_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_A5_2patch.CEL	d_A5_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	dynamic	flower
static 16-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_D4_16patch	P-MTAB-4192	s_D4_16patch	genomic_DNA	P-MTAB-4193	s_D4_16patch_labelled	biotin	unknown	P-MTAB-4194	s_D4_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_D4_16patch.CEL	s_D4_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	static	flower
static 8-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_C3_8patch	P-MTAB-4192	s_C3_8patch	genomic_DNA	P-MTAB-4193	s_C3_8patch_labelled	biotin	unknown	P-MTAB-4194	s_C3_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_C3_8patch.CEL	s_C3_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	static	flower
parental Ler 3rd replicate	Arabidopsis thaliana	leaf	adult	Ler	P-MTAB-4190	  	Ler3	P-MTAB-4192	Ler3	genomic_DNA	P-MTAB-4193	Ler3labelled	biotin	unknown	P-MTAB-4194	Ler3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Ler3.CEL	Ler3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Ler	none	leaf
static 4-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_B4_4patch	P-MTAB-4192	s_B4_4patch	genomic_DNA	P-MTAB-4193	s_B4_4patch_labelled	biotin	unknown	P-MTAB-4194	s_B4_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_B4_4patch.CEL	s_B4_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	static	flower
dynamic 8-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_C6_8patch	P-MTAB-4192	d_C6_8patch	genomic_DNA	P-MTAB-4193	d_C6_8patch_labelled	biotin	unknown	P-MTAB-4194	d_C6_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_C6_8patch.CEL	d_C6_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	dynamic	flower
Originals 2nd replicate	Arabidopsis thaliana	flower	adult	17xRILs, 1xLer, 1xCvi	P-MTAB-4190	P-MTAB-4191	Originals2	P-MTAB-4192	Originals2	genomic_DNA	P-MTAB-4193	Originals2labelled	biotin	unknown	P-MTAB-4194	Originals2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Originals2.CEL	Originals2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	17xRILs, 1xLer, 1xCvi	none	flower
static 2-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_A6_2patch	P-MTAB-4192	s_A6_2patch	genomic_DNA	P-MTAB-4193	s_A6_2patch_lebelled	biotin	unknown	P-MTAB-4194	s_A6_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_A6_2patch.CEL	s_A6_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	static	flower
dynamic 4-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_B6_4patch	P-MTAB-4192	d_B6_4patch	genomic_DNA	P-MTAB-4193	d_B6_4patch_labelled	biotin	unknown	P-MTAB-4194	d_B6_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_B6_4patch.CEL	d_B6_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	dynamic	flower
dynamic 16-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	d_D5_16patch	P-MTAB-4192	d_D5_16patch	genomic_DNA	P-MTAB-4193	d_D5_16patch_labelled	biotin	unknown	P-MTAB-4194	d_D5_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	d_D5_16patch.CEL	d_D5_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	dynamic	flower
static 2-patch 2nd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_A3_2patch	P-MTAB-4192	s_A3_2patch	genomic_DNA	P-MTAB-4193	s_A3_2patch_labelled	biotin	unknown	P-MTAB-4194	s_A3_2patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_A3_2patch.CEL	s_A3_2patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	2-patch	mixed population	static	flower
static 16-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_D2_16patch	P-MTAB-4192	s_D2_16patch	genomic_DNA	P-MTAB-4193	s_D2_16patch_labelled	biotin	unknown	P-MTAB-4194	s_D2_16patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_D2_16patch.CEL	s_D2_16patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	16-patch	mixed population	static	flower
parental Cvi 1st replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi1	P-MTAB-4192	Cvi1	genomic_DNA	P-MTAB-4193	Cvi1labelled	biotin	unknown	P-MTAB-4194	Cvi1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi1.CEL	Cvi1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	P-MTAB-4197	SFP_markers_unscaled.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.processed.1.zip	none	Cvi	none	leaf
parental Cvi 1st replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi1	P-MTAB-4192	Cvi1	genomic_DNA	P-MTAB-4193	Cvi1labelled	biotin	unknown	P-MTAB-4194	Cvi1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi1.CEL	Cvi1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	P-MTAB-4197	normalised_matrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.processed.1.zip	none	Cvi	none	leaf
static 8-patch 3rd replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_C5_8patch	P-MTAB-4192	s_C5_8patch	genomic_DNA	P-MTAB-4193	s_C5_8patch_labelled	biotin	unknown	P-MTAB-4194	s_C5_8patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_C5_8patch.CEL	s_C5_8patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	8-patch	mixed population	static	flower
parental Cvi 3rd replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi3	P-MTAB-4192	Cvi3	genomic_DNA	P-MTAB-4193	Cvi3labelled	biotin	unknown	P-MTAB-4194	Cvi3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi3.CEL	Cvi3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	none	Cvi	none	leaf
parental Cvi 2nd replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi2	P-MTAB-4192	Cvi2	genomic_DNA	P-MTAB-4193	Cvi2labelled	biotin	unknown	P-MTAB-4194	Cvi2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi2.CEL	Cvi2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	P-MTAB-4197	bulk_segregant_nonloess_and_loess_averaged.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.processed.1.zip	none	Cvi	none	leaf
parental Cvi 2nd replicate	Arabidopsis thaliana	leaf	adult	Cvi	P-MTAB-4190	  	Cvi2	P-MTAB-4192	Cvi2	genomic_DNA	P-MTAB-4193	Cvi2labelled	biotin	unknown	P-MTAB-4194	Cvi2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Cvi2.CEL	Cvi2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	P-MTAB-4197	normalised_matrix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.processed.1.zip	none	Cvi	none	leaf
static 4-patch 1st replicate	Arabidopsis thaliana	flower	adult	mixed population	P-MTAB-4190	P-MTAB-4191	s_B2_4patch	P-MTAB-4192	s_B2_4patch	genomic_DNA	P-MTAB-4193	s_B2_4patch_labelled	biotin	unknown	P-MTAB-4194	s_B2_4patch	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	s_B2_4patch.CEL	s_B2_4patch.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-107/E-MTAB-107.raw.1.zip	  	    	  	4-patch	mixed population	static	flower
