Source Name	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Infect]	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Genotype]	Factor Value [DiseaseState]	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3220GSM71006	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71006 sample	P-G3220-2	GSE3220GSM71006 extract	total_RNA	P-G3220-3	GSE3220GSM71006 LE.biotin	biotin	synthetic_RNA	pen3_Bgh1	A-AFFY-2	pen3	Blumeria graminis hordei	  	  	pen3_Bgh1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71005	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71005 sample	P-G3220-2	GSE3220GSM71005 extract	total_RNA	P-G3220-3	GSE3220GSM71005 LE.biotin	biotin	synthetic_RNA	Col_Un4	A-AFFY-2	wild_type	uninfected	EFO	EFO_0001460	Col_Un4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71007	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71007 sample	P-G3220-2	GSE3220GSM71007 extract	total_RNA	P-G3220-3	GSE3220GSM71007 LE.biotin	biotin	synthetic_RNA	pen3_Bgh2	A-AFFY-2	pen3	Blumeria graminis hordei	  	  	pen3_Bgh2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM70996	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM70996 sample	P-G3220-2	GSE3220GSM70996 extract	total_RNA	P-G3220-3	GSE3220GSM70996 LE.biotin	biotin	synthetic_RNA	Col_Bgh2	A-AFFY-2	wild_type	Blumeria graminis hordei	  	  	Col_Bgh2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71018	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71018 sample	P-G3220-2	GSE3220GSM71018 extract	total_RNA	P-G3220-3	GSE3220GSM71018 LE.biotin	biotin	synthetic_RNA	pen3_Ec3	A-AFFY-2	pen3	Erisyphe cichoracearum	  	  	pen3_Ec3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71016	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71016 sample	P-G3220-2	GSE3220GSM71016 extract	total_RNA	P-G3220-3	GSE3220GSM71016 LE.biotin	biotin	synthetic_RNA	pen3_Un4	A-AFFY-2	pen3	uninfected	EFO	EFO_0001460	pen3_Un4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71017	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71017 sample	P-G3220-2	GSE3220GSM71017 extract	total_RNA	P-G3220-3	GSE3220GSM71017 LE.biotin	biotin	synthetic_RNA	Col_Bgh4	A-AFFY-2	wild_type	Blumeria graminis hordei	  	  	Col_Bgh4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71004	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71004 sample	P-G3220-2	GSE3220GSM71004 extract	total_RNA	P-G3220-3	GSE3220GSM71004 LE.biotin	biotin	synthetic_RNA	Col_Un3	A-AFFY-2	wild_type	uninfected	EFO	EFO_0001460	Col_Un3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71015	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71015 sample	P-G3220-2	GSE3220GSM71015 extract	total_RNA	P-G3220-3	GSE3220GSM71015 LE.biotin	biotin	synthetic_RNA	pen3_Un3	A-AFFY-2	pen3	uninfected	EFO	EFO_0001460	pen3_Un3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM70995	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM70995 sample	P-G3220-2	GSE3220GSM70995 extract	total_RNA	P-G3220-3	GSE3220GSM70995 LE.biotin	biotin	synthetic_RNA	Col_Bgh1	A-AFFY-2	wild_type	Blumeria graminis hordei	  	  	Col_Bgh1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71012	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71012 sample	P-G3220-2	GSE3220GSM71012 extract	total_RNA	P-G3220-3	GSE3220GSM71012 LE.biotin	biotin	synthetic_RNA	pen3_Ec4	A-AFFY-2	pen3	Erisyphe cichoracearum	  	  	pen3_Ec4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71014	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71014 sample	P-G3220-2	GSE3220GSM71014 extract	total_RNA	P-G3220-3	GSE3220GSM71014 LE.biotin	biotin	synthetic_RNA	pen3_Un2	A-AFFY-2	pen3	uninfected	EFO	EFO_0001460	pen3_Un2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71001	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71001 sample	P-G3220-2	GSE3220GSM71001 extract	total_RNA	P-G3220-3	GSE3220GSM71001 LE.biotin	biotin	synthetic_RNA	Col_Ec4	A-AFFY-2	wild_type	Erisyphe cichoracearum	  	  	Col_Ec4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM70997	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM70997 sample	P-G3220-2	GSE3220GSM70997 extract	total_RNA	P-G3220-3	GSE3220GSM70997 LE.biotin	biotin	synthetic_RNA	Col_Bgh3	A-AFFY-2	wild_type	Blumeria graminis hordei	  	  	Col_Bgh3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
