Source Name	Characteristics [Ecotype]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [replicate timepoint]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [ECOTYPE]
AtGE_147_A	San Feliu-2e	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_147_A	P-TABM-35	AtGE_147_A	total_RNA	P-TABM-37	AtGE_147_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_147_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_147_A	ATGE_147_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	San Feliu-2e
AtGE_127_A	CIBC10	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_127_A	P-TABM-35	AtGE_127_A	total_RNA	P-TABM-37	AtGE_127_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_127_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_127_A	ATGE_127_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	CIBC10
AtGE_113_A	Columbia-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_113_A	P-TABM-35	AtGE_113_A	total_RNA	P-TABM-37	AtGE_113_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_113_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_113_A	ATGE_113_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Columbia-0
AtGE_126_A	Caen-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_126_A	P-TABM-35	AtGE_126_A	total_RNA	P-TABM-37	AtGE_126_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_126_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_126_A	ATGE_126_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Caen-0
AtGE_124_A	Blanes-5	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_124_A	P-TABM-35	AtGE_124_A	total_RNA	P-TABM-37	AtGE_124_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_124_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_124_A	ATGE_124_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Blanes-5
AtGE_146_A	San Eleno-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_146_A	P-TABM-35	AtGE_146_A	total_RNA	P-TABM-37	AtGE_146_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_146_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_146_A	ATGE_146_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	San Eleno-0
AtGE_112_D	C24	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_112_D	P-TABM-35	AtGE_112_D	total_RNA	P-TABM-37	AtGE_112_D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_112_D	A-AFFY-2	P-AFFY-6	MBA: ATGE_112_D	ATGE_112_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	C24
AtGE_114_C	Cape Verde Islands	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_114_C	P-TABM-35	AtGE_114_C	total_RNA	P-TABM-37	AtGE_114_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_114_C	A-AFFY-2	P-AFFY-6	MBA: ATGE_114_C	ATGE_114_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Cape Verde Islands
AtGE_119_A	Shahdara	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_119_A	P-TABM-35	AtGE_119_A	total_RNA	P-TABM-37	AtGE_119_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_119_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_119_A	ATGE_119_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Shahdara
AtGE_149_A	Umkirch-3	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_149_A	P-TABM-35	AtGE_149_A	total_RNA	P-TABM-37	AtGE_149_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_149_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_149_A	ATGE_149_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Umkirch-3
AtGE_115_D	Estland	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	B	P-TABM-39	AtGE_115_D	P-TABM-35	AtGE_115_D	total_RNA	P-TABM-37	AtGE_115_D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_115_D	A-AFFY-2	P-AFFY-6	MBA: ATGE_115_D	ATGE_115_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Estland
AtGE_120_B	Vancouver-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_120_B	P-TABM-35	AtGE_120_B	total_RNA	P-TABM-37	AtGE_120_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_120_B	A-AFFY-2	P-AFFY-6	MBA: ATGE_120_B	ATGE_120_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Vancouver-0
AtGE_131_A	Frankfurt-2	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_131_A	P-TABM-35	AtGE_131_A	total_RNA	P-TABM-37	AtGE_131_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_131_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_131_A	ATGE_131_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Frankfurt-2
AtGE_116_C	Kindalville-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_116_C	P-TABM-35	AtGE_116_C	total_RNA	P-TABM-37	AtGE_116_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_116_C	A-AFFY-2	P-AFFY-6	MBA: ATGE_116_C	ATGE_116_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Kindalville-0
AtGE_145_A	Ovelgoenne-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_145_A	P-TABM-35	AtGE_145_A	total_RNA	P-TABM-37	AtGE_145_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_145_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_145_A	ATGE_145_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Ovelgoenne-0
AtGE_128_A	Drahonin-1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_128_A	P-TABM-35	AtGE_128_A	total_RNA	P-TABM-37	AtGE_128_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_128_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_128_A	ATGE_128_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Drahonin-1
AtGE_120_A	Vancouver-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_120_A	P-TABM-35	AtGE_120_A	total_RNA	P-TABM-37	AtGE_120_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_120_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_120_A	ATGE_120_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Vancouver-0
AtGE_120_C	Vancouver-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_120_C	P-TABM-35	AtGE_120_C	total_RNA	P-TABM-37	AtGE_120_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_120_C	A-AFFY-2	P-AFFY-6	MBA: ATGE_120_C	ATGE_120_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Vancouver-0
AtGE_117_B	Landsberg erecta	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_117_B	P-TABM-35	AtGE_117_B	total_RNA	P-TABM-37	AtGE_117_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_117_B	A-AFFY-2	P-AFFY-6	MBA: ATGE_117_B	ATGE_117_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Landsberg erecta
AtGE_118_C	Niederzenz-1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	A	P-TABM-39	AtGE_118_C	P-TABM-35	AtGE_118_C	total_RNA	P-TABM-37	AtGE_118_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_118_C	A-AFFY-2	P-AFFY-6	MBA: ATGE_118_C	ATGE_118_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Niederzenz-1
AtGE_140_A	Neuweilnau-1	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_140_A	P-TABM-35	AtGE_140_A	total_RNA	P-TABM-37	AtGE_140_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_140_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_140_A	ATGE_140_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Neuweilnau-1
AtGE_148_A	Tabor-0	seedling - aerial parts	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-38	  	P-TABM-39	AtGE_148_A	P-TABM-35	AtGE_148_A	total_RNA	P-TABM-37	AtGE_148_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_148_A	A-AFFY-2	P-AFFY-6	MBA: ATGE_148_A	ATGE_148_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-18-processed-data-1342990808.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-18/E-TABM-18.processed.1.zip	Tabor-0
