Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [StrainOrLine]	Characteristics [GeneticModification]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [media]	Parameter Value [min temperature]	Parameter Value [stop time]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Factor Value [genotype]	Factor Value [strain]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
lux2_ID_12_9	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_12_9	P-MEXP-101652	none	total RNA	lux2_ID_12_9	total_RNA	P-AFFY-2	lux2_ID_12_9	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_12_9	A-AFFY-2	P-AFFY-6	12	h	12hr light: 12hr dark	lux-2	col	lux2_ID_12_9	lux2_ID_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_ID_08_2	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_08_2	P-MEXP-101652	none	total RNA	col_ID_08_2	total_RNA	P-AFFY-2	col_ID_08_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_08_2	A-AFFY-2	P-AFFY-6	8	h	12hr light: 12hr dark	wild_type	col	col_ID_08_2	col_ID_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_00_12	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_00_12	P-MEXP-101652	none	total RNA	ler_SD_00_12	total_RNA	P-AFFY-2	ler_SD_00_12	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_00_12	A-AFFY-2	P-AFFY-6	0	h	8hr light: 16hr dark	wild_type	ler	ler_SD_00_12	ler_SD_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_00_18	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_00_18	P-MEXP-101652	none	total RNA	lhy_SD_00_18	total_RNA	P-AFFY-2	lhy_SD_00_18	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_00_18	A-AFFY-2	P-AFFY-6	0	h	8hr light: 16hr dark	lhy	ler	lhy_SD_00_18	lhy_SD_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_ID_16_4	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_16_4	P-MEXP-101652	none	total RNA	col_ID_16_4	total_RNA	P-AFFY-2	col_ID_16_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_16_4	A-AFFY-2	P-AFFY-6	16	h	12hr light: 12hr dark	wild_type	col	col_ID_16_4	col_ID_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_04_25	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_04_25	P-MEXP-101652	none	total RNA	col_SD_04_25	total_RNA	P-AFFY-2	col_SD_04_25	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_04_25	A-AFFY-2	P-AFFY-6	4	h	8hr light: 16hr dark	wild_type	col	col_SD_04_25	col_SD_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_ID_04_1	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_04_1	P-MEXP-101652	none	total RNA	col_ID_04_1	total_RNA	P-AFFY-2	col_ID_04_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_04_1	A-AFFY-2	P-AFFY-6	4	h	12hr light: 12hr dark	wild_type	col	col_ID_04_1	col_ID_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_12_21	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_12_21	P-MEXP-101652	none	total RNA	lhy_SD_12_21	total_RNA	P-AFFY-2	lhy_SD_12_21	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_12_21	A-AFFY-2	P-AFFY-6	12	h	8hr light: 16hr dark	lhy	ler	lhy_SD_12_21	lhy_SD_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
phyB9_SD_00_30	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_00_30	P-MEXP-101652	none	total RNA	phyB9_SD_00_30	total_RNA	P-AFFY-2	phyB9_SD_00_30	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_00_30	A-AFFY-2	P-AFFY-6	0	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_00_30	phyB9_SD_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_16_28	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_16_28	P-MEXP-101652	none	total RNA	col_SD_16_28	total_RNA	P-AFFY-2	col_SD_16_28	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_16_28	A-AFFY-2	P-AFFY-6	16	h	8hr light: 16hr dark	wild_type	col	col_SD_16_28	col_SD_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
phyB9_SD_20_35	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_20_35	P-MEXP-101652	none	total RNA	phyB9_SD_20_35	total_RNA	P-AFFY-2	phyB9_SD_20_35	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_20_35	A-AFFY-2	P-AFFY-6	20	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_20_35	phyb9_SD_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_12_15	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_12_15	P-MEXP-101652	none	total RNA	ler_SD_12_15	total_RNA	P-AFFY-2	ler_SD_12_15	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_12_15	A-AFFY-2	P-AFFY-6	12	h	8hr light: 16hr dark	wild_type	ler	ler_SD_12_15	ler_SD_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lux2_ID_04_7	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_04_7	P-MEXP-101652	none	total RNA	lux2_ID_04_7	total_RNA	P-AFFY-2	lux2_ID_04_7	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_04_7	A-AFFY-2	P-AFFY-6	4	h	12hr light: 12hr dark	lux-2	col	lux2_ID_04_7	lux2_ID_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
phyB9_SD_04_31	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_04_31	P-MEXP-101652	none	total RNA	phyB9_SD_04_31	total_RNA	P-AFFY-2	phyB9_SD_04_31	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_04_31	A-AFFY-2	P-AFFY-6	4	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_04_31	phyB9_SD_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lux2_ID_08_8	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_08_8	P-MEXP-101652	none	total RNA	lux2_ID_08_8	total_RNA	P-AFFY-2	lux2_ID_08_8	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_08_8	A-AFFY-2	P-AFFY-6	8	h	12hr light: 12hr dark	lux-2	col	lux2_ID_08_8	lux2_ID_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_ID_00_0	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_00_0	P-MEXP-101652	none	total RNA	col_ID_00_0	total_RNA	P-AFFY-2	col_ID_00_0	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_00_0	A-AFFY-2	P-AFFY-6	0	h	12hr light: 12hr dark	wild_type	col	col_ID_00_0	col_ID_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
