Source Name	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism part]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [age]	Unit [time unit]
CHIP_214_D	32	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_214_D	P-TABM-35	CHIP_214_D	total_RNA	P-TABM-37	CHIP_214_D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_214_D	A-AFFY-2	P-AFFY-6	MBA: CHIP_214_D	CHIP_214_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	32	day
CHIP_214_B	32	day	fri flc double mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_214_B	P-TABM-35	CHIP_214_B	total_RNA	P-TABM-37	CHIP_214_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_214_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_214_B	CHIP_214_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	fri flc double mutant	32	day
CHIP_207_C	25	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_207_C	P-TABM-35	CHIP_207_C	total_RNA	P-TABM-37	CHIP_207_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_207_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_207_C	CHIP_207_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	25	day
CHIP_207_D	25	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_207_D	P-TABM-35	CHIP_207_D	total_RNA	P-TABM-37	CHIP_207_D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_207_D	A-AFFY-2	P-AFFY-6	MBA: CHIP_207_D	CHIP_207_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	25	day
CHIP_207_A	25	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_207_A	P-TABM-35	CHIP_207_A	total_RNA	P-TABM-37	CHIP_207_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_207_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_207_A	CHIP_207_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	25	day
CHIP_208_B	28	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_208_B	P-TABM-35	CHIP_208_B	total_RNA	P-TABM-37	CHIP_208_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_208_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_208_B	CHIP_208_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	28	day
CHIP_208_A	28	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_208_A	P-TABM-35	CHIP_208_A	total_RNA	P-TABM-37	CHIP_208_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_208_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_208_A	CHIP_208_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	28	day
CHIP_208_C	28	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_208_C	P-TABM-35	CHIP_208_C	total_RNA	P-TABM-37	CHIP_208_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_208_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_208_C	CHIP_208_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	28	day
CHIP_209_A	30	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_209_A	P-TABM-35	CHIP_209_A	total_RNA	P-TABM-37	CHIP_209_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_209_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_209_A	CHIP_209_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	30	day
CHIP_209_B	30	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_209_B	P-TABM-35	CHIP_209_B	total_RNA	P-TABM-37	CHIP_209_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_209_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_209_B	CHIP_209_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	30	day
CHIP_209_C	30	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_209_C	P-TABM-35	CHIP_209_C	total_RNA	P-TABM-37	CHIP_209_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_209_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_209_C	CHIP_209_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	30	day
CHIP_210_B	32	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_210_B	P-TABM-35	CHIP_210_B	total_RNA	P-TABM-37	CHIP_210_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_210_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_210_B	CHIP_210_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	32	day
CHIP_210_C	32	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_210_C	P-TABM-35	CHIP_210_C	total_RNA	P-TABM-37	CHIP_210_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_210_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_210_C	CHIP_210_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	32	day
CHIP_210_A	32	day	FRI wild type, flc mutant	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_210_A	P-TABM-35	CHIP_210_A	total_RNA	P-TABM-37	CHIP_210_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_210_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_210_A	CHIP_210_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	FRI wild type, flc mutant	32	day
CHIP_203_B	25	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_203_B	P-TABM-35	CHIP_203_B	total_RNA	P-TABM-37	CHIP_203_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_203_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_203_B	CHIP_203_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	25	day
CHIP_203_C	25	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_203_C	P-TABM-35	CHIP_203_C	total_RNA	P-TABM-37	CHIP_203_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_203_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_203_C	CHIP_203_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	25	day
CHIP_203_A	25	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_203_A	P-TABM-35	CHIP_203_A	total_RNA	P-TABM-37	CHIP_203_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_203_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_203_A	CHIP_203_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	25	day
CHIP_204_A	28	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_204_A	P-TABM-35	CHIP_204_A	total_RNA	P-TABM-37	CHIP_204_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_204_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_204_A	CHIP_204_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	28	day
CHIP_204_C	28	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_204_C	P-TABM-35	CHIP_204_C	total_RNA	P-TABM-37	CHIP_204_C biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_204_C	A-AFFY-2	P-AFFY-6	MBA: CHIP_204_C	CHIP_204_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	28	day
CHIP_204_B	28	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_204_B	P-TABM-35	CHIP_204_B	total_RNA	P-TABM-37	CHIP_204_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_204_B	A-AFFY-2	P-AFFY-6	MBA: CHIP_204_B	CHIP_204_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	28	day
CHIP_205_A	30	day	wild type	shoot apex	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-TABM-36	P-TABM-34	CHIP_205_A	P-TABM-35	CHIP_205_A	total_RNA	P-TABM-37	CHIP_205_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: CHIP_205_A	A-AFFY-2	P-AFFY-6	MBA: CHIP_205_A	CHIP_205_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-19-processed-data-1342978377.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-19/E-TABM-19.processed.1.zip	wild type	30	day
