Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Comment[technical replicate group]	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE7796GSM189123	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 3	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189123 sample	P-G7796-2	GSE7796GSM189123 extract	total RNA	P-G7796-1	GSE7796GSM189123 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-3_Biological_Replicate_2	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-3_Biological_Replicate_2	GSM189123.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 3
GSE7796GSM189124	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	control 3	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  Control for HSP90 reduced	GSE7796GSM189124 sample	P-G7796-2	GSE7796GSM189124 extract	total RNA	P-G7796-1	GSE7796GSM189124 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_Control-3_Biological_Replicate_3	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_Control-3_Biological_Replicate_3	GSM189124.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	control 3
GSE7796GSM189163	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90.2-3 mutant	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale The hsp90.2-3 mutant is described in Hubert DA, Tornero P, Belkhadir Y, Krishna P, Takahashi A, et al. (2003) "Cytosolic HSP90 associates with and modulates the Arabidopsis RPM1 disease resistance protein." Embo J 22: 5679-5689.. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189163 sample	P-G7796-2	GSE7796GSM189163 extract	total RNA	P-G7796-1	GSE7796GSM189163 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_hsp90.2-3_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_hsp90.2-3_Biological_Replicate_1	GSM189163.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90.2-3 mutant
GSE7796GSM189164	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90.2-3 mutant	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale.   The hsp90.2-3 mutant is described in Hubert DA, Tornero P, Belkhadir Y, Krishna P, Takahashi A, et al. (2003) "Cytosolic HSP90 associates with and modulates the Arabidopsis RPM1 disease resistance protein." Embo J 22: 5679-5689.. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189164 sample	P-G7796-2	GSE7796GSM189164 extract	total RNA	P-G7796-1	GSE7796GSM189164 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_hsp90.2-3_Biological_Replicate_2	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_hsp90.2-3_Biological_Replicate_2	GSM189164.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90.2-3 mutant
GSE7796GSM189165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90.2-3 mutant	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale.   The hsp90.2-3 mutant is described in Hubert DA, Tornero P, Belkhadir Y, Krishna P, Takahashi A, et al. (2003) "Cytosolic HSP90 associates with and modulates the Arabidopsis RPM1 disease resistance protein." Embo J 22: 5679-5689.. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189165 sample	P-G7796-2	GSE7796GSM189165 extract	total RNA	P-G7796-1	GSE7796GSM189165 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_hsp90.2-3_Biological_Replicate_3	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_hsp90.2-3_Biological_Replicate_3	GSM189165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90.2-3 mutant
GSE7796GSM189108	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189108 sample	P-G7796-2	GSE7796GSM189108 extract	total RNA	P-G7796-1	GSE7796GSM189108 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A1_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A1_Biological_Replicate_1	GSM189108.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A1
GSE7796GSM189109	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189109 sample	P-G7796-2	GSE7796GSM189109 extract	total RNA	P-G7796-1	GSE7796GSM189109 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A1_Biological_Replicate_2_Technical_Replicate_1	group2	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A1_Biological_Replicate_2_Technical_Replicate_1	GSM189109.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A1
GSE7796GSM189110	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A1	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189110 sample	P-G7796-2	GSE7796GSM189110 extract	total RNA	P-G7796-1	GSE7796GSM189110 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A1_Biological_Replicate_2_Technical_Replicate_2	group2	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A1_Biological_Replicate_2_Technical_Replicate_2	GSM189110.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A1
GSE7796GSM189103	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A2	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189103 sample	P-G7796-2	GSE7796GSM189103 extract	total RNA	P-G7796-1	GSE7796GSM189103 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A2_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A2_Biological_Replicate_1	GSM189103.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A2
GSE7796GSM189104	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A2	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189104 sample	P-G7796-2	GSE7796GSM189104 extract	total RNA	P-G7796-1	GSE7796GSM189104 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A2_Biological_Replicate_2	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A2_Biological_Replicate_2	GSM189104.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A2
GSE7796GSM189111	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A3	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189111 sample	P-G7796-2	GSE7796GSM189111 extract	total RNA	P-G7796-1	GSE7796GSM189111 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A3_Biological_Replicate_1	  	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A3_Biological_Replicate_1	GSM189111.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A3
GSE7796GSM189112	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	14	day	seedling	aerial part	hsp90 RNAi-A3	14 day old seedling grown in long days on GM medium, aerial tissue only:  See Sangster et al. "Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced HSP90 Levels" for experimental rationale. Accession: Col-0; Age: 14 days; Tissue:  All aerial tissue; Transgenic:  HSP90 reduced	GSE7796GSM189112 sample	P-G7796-2	GSE7796GSM189112 extract	total RNA	P-G7796-1	GSE7796GSM189112 LE	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	HSP90_Reduced_RNAi-A3_Biological_Replicate_2_Technical_Replicate_1	group3	A-AFFY-2	P-AFFY-6	HSP90_Reduced_RNAi-A3_Biological_Replicate_2_Technical_Replicate_1	GSM189112.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.raw.1.zip	E-GEOD-7796-processed-data-1630578355.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7796/E-GEOD-7796.processed.1.zip	hsp90 RNAi-A3
