Source Name	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [GENOTYPE]	FactorValue[ORGANISM PART]	Term Source REF	Term Accession Number	FactorValue[DEVELOPMENTAL STAGE]
CHIP_337	Columbia-0	35S::amiR-lfy-1(MIR172a)_pRS361	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_337	P-TABM-125	P-TABM-124	CHIP_337_A	total_RNA	P-TABM-127	CHIP_337_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_337_A	A-AFFY-2	P-AFFY-6	CHIP_337_A	CHIP_337_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-lfy-1(MIR172a)_pRS361	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_344	Columbia-0	35S::amiR-white-2(MIR172a)_pRS387	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_344	P-TABM-126	P-TABM-124	CHIP_344_A	total_RNA	P-TABM-127	CHIP_344_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_344_A	A-AFFY-2	P-AFFY-6	CHIP_344_A	CHIP_344_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-white-2(MIR172a)_pRS387	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_339	Columbia-0	35S::amiR-mads-2(MIR319a)_weak_pRS373	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_339	P-TABM-125	P-TABM-124	CHIP_339_B	total_RNA	P-TABM-127	CHIP_339_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_339_B	A-AFFY-2	P-AFFY-6	CHIP_339_B	CHIP_339_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-2(MIR319a)_weak_pRS373	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_342	Columbia-0	gun4-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_342	P-TABM-126	P-TABM-124	CHIP_342_A	total_RNA	P-TABM-127	CHIP_342_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_342_A	A-AFFY-2	P-AFFY-6	CHIP_342_A	CHIP_342_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	gun4-1	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_338	Columbia-0	35S::amiR-mads-1(MIR172a)_pRS370	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_338	P-TABM-125	P-TABM-124	CHIP_338_A	total_RNA	P-TABM-127	CHIP_338_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_338_A	A-AFFY-2	P-AFFY-6	CHIP_338_A	CHIP_338_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-mads-1(MIR172a)_pRS370	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_337	Columbia-0	35S::amiR-lfy-1(MIR172a)_pRS361	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_337	P-TABM-125	P-TABM-124	CHIP_337_B	total_RNA	P-TABM-127	CHIP_337_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_337_B	A-AFFY-2	P-AFFY-6	CHIP_337_B	CHIP_337_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-lfy-1(MIR172a)_pRS361	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_341	Columbia-0	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_341	P-TABM-126	P-TABM-124	CHIP_341_B	total_RNA	P-TABM-127	CHIP_341_B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_341_B	A-AFFY-2	P-AFFY-6	CHIP_341_B	CHIP_341_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	wild_type	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_343	Columbia-0	35S::amiR-white-1(MIR172a)_pRS385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_343	P-TABM-126	P-TABM-124	CHIP_343_A	total_RNA	P-TABM-127	CHIP_343_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_343_A	A-AFFY-2	P-AFFY-6	CHIP_343_A	CHIP_343_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	35S::amiR-white-1(MIR172a)_pRS385	seedling	EFO	EFO_0001992	1.01 Boyes key
CHIP_336	Columbia-0	lfy-12	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	inflorescence	EFO	EFO_0001029	6 Boyes key	P-TABM-122	CHIP_336	P-TABM-125	P-TABM-124	CHIP_336_A	total_RNA	P-TABM-127	CHIP_336_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_336_A	A-AFFY-2	P-AFFY-6	CHIP_336_A	CHIP_336_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	lfy-12	inflorescence	EFO	EFO_0001029	6 Boyes key
CHIP_341	Columbia-0	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	1.01 Boyes key	P-TABM-123	CHIP_341	P-TABM-126	P-TABM-124	CHIP_341_A	total_RNA	P-TABM-127	CHIP_341_A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	CHIP_341_A	A-AFFY-2	P-AFFY-6	CHIP_341_A	CHIP_341_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-TABM-63-processed-data-1343522512.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-63/E-TABM-63.processed.1.zip	wild_type	seedling	EFO	EFO_0001992	1.01 Boyes key
