Source Name	Material Type	Characteristics[developmental stage]	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [growth condition]	Term Source REF	Term Accession Number	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	Term Source REF	Term Accession Number	FactorValue [ecotype]
GSM842233 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	2 Ts5 C.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KCl control treated"	"Ts5 roots 2hr KCl control treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842233 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842233 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842233	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842233.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-32	ArrayExpress	GSM842233_sample_table.txt norm	GSM842233_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Ts5
GSM842232 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	1 Ts5 C.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KCl control treated"	"Ts5 roots 2hr KCl control treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842232 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842232 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842232	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842232.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-31	ArrayExpress	GSM842232_sample_table.txt norm	GSM842232_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Ts5
GSM842231 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	3 TAMM27 T.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"TAMM27 roots 2hr KNO3 nitrogen treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842231 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842231 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842231	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842231.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-30	ArrayExpress	GSM842231_sample_table.txt norm	GSM842231_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	TAMM27
GSM842230 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	2 TAMM27 T.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"TAMM27 roots 2hr KNO3 nitrogen treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842230 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842230 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842230	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842230.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-29	ArrayExpress	GSM842230_sample_table.txt norm	GSM842230_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	TAMM27
GSM842229 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	1 TAMM27 T.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"TAMM27 roots 2hr KNO3 nitrogen treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842229 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842229 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842229	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842229.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-28	ArrayExpress	GSM842229_sample_table.txt norm	GSM842229_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	TAMM27
GSM842228 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	3 TAMM27 C.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KCl control treated"	"TAMM27 roots 2hr KCl control treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842228 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842228 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842228	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842228.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-27	ArrayExpress	GSM842228_sample_table.txt norm	GSM842228_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	TAMM27
GSM842227 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	2 TAMM27 C.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KCl control treated"	"TAMM27 roots 2hr KCl control treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842227 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842227 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842227	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842227.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-26	ArrayExpress	GSM842227_sample_table.txt norm	GSM842227_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	TAMM27
GSM842226 1	organism part	seedling	12	day	TAMM27	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	1 TAMM27 C.CEL	"12 day old Arabidopsis TAMM27 ecotype roots, 2 hr 5mM KCl control treated"	"TAMM27 roots 2hr KCl control treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842226 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842226 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842226	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842226.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-25	ArrayExpress	GSM842226_sample_table.txt norm	GSM842226_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	TAMM27
GSM842225 1	organism part	seedling	12	day	SQ8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	3 SQ8 T.CEL	"12 day old Arabidopsis SQ8 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"SQ8 roots 2hr KNO3 nitrogen treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842225 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842225 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842225	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842225.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-24	ArrayExpress	GSM842225_sample_table.txt norm	GSM842225_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	SQ8
GSM842224 1	organism part	seedling	12	day	SQ8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	2 SQ8 T.CEL	"12 day old Arabidopsis SQ8 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"SQ8 roots 2hr KNO3 nitrogen treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842224 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842224 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842224	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842224.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-23	ArrayExpress	GSM842224_sample_table.txt norm	GSM842224_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	SQ8
GSM842223 1	organism part	seedling	12	day	SQ8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	1 SQ8 T.CEL	"12 day old Arabidopsis SQ8 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"SQ8 roots 2hr KNO3 nitrogen treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842223 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842223 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842223	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842223.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-22	ArrayExpress	GSM842223_sample_table.txt norm	GSM842223_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	SQ8
GSM842222 1	organism part	seedling	12	day	SQ8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	3 SQ8 C.CEL	"12 day old Arabidopsis SQ8 ecotype roots, 2 hr 5mM KCl control treated"	"SQ8 roots 2hr KCl control treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842222 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842222 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842222	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842222.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-21	ArrayExpress	GSM842222_sample_table.txt norm	GSM842222_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	SQ8
