Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [time]	Unit [time unit]	FactorValue [treatment]
GSM991912 1	Arabidopsis_pepr1 pepr2_pep2_10h	57_p1p2_pep2_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991912 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991912 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991912	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991912_57_p1p2_pep2_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991912_sample_table.txt norm	GSM991912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	10	hour	Pep2
GSM991911 1	Arabidopsis_pepr1 pepr2_pep2_10h	56_p1p2_pep2_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991911 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991911 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991911	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991911_56_p1p2_pep2_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991911_sample_table.txt norm	GSM991911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	10	hour	Pep2
GSM991910 1	Arabidopsis_WT_pep2_10h	55_WT_pep2_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991910 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991910 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991910	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991910_55_WT_pep2_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991910_sample_table.txt norm	GSM991910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	Pep2
GSM991909 1	Arabidopsis_WT_pep2_10h	54_WT_pep2_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991909 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991909 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991909	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991909_54_WT_pep2_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991909_sample_table.txt norm	GSM991909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	Pep2
GSM991908 1	Arabidopsis_WT_pep2_10h	53_WT_pep2_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991908 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991908 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991908	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991908_53_WT_pep2_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991908_sample_table.txt norm	GSM991908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	Pep2
GSM991907 1	Arabidopsis_efr_elf18_10h	39_efr_elf18_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991907 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991907 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991907	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991907_39_efr_elf18_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991907_sample_table.txt norm	GSM991907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	10	hour	elf18
GSM991906 1	Arabidopsis_efr_elf18_10h	38_efr_elf18_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991906 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991906 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991906	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991906_38_efr_elf18_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991906_sample_table.txt norm	GSM991906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	10	hour	elf18
GSM991905 1	Arabidopsis_efr_elf18_10h	37_efr_elf18_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991905 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991905 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991905	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991905_37_efr_elf18_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991905_sample_table.txt norm	GSM991905_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	10	hour	elf18
GSM991904 1	Arabidopsis_ein2_elf18_10h	36_ein2_elf18_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991904 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991904 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991904	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991904_36_ein2_elf18_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991904_sample_table.txt norm	GSM991904_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	10	hour	elf18
GSM991903 1	Arabidopsis_ein2_elf18_10h	35_ein2_elf18_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991903 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991903 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991903	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991903_35_ein2_elf18_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991903_sample_table.txt norm	GSM991903_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	10	hour	elf18
GSM991902 1	Arabidopsis_ein2_elf18_10h	34_ein2_elf18_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991902 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991902 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991902	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991902_34_ein2_elf18_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991902_sample_table.txt norm	GSM991902_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	10	hour	elf18
GSM991901 1	Arabidopsis_WT_elf18_10h	33_WT_elf18_10h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991901 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991901 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991901	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991901_33_WT_elf18_10h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991901_sample_table.txt norm	GSM991901_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	elf18
GSM991900 1	Arabidopsis_WT_elf18_10h	32_WT_elf18_10h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991900 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991900 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991900	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991900_32_WT_elf18_10h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991900_sample_table.txt norm	GSM991900_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	elf18
GSM991899 1	Arabidopsis_WT_elf18_10h	31_WT_elf18_10h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991899 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991899 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991899	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991899_31_WT_elf18_10h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991899_sample_table.txt norm	GSM991899_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	10	hour	elf18
GSM991898 1	Arabidopsis_bak1_pep2_2h	27_bak1_pep2_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991898 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991898 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991898	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991898_27_bak1_pep2_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991898_sample_table.txt norm	GSM991898_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	2	hour	Pep2
GSM991897 1	Arabidopsis_bak1_pep2_2h	26_bak1_pep2_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991897 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991897 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991897	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991897_26_bak1_pep2_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991897_sample_table.txt norm	GSM991897_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	2	hour	Pep2
