Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE5685GSM133055	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-15	GSE5685GSM133055 sample	GSE5685GSM133055 extract	total_RNA	GSE5685GSM133055 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2797	A-AFFY-2	P-AFFY-6	2797	GSM133055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	4	hours
GSE5685GSM133068	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-15	GSE5685GSM133068 sample	GSE5685GSM133068 extract	total_RNA	GSE5685GSM133068 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2530	A-AFFY-2	P-AFFY-6	2530	GSM133068.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	4	hours
GSE5685GSM133056	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-16	GSE5685GSM133056 sample	GSE5685GSM133056 extract	total_RNA	GSE5685GSM133056 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2798	A-AFFY-2	P-AFFY-6	2798	GSM133056.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	none	n/a	hours
GSE5685GSM133066	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-17	GSE5685GSM133066 sample	GSE5685GSM133066 extract	total_RNA	GSE5685GSM133066 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2503	A-AFFY-2	P-AFFY-6	2503	GSM133066.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	none	n/a	hours
GSE5685GSM133062	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-2	GSE5685GSM133062 sample	GSE5685GSM133062 extract	total_RNA	GSE5685GSM133062 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2512	A-AFFY-2	P-AFFY-6	2512	GSM133062.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	48	hours
GSE5685GSM133038	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-2	GSE5685GSM133038 sample	GSE5685GSM133038 extract	total_RNA	GSE5685GSM133038 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2783	A-AFFY-2	P-AFFY-6	2783	GSM133038.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	48	hours
GSE5685GSM133039	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-3	GSE5685GSM133039 sample	GSE5685GSM133039 extract	total_RNA	GSE5685GSM133039 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2510	A-AFFY-2	P-AFFY-6	2510	GSM133039.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	24	hours
GSE5685GSM133044	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-3	GSE5685GSM133044 sample	GSE5685GSM133044 extract	total_RNA	GSE5685GSM133044 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2786	A-AFFY-2	P-AFFY-6	2786	GSM133044.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	24	hours
GSE5685GSM133061	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-4	GSE5685GSM133061 sample	GSE5685GSM133061 extract	total_RNA	GSE5685GSM133061 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2511	A-AFFY-2	P-AFFY-6	2511	GSM133061.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	48	hours
GSE5685GSM133040	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-4	GSE5685GSM133040 sample	GSE5685GSM133040 extract	total_RNA	GSE5685GSM133040 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2784	A-AFFY-2	P-AFFY-6	2784	GSM133040.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	48	hours
GSE5685GSM133043	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-5	GSE5685GSM133043 sample	GSE5685GSM133043 extract	total_RNA	GSE5685GSM133043 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2785	A-AFFY-2	P-AFFY-6	2785	GSM133043.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	48	hours
GSE5685GSM133041	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-5	GSE5685GSM133041 sample	GSE5685GSM133041 extract	total_RNA	GSE5685GSM133041 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2525	A-AFFY-2	P-AFFY-6	2525	GSM133041.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	48	hours
GSE5685GSM133047	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-6	GSE5685GSM133047 sample	GSE5685GSM133047 extract	total_RNA	GSE5685GSM133047 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2789	A-AFFY-2	P-AFFY-6	2789	GSM133047.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	16	hours
GSE5685GSM133042	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-6	GSE5685GSM133042 sample	GSE5685GSM133042 extract	total_RNA	GSE5685GSM133042 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2527	A-AFFY-2	P-AFFY-6	2527	GSM133042.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	16	hours
GSE5685GSM133060	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-7	GSE5685GSM133060 sample	GSE5685GSM133060 extract	total_RNA	GSE5685GSM133060 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2509	A-AFFY-2	P-AFFY-6	2509	GSM133060.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	24	hours
GSE5685GSM133045	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-7	GSE5685GSM133045 sample	GSE5685GSM133045 extract	total_RNA	GSE5685GSM133045 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2787	A-AFFY-2	P-AFFY-6	2787	GSM133045.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	24	hours
GSE5685GSM133046	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-8	GSE5685GSM133046 sample	GSE5685GSM133046 extract	total_RNA	GSE5685GSM133046 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2788	A-AFFY-2	P-AFFY-6	2788	GSM133046.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	24	hours
