Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Comment[growth media]	Characteristics[PeriodicOrder]	Characteristics[OrganismPart]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[PERIODIC ORDER]	FactorValue [ORGANISM PART]
GSM539480 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	31	lower half of seedling root	P-GSE21611-2	GSM539480 extract 1	total RNA	P-GSE21611-3	GSM539480 LE 1	biotin	P-GSE21611-4	GSM539480	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539480_At_PR_OZ2_19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539480_sample_table.txt norm	GSM539480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	31	lower half of seedling root
GSM539479 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	26	lower half of seedling root	P-GSE21611-2	GSM539479 extract 1	total RNA	P-GSE21611-3	GSM539479 LE 1	biotin	P-GSE21611-4	GSM539479	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539479_At_PR_OZ2_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539479_sample_table.txt norm	GSM539479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	26	lower half of seedling root
GSM539478 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	23	lower half of seedling root	P-GSE21611-2	GSM539478 extract 1	total RNA	P-GSE21611-3	GSM539478 LE 1	biotin	P-GSE21611-4	GSM539478	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539478_At_PR_OZ2_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539478_sample_table.txt norm	GSM539478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	23	lower half of seedling root
GSM539477 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	25	lower half of seedling root	P-GSE21611-2	GSM539477 extract 1	total RNA	P-GSE21611-3	GSM539477 LE 1	biotin	P-GSE21611-4	GSM539477	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539477_At_PR_OZ2_13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539477_sample_table.txt norm	GSM539477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	25	lower half of seedling root
GSM539476 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	27	lower half of seedling root	P-GSE21611-2	GSM539476 extract 1	total RNA	P-GSE21611-3	GSM539476 LE 1	biotin	P-GSE21611-4	GSM539476	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539476_At_PR_OZ2_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539476_sample_table.txt norm	GSM539476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	27	lower half of seedling root
GSM539475 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	32	lower half of seedling root	P-GSE21611-2	GSM539475 extract 1	total RNA	P-GSE21611-3	GSM539475 LE 1	biotin	P-GSE21611-4	GSM539475	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539475_At_PR_OZ2_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539475_sample_table.txt norm	GSM539475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	32	lower half of seedling root
GSM539474 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	24	lower half of seedling root	P-GSE21611-2	GSM539474 extract 1	total RNA	P-GSE21611-3	GSM539474 LE 1	biotin	P-GSE21611-4	GSM539474	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539474_At_PR_OZ2_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539474_sample_table.txt norm	GSM539474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	24	lower half of seedling root
GSM539473 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	21	lower half of seedling root	P-GSE21611-2	GSM539473 extract 1	total RNA	P-GSE21611-3	GSM539473 LE 1	biotin	P-GSE21611-4	GSM539473	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539473_At_PR_OZ2_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539473_sample_table.txt norm	GSM539473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	21	lower half of seedling root
GSM539472 1	Gene expression data the OZ2 (upper half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	39	lower half of seedling root	P-GSE21611-2	GSM539472 extract 1	total RNA	P-GSE21611-3	GSM539472 LE 1	biotin	P-GSE21611-4	GSM539472	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539472_At_PR_OZ2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539472_sample_table.txt norm	GSM539472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	39	lower half of seedling root
GSM539471 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	16	upper half of seedling root	P-GSE21611-2	GSM539471 extract 1	total RNA	P-GSE21611-3	GSM539471 LE 1	biotin	P-GSE21611-4	GSM539471	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539471_At_PR_OZ1_35.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539471_sample_table.txt norm	GSM539471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	16	upper half of seedling root
GSM539470 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	19	upper half of seedling root	P-GSE21611-2	GSM539470 extract 1	total RNA	P-GSE21611-3	GSM539470 LE 1	biotin	P-GSE21611-4	GSM539470	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539470_At_PR_OZ1_33.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539470_sample_table.txt norm	GSM539470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	19	upper half of seedling root
GSM539469 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	12	upper half of seedling root	P-GSE21611-2	GSM539469 extract 1	total RNA	P-GSE21611-3	GSM539469 LE 1	biotin	P-GSE21611-4	GSM539469	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539469_At_PR_OZ1_32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539469_sample_table.txt norm	GSM539469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	12	upper half of seedling root
GSM539468 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	14	upper half of seedling root	P-GSE21611-2	GSM539468 extract 1	total RNA	P-GSE21611-3	GSM539468 LE 1	biotin	P-GSE21611-4	GSM539468	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539468_At_PR_OZ1_31.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539468_sample_table.txt norm	GSM539468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	14	upper half of seedling root
GSM539467 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	3	upper half of seedling root	P-GSE21611-2	GSM539467 extract 1	total RNA	P-GSE21611-3	GSM539467 LE 1	biotin	P-GSE21611-4	GSM539467	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539467_At_PR_OZ1_23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539467_sample_table.txt norm	GSM539467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	3	upper half of seedling root
GSM539466 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	15	upper half of seedling root	P-GSE21611-2	GSM539466 extract 1	total RNA	P-GSE21611-3	GSM539466 LE 1	biotin	P-GSE21611-4	GSM539466	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539466_At_PR_OZ1_22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539466_sample_table.txt norm	GSM539466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	15	upper half of seedling root
GSM539465 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	20	upper half of seedling root	P-GSE21611-2	GSM539465 extract 1	total RNA	P-GSE21611-3	GSM539465 LE 1	biotin	P-GSE21611-4	GSM539465	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539465_At_PR_OZ1_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539465_sample_table.txt norm	GSM539465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	20	upper half of seedling root
GSM539464 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	17	upper half of seedling root	P-GSE21611-2	GSM539464 extract 1	total RNA	P-GSE21611-3	GSM539464 LE 1	biotin	P-GSE21611-4	GSM539464	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539464_At_PR_OZ1_19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539464_sample_table.txt norm	GSM539464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	17	upper half of seedling root
GSM539463 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	5	upper half of seedling root	P-GSE21611-2	GSM539463 extract 1	total RNA	P-GSE21611-3	GSM539463 LE 1	biotin	P-GSE21611-4	GSM539463	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539463_At_PR_OZ1_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539463_sample_table.txt norm	GSM539463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	5	upper half of seedling root
GSM539462 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	10	upper half of seedling root	P-GSE21611-2	GSM539462 extract 1	total RNA	P-GSE21611-3	GSM539462 LE 1	biotin	P-GSE21611-4	GSM539462	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539462_At_PR_OZ1_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539462_sample_table.txt norm	GSM539462_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	10	upper half of seedling root
GSM539461 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	9	upper half of seedling root	P-GSE21611-2	GSM539461 extract 1	total RNA	P-GSE21611-3	GSM539461 LE 1	biotin	P-GSE21611-4	GSM539461	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539461_At_PR_OZ1_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539461_sample_table.txt norm	GSM539461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	9	upper half of seedling root
GSM539460 1	Gene expression data the OZ1 (lower half) under standard conditions for 5 days	DR5-GUS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	Standard media for 5 days	4	upper half of seedling root	P-GSE21611-2	GSM539460 extract 1	total RNA	P-GSE21611-3	GSM539460 LE 1	biotin	P-GSE21611-4	GSM539460	A-AFFY-2	P-GSE21611-5	P-GSE21611-6	GSM539460_At_PR_OZ1_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.raw.1.zip	P-GSE21611-1	GSM539460_sample_table.txt norm	GSM539460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21611/E-GEOD-21611.processed.1.zip	4	upper half of seedling root
