Source Name	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [biosource type]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [treatment]	Factor Value [genotype]	Factor Value [time]	Unit [time unit]	Factor Value [light]
Ulm_1-12_4days-345nm_6hr-305nm_Rep3_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2665	P-MTAB-2675	P-MTAB-2670	E_Ulm_1-12_4days-345nm_6hr-305nm_Rep3_AT	total_RNA	P-AFFY-2	L_Ulm_1-12_4days-345nm_6hr-305nm_Rep3_AT	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-12_4days-345nm_6hr-305nm_Rep3_AT	A-AFFY-2	P-AFFY-6	Ulm_1-12_4days-345nm_6hr-305nm_Rep3_ATH1.CEL	Ulm_1-12_4days-345nm_6hr-305nm_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	6	hour	UV-B light regimen (345 nm)
Ulm_1-11_4days-345nm_6hr-305nm_Rep2_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2665	P-MTAB-2675	P-MTAB-2670	E_Ulm_1-11_4days-345nm_6hr-305nm_Rep2_AT	total_RNA	P-AFFY-2	L_Ulm_1-11_4days-345nm_6hr-305nm_Rep2_AT	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-11_4days-345nm_6hr-305nm_Rep2_AT	A-AFFY-2	P-AFFY-6	Ulm_1-11_4days-345nm_6hr-305nm_Rep2_ATH1.CEL	Ulm_1-11_4days-345nm_6hr-305nm_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	wild type	6	hour	UV-B light regimen (345 nm)
Ulm_3-8_cop1-305-6h_Rep2_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2666	P-MTAB-2675	P-MTAB-2668	E_Ulm_3-8_cop1-305-6h_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-8_cop1-305-6h_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-8_cop1-305-6h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-8_cop1-305-6h_Rep2_ATH1.CEL	Ulm_3-8_cop1-305-6h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	6	hour	UV-B light regimen (345 nm)
Ulm_3-7_cop1-305-6h_Rep1_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2666	P-MTAB-2675	P-MTAB-2668	E_Ulm_3-7_cop1-305-6h_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-7_cop1-305-6h_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-7_cop1-305-6h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-7_cop1-305-6h_Rep1_ATH1.CEL	Ulm_3-7_cop1-305-6h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	6	hour	UV-B light regimen (345 nm)
Ulm_3-9_cop1-305-6h_Rep3_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2666	P-MTAB-2675	P-MTAB-2668	E_Ulm_3-9_cop1-305-6h_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-9_cop1-305-6h_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-9_cop1-305-6h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-9_cop1-305-6h_Rep3_ATH1.CEL	Ulm_3-9_cop1-305-6h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	cop-1	6	hour	UV-B light regimen (345 nm)
Ulm_2-7_uvr8-305-6h_Rep1_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2659	P-MTAB-2675	P-MTAB-2667	E_Ulm_2-7_uvr8-305-6h_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-7_uvr8-305-6h_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-7_uvr8-305-6h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-7_uvr8-305-6h_Rep1_ATH1.CEL	Ulm_2-7_uvr8-305-6h_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	6	hour	UV-B light regimen (345 nm)
Ulm_2-8_uvr8-305-6h_Rep2_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2659	P-MTAB-2675	P-MTAB-2667	E_Ulm_2-8_uvr8-305-6h_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-8_uvr8-305-6h_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-8_uvr8-305-6h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-8_uvr8-305-6h_Rep2_ATH1.CEL	Ulm_2-8_uvr8-305-6h_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	6	hour	UV-B light regimen (345 nm)
Ulm_2-9_uvr8-305-6h_Rep3_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2659	P-MTAB-2675	P-MTAB-2667	E_Ulm_2-9_uvr8-305-6h_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-9_uvr8-305-6h_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-9_uvr8-305-6h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-9_uvr8-305-6h_Rep3_ATH1.CEL	Ulm_2-9_uvr8-305-6h_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	305nm	uvr-8	6	hour	UV-B light regimen (345 nm)
Ulm_1-4_4days-305nm_Rep1_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2669	P-MTAB-2675	  	E_Ulm_1-4_4days-305nm_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-4_4days-305nm_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-4_4days-305nm_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-4_4days-305nm_Rep1_ATH1.CEL	Ulm_1-4_4days-305nm_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (305 nm)
Ulm_1-5_4days-305nm_Rep2_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2669	P-MTAB-2675	  	E_Ulm_1-5_4days-305nm_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-5_4days-305nm_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-5_4days-305nm_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-5_4days-305nm_Rep2_ATH1.CEL	Ulm_1-5_4days-305nm_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (305 nm)
Ulm_1-6_4days-305nm_Rep3_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2669	P-MTAB-2675	  	E_Ulm_1-6_4days-305nm_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-6_4days-305nm_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-6_4days-305nm_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-6_4days-305nm_Rep3_ATH1.CEL	Ulm_1-6_4days-305nm_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (305 nm)
Ulm_1-3_4days-345nm_Rep3_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2674	P-MTAB-2675	  	E_Ulm_1-3_4days-345nm_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-3_4days-345nm_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-3_4days-345nm_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-3_4days-345nm_Rep3_ATH1.CEL	Ulm_1-3_4days-345nm_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (345 nm)
Ulm_1-1_4days-345nm_Rep1_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2674	P-MTAB-2675	  	E_Ulm_1-1_4days-345nm_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-1_4days-345nm_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-1_4days-345nm_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-1_4days-345nm_Rep1_ATH1.CEL	Ulm_1-1_4days-345nm_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (345 nm)
