Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[GR inducible system using transgenic Arabidopsis carrying pGL1]	Characteristics[GR inducible system using transgenic Arabidopsis carrying pGL3]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM315464 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 24 hours, sample 3	Arabidopsis pGL1::GL1-GR with Dex treatment for 24 hours, sample 3	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315464 extract 1	total RNA	P-GSE12551-3	GSM315464 LE 1	Biotin	P-GSE12551-4	GSM315464	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315464_sample_table.txt norm	GSM315464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315463 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 24 hours, sample 2	Arabidopsis pGL1::GL1-GR with Dex treatment for 24 hours, sample 2	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315463 extract 1	total RNA	P-GSE12551-3	GSM315463 LE 1	Biotin	P-GSE12551-4	GSM315463	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315463.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315463_sample_table.txt norm	GSM315463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315462 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 24 hours, sample 1	Arabidopsis pGL1::GL1-GR with Dex treatment for 24 hours, sample 1	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315462 extract 1	total RNA	P-GSE12551-3	GSM315462 LE 1	Biotin	P-GSE12551-4	GSM315462	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315462.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315462_sample_table.txt norm	GSM315462_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315461 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 24 hours, sample 3	Arabidopsis pGL1::GL1-GR with mock treatment for 24 hours, sample 3	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315461 extract 1	total RNA	P-GSE12551-3	GSM315461 LE 1	Biotin	P-GSE12551-4	GSM315461	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315461.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315461_sample_table.txt norm	GSM315461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315460 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 24 hours, sample 2	Arabidopsis pGL1::GL1-GR with mock treatment for 24 hours, sample 2	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315460 extract 1	total RNA	P-GSE12551-3	GSM315460 LE 1	Biotin	P-GSE12551-4	GSM315460	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315460.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315460_sample_table.txt norm	GSM315460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315459 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 24 hours, sample 1	Arabidopsis pGL1::GL1-GR with mock treatment for 24 hours, sample 1	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315459 extract 1	total RNA	P-GSE12551-3	GSM315459 LE 1	Biotin	P-GSE12551-4	GSM315459	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315459.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315459_sample_table.txt norm	GSM315459_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315458 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 4 hours, sample 3	Arabidopsis pGL1::GL1-GR with Dex treatment for 4 hours, sample 3	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315458 extract 1	total RNA	P-GSE12551-3	GSM315458 LE 1	Biotin	P-GSE12551-4	GSM315458	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315458.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315458_sample_table.txt norm	GSM315458_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315457 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 4 hours, sample 2	Arabidopsis pGL1::GL1-GR with Dex treatment for 4 hours, sample 2	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315457 extract 1	total RNA	P-GSE12551-3	GSM315457 LE 1	Biotin	P-GSE12551-4	GSM315457	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315457.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315457_sample_table.txt norm	GSM315457_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315456 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with Dex treatment for 4 hours, sample 1	Arabidopsis pGL1::GL1-GR with Dex treatment for 4 hours, sample 1	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315456 extract 1	total RNA	P-GSE12551-3	GSM315456 LE 1	Biotin	P-GSE12551-4	GSM315456	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315456.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315456_sample_table.txt norm	GSM315456_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315455 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 4 hours, sample 3	Arabidopsis pGL1::GL1-GR with mock treatment for 4 hours, sample 3	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315455 extract 1	total RNA	P-GSE12551-3	GSM315455 LE 1	Biotin	P-GSE12551-4	GSM315455	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315455.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315455_sample_table.txt norm	GSM315455_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315454 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 4 hours, sample 2	Arabidopsis pGL1::GL1-GR with mock treatment for 4 hours, sample 2	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315454 extract 1	total RNA	P-GSE12551-3	GSM315454 LE 1	Biotin	P-GSE12551-4	GSM315454	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315454.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315454_sample_table.txt norm	GSM315454_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
GSM315453 1	This experiment was done to compare the gene expression between Dex and mock treatment plants	Arabidopsis green tissues, pGL1::GL1-GR with mock treatment for 4 hours, sample 1	Arabidopsis pGL1::GL1-GR with mock treatment for 4 hours, sample 1	:GL1-GR	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE12551-2	GSM315453 extract 1	total RNA	P-GSE12551-3	GSM315453 LE 1	Biotin	P-GSE12551-4	GSM315453	A-AFFY-2	  	P-GSE12551-5	P-GSE12551-6	GSM315453.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.raw.1.zip	P-GSE12551-1	GSM315453_sample_table.txt norm	GSM315453_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12551/E-GEOD-12551.processed.1.zip
