Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[COMPOUND]	FactorValue[GENOTYPE]
GSM226912 1	cop1-6 mutant seedlings grown under constant blue-light, biological rep 2	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant blue-light	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_BL_2	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226912 extract 1	total RNA	P-GSE8955-5	GSM226912 LE 1	Biotin	P-GSE8955-6	GSM226912	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226912_sample_table.txt norm	GSM226912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	cop1-6 mutant
GSM226911 1	cop1-6 mutant seedlings grown under constant blue-light, biological rep 1	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant blue-light	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_BL_1	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226911 extract 1	total RNA	P-GSE8955-5	GSM226911 LE 1	Biotin	P-GSE8955-6	GSM226911	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226911_sample_table.txt norm	GSM226911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	cop1-6 mutant
GSM226910 1	atmyc2 mutant seedlings grown under constant blue-light, biological rep 2	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant blue-light	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_BL_2	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226910 extract 1	total RNA	P-GSE8955-5	GSM226910 LE 1	Biotin	P-GSE8955-6	GSM226910	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226910_sample_table.txt norm	GSM226910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	atmyc2 mutant
GSM226909 1	atmyc2 mutant seedlings grown under constant blue-light, biological rep 1	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant blue-light	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_BL_1	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226909 extract 1	total RNA	P-GSE8955-5	GSM226909 LE 1	Biotin	P-GSE8955-6	GSM226909	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226909_sample_table.txt norm	GSM226909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	atmyc2 mutant
GSM226908 1	Wild-type seedlings grown under constant blue-light, biological rep 2	10-day-old wild-type Arabidopsis seedlings grown under constant blue-light	10-day-old wild-type seedlings	WT_Seedling_BL_2	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226908 extract 1	total RNA	P-GSE8955-5	GSM226908 LE 1	Biotin	P-GSE8955-6	GSM226908	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226908_sample_table.txt norm	GSM226908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	wild_type
GSM226907 1	Wild-type seedlings grown under constant blue-light, biological rep 1	10-day-old wild-type Arabidopsis seedlings grown under constant blue-light	10-day-old wild-type seedlings	WT_Seedling_BL_1	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-9	P-GSE8955-10	P-GSE8955-4	GSM226907 extract 1	total RNA	P-GSE8955-5	GSM226907 LE 1	Biotin	P-GSE8955-6	GSM226907	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226907_sample_table.txt norm	GSM226907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant blue-light	none	wild_type
GSM226906 1	atmyc2 cop1-6 double mutant seedlings grown under constant dark, biological rep 2	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant dark	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_Dark_2	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226906 extract 1	total RNA	P-GSE8955-5	GSM226906 LE 1	Biotin	P-GSE8955-6	GSM226906	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226906_sample_table.txt norm	GSM226906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	atmyc2 cop1-6 double mutant
GSM226905 1	atmyc2 cop1-6 double mutant seedlings grown under constant dark, biological rep 1	10-day-old atmyc2 cop1-6 double mutant Arabidopsis seedlings grown under constant dark	10-day-old atmyc2 cop1-6 double mutant seedlings	atmyc2 cop1-6_Seedling_Dark_1	atmyc2 cop1-6 double mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226905 extract 1	total RNA	P-GSE8955-5	GSM226905 LE 1	Biotin	P-GSE8955-6	GSM226905	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226905_sample_table.txt norm	GSM226905_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	atmyc2 cop1-6 double mutant
GSM226904 1	cop1-6 mutant seedlings grown under constant dark, biological rep 2	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant dark	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_Dark_2	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226904 extract 1	total RNA	P-GSE8955-5	GSM226904 LE 1	Biotin	P-GSE8955-6	GSM226904	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226904_sample_table.txt norm	GSM226904_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	cop1-6 mutant
GSM226903 1	cop1-6 mutant seedlings grown under constant dark, biological rep 1	10-day-old cop1-6 mutant Arabidopsis seedlings grown under constant dark	10-day-old cop1-6 mutant seedlings	cop1-6_Seedling_Dark_1	cop1-6 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226903 extract 1	total RNA	P-GSE8955-5	GSM226903 LE 1	Biotin	P-GSE8955-6	GSM226903	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226903_sample_table.txt norm	GSM226903_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	cop1-6 mutant
GSM226902 1	atmyc2 mutant seedlings grown under constant dark, biological rep 2	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant dark	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_Dark_2	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226902 extract 1	total RNA	P-GSE8955-5	GSM226902 LE 1	Biotin	P-GSE8955-6	GSM226902	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226902_sample_table.txt norm	GSM226902_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	atmyc2 mutant
GSM226901 1	atmyc2 mutant seedlings grown under constant dark, biological rep 1	10-day-old atmyc2 mutant Arabidopsis seedlings grown under constant dark	10-day-old atmyc2 mutant seedlings	atmyc2_Seedling_Dark_1	atmyc2 mutant	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226901 extract 1	total RNA	P-GSE8955-5	GSM226901 LE 1	Biotin	P-GSE8955-6	GSM226901	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226901_sample_table.txt norm	GSM226901_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	atmyc2 mutant
GSM226900 1	Wild-type seedlings grown under constant dark, biological rep 2	10-day-old wild-type Arabidopsis seedlings grown under constant dark	10-day-old wild-type seedlings	WT_Seedling_Dark_2	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226900 extract 1	total RNA	P-GSE8955-5	GSM226900 LE 1	Biotin	P-GSE8955-6	GSM226900	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226900_sample_table.txt norm	GSM226900_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	wild_type
GSM226899 1	Wild-type seedlings grown under constant dark, biological rep 1	10-day-old wild-type Arabidopsis seedlings grown under constant dark	10-day-old wild-type seedlings	WT_Seedling_Dark_1	wild_type	10	days	seedling	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE8955-2	P-GSE8955-3	P-GSE8955-4	GSM226899 extract 1	total RNA	P-GSE8955-5	GSM226899 LE 1	Biotin	P-GSE8955-6	GSM226899	A-AFFY-2	P-GSE8955-7	P-GSE8955-8	GSM226899.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.raw.1.zip	P-GSE8955-1	GSM226899_sample_table.txt norm	GSM226899_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8955/E-GEOD-8955.processed.1.zip	constant dark	none	wild_type
