Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Comment[stock code]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [infect]	FactorValue [time]	Unit[time unit]
GSM477946 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477946 extract 1	total RNA	P-GSE19264-4	GSM477946 LE 1	biotin	P-GSE19264-5	GSM477946	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477946_sample_table.txt norm	GSM477946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	21	hour
GSM477945 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477945 extract 1	total RNA	P-GSE19264-4	GSM477945 LE 1	biotin	P-GSE19264-5	GSM477945	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477945_sample_table.txt norm	GSM477945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	21	hour
GSM477944 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477944 extract 1	total RNA	P-GSE19264-4	GSM477944 LE 1	biotin	P-GSE19264-5	GSM477944	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477944.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477944_sample_table.txt norm	GSM477944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	12	hour
GSM477943 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477943 extract 1	total RNA	P-GSE19264-4	GSM477943 LE 1	biotin	P-GSE19264-5	GSM477943	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477943_sample_table.txt norm	GSM477943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	12	hour
GSM477942 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477942 extract 1	total RNA	P-GSE19264-4	GSM477942 LE 1	biotin	P-GSE19264-5	GSM477942	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477942_sample_table.txt norm	GSM477942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	12	hour
GSM477941 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477941 extract 1	total RNA	P-GSE19264-4	GSM477941 LE 1	biotin	P-GSE19264-5	GSM477941	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477941_sample_table.txt norm	GSM477941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	8	hour
GSM477940 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477940 extract 1	total RNA	P-GSE19264-4	GSM477940 LE 1	biotin	P-GSE19264-5	GSM477940	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477940.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477940_sample_table.txt norm	GSM477940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	8	hour
GSM477939 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477939 extract 1	total RNA	P-GSE19264-4	GSM477939 LE 1	biotin	P-GSE19264-5	GSM477939	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477939_sample_table.txt norm	GSM477939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	8	hour
GSM477938 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477938 extract 1	total RNA	P-GSE19264-4	GSM477938 LE 1	biotin	P-GSE19264-5	GSM477938	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477938_sample_table.txt norm	GSM477938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	21	hour
GSM477937 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477937 extract 1	total RNA	P-GSE19264-4	GSM477937 LE 1	biotin	P-GSE19264-5	GSM477937	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477937_sample_table.txt norm	GSM477937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	21	hour
GSM477936 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 21hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477936 extract 1	total RNA	P-GSE19264-4	GSM477936 LE 1	biotin	P-GSE19264-5	GSM477936	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477936_sample_table.txt norm	GSM477936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	21	hour
GSM477935 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477935 extract 1	total RNA	P-GSE19264-4	GSM477935 LE 1	biotin	P-GSE19264-5	GSM477935	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477935_sample_table.txt norm	GSM477935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	12	hour
GSM477934 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477934 extract 1	total RNA	P-GSE19264-4	GSM477934 LE 1	biotin	P-GSE19264-5	GSM477934	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477934_sample_table.txt norm	GSM477934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	12	hour
GSM477933 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 12hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477933 extract 1	total RNA	P-GSE19264-4	GSM477933 LE 1	biotin	P-GSE19264-5	GSM477933	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477933_sample_table.txt norm	GSM477933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	12	hour
GSM477932 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, avrRpm1, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477932 extract 1	total RNA	P-GSE19264-4	GSM477932 LE 1	biotin	P-GSE19264-5	GSM477932	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477932_sample_table.txt norm	GSM477932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 avrRpm1	8	hour
GSM477931 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, wildtype, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477931 extract 1	total RNA	P-GSE19264-4	GSM477931 LE 1	biotin	P-GSE19264-5	GSM477931	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477931_sample_table.txt norm	GSM477931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	8	hour
GSM477930 1	"Growth Room Levingtons F2 compost (Fisons, Ipswich, UK). 2 days in fridge at 4oC."	"Col-5, hrpA, 8hr"	Arabidopsis thaliana	Boyes key 3.9	N1688	Col-5	leaf	P-GSE19264-2	P-GSE19264-3	GSM477930 extract 1	total RNA	P-GSE19264-4	GSM477930 LE 1	biotin	P-GSE19264-5	GSM477930	A-AFFY-2	P-GSE19264-6	P-GSE19264-7	GSM477930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.raw.1.zip	P-GSE19264-1	GSM477930_sample_table.txt norm	GSM477930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19264/E-GEOD-19264.processed.1.zip	Pseudomonas syringae pv. tomato DC3000 hrpA mutant	8	hour
