Source Name	Material Type	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [compound]	Term Source REF	Term Accession Number	Factor Value[dose]	Unit[concentration unit]
GSM871261 1	organism part	columella control 2	columella control 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871261 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871261 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871261	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871261_sample_table.txt norm	GSM871261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	none	  	    	    	        
GSM871260 1	organism part	columella control 1	columella control 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	columella	PET111	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871260 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871260 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871260	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871260_sample_table.txt norm	GSM871260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	columella	none	  	    	    	        
GSM871259 1	organism part	epidermis auxin 3	epidermis auxin 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871259 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871259 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871259	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871259.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871259_sample_table.txt norm	GSM871259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871258 1	organism part	epidermis auxin 2	epidermis auxin 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871258 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871258 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871258	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871258_sample_table.txt norm	GSM871258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871257 1	organism part	epidermis auxin 1	epidermis auxin 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871257 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871257 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871257	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871257.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871257_sample_table.txt norm	GSM871257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871256 1	organism part	epidermis control 3	epidermis control 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871256 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871256 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871256	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871256.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871256_sample_table.txt norm	GSM871256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	none	  	    	    	        
GSM871255 1	organism part	epidermis control 2	epidermis control 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871255 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871255 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871255	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871255_sample_table.txt norm	GSM871255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	none	  	    	    	        
GSM871254 1	organism part	epidermis control 1	epidermis control 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	epidermis	pWER::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871254 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871254 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871254	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871254_sample_table.txt norm	GSM871254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	epidermis	none	  	    	    	        
GSM871253 1	organism part	pericycle auxin 3	pericycle auxin 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871253 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871253 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871253	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871253_sample_table.txt norm	GSM871253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871252 1	organism part	pericycle auxin 2	pericycle auxin 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871252 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871252 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871252	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871252_sample_table.txt norm	GSM871252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871251 1	organism part	pericycle auxin 1	pericycle auxin 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871251 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871251 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871251	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871251_sample_table.txt norm	GSM871251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871250 1	organism part	pericycle control 3	pericycle control 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871250 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871250 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871250	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871250_sample_table.txt norm	GSM871250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	none	  	    	    	        
GSM871249 1	organism part	pericycle control 2	pericycle control 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871249 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871249 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871249	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871249_sample_table.txt norm	GSM871249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	none	  	    	    	        
GSM871248 1	organism part	pericycle control 1	pericycle control 1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pericycle	E3754	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871248 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871248 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871248	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871248_sample_table.txt norm	GSM871248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	pericycle	none	  	    	    	        
GSM871247 1	organism part	stele auxin 3	stele auxin 3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	stele	pWOL::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871247 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871247 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871247	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871247_sample_table.txt norm	GSM871247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	stele	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
GSM871246 1	organism part	stele auxin 2	stele auxin 2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	stele	pWOL::GFP	1	week	seedling	P-GSE35580-2	ArrayExpress	P-GSE35580-3	ArrayExpress	P-GSE35580-4	ArrayExpress	GSM871246 extract 1	total RNA	P-GSE35580-5	ArrayExpress	GSM871246 LE 1	biotin	P-GSE35580-6	ArrayExpress	GSM871246	A-AFFY-2	ArrayExpress	array assay	P-GSE35580-7	ArrayExpress	GSM871246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.raw.1.zip	P-GSE35580-1	ArrayExpress	GSM871246_sample_table.txt norm	GSM871246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35580/E-GEOD-35580.processed.1.zip	stele	indole-3-acetic acid	EO	http://purl.obolibrary.org/obo/EO_0007074	5	micromolar
