Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue [age]	Unit [time unit]
GSM1262620 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r3 myb3r4 myb3r5 triple mutant	myb3r1/3/5_seedling_9d	triple mutant of myb3r1 myb3r3 myb3r5, seedling, 9d-old	triple mutant of myb3r1 myb3r3 myb3r5, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262620 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262620 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262620	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262620_myb3r1_3_5_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262620_sample_table.txt norm	GSM1262620_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r3 myb3r4 myb3r5 triple mutant	whole organism	9	day
GSM1262619 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r3 myb3r5 double mutant	myb3r3/5_seedling_9d	double mutant of myb3r3 myb3r5, seedling, 9d-old	double mutant of myb3r3 myb3r5, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262619 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262619 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262619	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262619_myb3r3_5_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262619_sample_table.txt norm	GSM1262619_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r3 myb3r5 double mutant	whole organism	9	day
GSM1262616 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r4 mutant	myb3r4_seedling_9d	single mutant of myb3r4, seedling, 9d-old	single mutant of myb3r4, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262616 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262616 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262616	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262616_myb3r4_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262616_sample_table.txt norm	GSM1262616_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r4 mutant	whole organism	9	day
GSM1262617 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	myb3r5 mutant	myb3r5_seedling_9d	single mutant of myb3r5, seedling, 9d-old	single mutant of myb3r5, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262617 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262617 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262617	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262617_myb3r5_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262617_sample_table.txt norm	GSM1262617_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	myb3r5 mutant	whole organism	9	day
GSM1262624 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	5	day	seedling	leaf	wild type	WT_leaf_5d-2	wild-type (Columbia), first leaf pairs, 5d-old	wild-type, first leaf pairs, 5d-old, rep2	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262624 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262624 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262624	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262624_WT_leaf_5d-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262624_sample_table.txt norm	GSM1262624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	leaf	5	day
GSM1262623 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	5	day	seedling	leaf	wild type	WT_leaf_5d-1	wild-type (Columbia), first leaf pairs, 5d-old	wild-type, first leaf pairs, 5d-old, rep1	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262623 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262623 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262623	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262623_WT_leaf_5d-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262623_sample_table.txt norm	GSM1262623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	leaf	5	day
GSM1262613 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	9	day	seedling	whole organism	wild type	WT_seedling_9d	wild-type (Columbia), seedling, 9d-old	wild-type, seedling, 9d-old	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262613 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262613 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262613	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262613_WT_seedling_9d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262613_sample_table.txt norm	GSM1262613_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	whole organism	9	day
GSM1262627 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	wild type	WT_leaf_15d-3	wild-type (Columbia), first leaf pairs, 15d-old	wild-type, first leaf pairs, 15d-old, rep3	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262627 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262627 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262627	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262627_WT_leaf_15d-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262627_sample_table.txt norm	GSM1262627_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	leaf	15	day
GSM1262626 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	wild type	WT_leaf_15d-2	wild-type (Columbia), first leaf pairs, 15d-old	wild-type, first leaf pairs, 15d-old, rep2	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262626 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262626 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262626	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262626_WT_leaf_15d-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262626_sample_table.txt norm	GSM1262626_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	leaf	15	day
GSM1262625 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Columbia ecotype	15	day	seedling	leaf	wild type	WT_leaf_15d-1	wild-type (Columbia), first leaf pairs, 15d-old	wild-type, first leaf pairs, 15d-old, rep1	P-GSE52298-2	ArrayExpress	P-GSE52298-3	ArrayExpress	P-GSE52298-4	ArrayExpress	GSM1262625 extract 1	total RNA	P-GSE52298-5	ArrayExpress	GSM1262625 LE 1	biotin	P-GSE52298-6	ArrayExpress	GSM1262625	A-AFFY-2	ArrayExpress	array assay	P-GSE52298-7	ArrayExpress	GSM1262625_WT_leaf_15d-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.raw.1.zip	P-GSE52298-1	ArrayExpress	GSM1262625_sample_table.txt norm	GSM1262625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52298/E-GEOD-52298.processed.1.zip	wild type	leaf	15	day
