Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[time]	Unit[time unit]	FactorValue[genotype]	FactorValue[compound]
GSE13833GSM347983	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347983 sample	P-G13833-4	GSE13833GSM347983 extract	total_RNA	P-G13833-3	GSE13833GSM347983 LE biotin	biotin	synthetic_RNA	Col-0_INA_48h_rep3	A-AFFY-2	P-AFFY-6	GSM347983.CEL	GSM347983.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	2,6-dichloroisonicotinic acid
GSE13833GSM347967	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after INA treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347967 sample	P-G13833-4	GSE13833GSM347967 extract	total_RNA	P-G13833-3	GSE13833GSM347967 LE biotin	biotin	synthetic_RNA	Col-0_INA_48h_rep2	A-AFFY-2	P-AFFY-6	GSM347967.CEL	GSM347967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	2,6-dichloroisonicotinic acid
GSE13833GSM347984	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347984 sample	P-G13833-4	GSE13833GSM347984 extract	total_RNA	P-G13833-3	GSE13833GSM347984 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_48h_rep1	A-AFFY-2	P-AFFY-6	GSM347984.CEL	GSM347984.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	none
GSE13833GSM347987	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347987 sample	P-G13833-4	GSE13833GSM347987 extract	total_RNA	P-G13833-3	GSE13833GSM347987 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_48h_rep3	A-AFFY-2	P-AFFY-6	GSM347987.CEL	GSM347987.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	none
GSE13833GSM347985	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 48h after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347985 sample	P-G13833-4	GSE13833GSM347985 extract	total_RNA	P-G13833-3	GSE13833GSM347985 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_48h_rep2	A-AFFY-2	P-AFFY-6	GSM347985.CEL	GSM347985.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	2	day	wild type	none
GSE13833GSM347946	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after DCA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after DCA	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347946 sample	P-G13833-4	GSE13833GSM347946 extract	total_RNA	P-G13833-3	GSE13833GSM347946 LE biotin	biotin	synthetic_RNA	Col-0_DCA_6d_rep3	A-AFFY-2	P-AFFY-6	GSM347946.CEL	GSM347946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347945	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after DCA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment	whole aerial tissue of Arabidopsis seedlings 6d after DCA	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347945 sample	P-G13833-4	GSE13833GSM347945 extract	total_RNA	P-G13833-3	GSE13833GSM347945 LE biotin	biotin	synthetic_RNA	Col-0_DCA_6d_rep2	A-AFFY-2	P-AFFY-6	GSM347945.CEL	GSM347945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347944	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after DCA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . Aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) were treated with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after DCA	Aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) were treated with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347944 sample	P-G13833-4	GSE13833GSM347944 extract	total_RNA	P-G13833-3	GSE13833GSM347944 LE biotin	biotin	synthetic_RNA	Col-0_DCA_6d_rep1	A-AFFY-2	P-AFFY-6	GSM347944.CEL	GSM347944.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	3,5-dichloroanthranilic acid
GSE13833GSM347959	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after INA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after INA	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347959 sample	P-G13833-4	GSE13833GSM347959 extract	total_RNA	P-G13833-3	GSE13833GSM347959 LE biotin	biotin	synthetic_RNA	Col-0_INA_6d_rep3	A-AFFY-2	P-AFFY-6	GSM347959.CEL	GSM347959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	2,6-dichloroisonicotinic acid
GSE13833GSM347958	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after INA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after INA	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347958 sample	P-G13833-4	GSE13833GSM347958 extract	total_RNA	P-G13833-3	GSE13833GSM347958 LE biotin	biotin	synthetic_RNA	Col-0_INA_6d_rep2	A-AFFY-2	P-AFFY-6	GSM347958.CEL	GSM347958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	2,6-dichloroisonicotinic acid
GSE13833GSM347957	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after INA:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after INA	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347957 sample	P-G13833-4	GSE13833GSM347957 extract	total_RNA	P-G13833-3	GSE13833GSM347957 LE biotin	biotin	synthetic_RNA	Col-0_INA_6d_rep1	A-AFFY-2	P-AFFY-6	GSM347957.CEL	GSM347957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	2,6-dichloroisonicotinic acid
GSE13833GSM347960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347960 sample	P-G13833-4	GSE13833GSM347960 extract	total_RNA	P-G13833-3	GSE13833GSM347960 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_6d_rep1	A-AFFY-2	P-AFFY-6	GSM347960.CEL	GSM347960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	none
GSE13833GSM347962	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347962 sample	P-G13833-4	GSE13833GSM347962 extract	total_RNA	P-G13833-3	GSE13833GSM347962 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_6d_rep3	A-AFFY-2	P-AFFY-6	GSM347962.CEL	GSM347962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	none
GSE13833GSM347961	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment:  The goal of this project was a comparative analysis of defense responses triggered by the synthetic elicitors 3,5-Dichloroanthranilic acid (DCA) or 2,6-Dichloroisonicotinic acid (INA) in Arabidopsis thaliana. . aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	whole aerial tissue of Arabidopsis seedlings 6d after mock treatment	aerial tissues of 2 week old soil grown wild type Arabidopsis seedlings (accession Col-0) weretreated  with 100uM 3,5-Dichloroanthranilic acid (DCA), or 100uM 2,6-Dichloroisonicotinic acid (INA) or mock solution and harvested 48h or 6 days after the treatment.	2	week	aerial part	Col-0	seedling	wild type	P-G13833-2	P-G13833-1	GSE13833GSM347961 sample	P-G13833-4	GSE13833GSM347961 extract	total_RNA	P-G13833-3	GSE13833GSM347961 LE biotin	biotin	synthetic_RNA	Col-0_MOCK_6d_rep2	A-AFFY-2	P-AFFY-6	GSM347961.CEL	GSM347961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-13833-processed-data-1747982140.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13833/E-GEOD-13833.processed.1.zip	6	day	wild type	none
