Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [light]	FactorValue [genotype]
GSM1123851 1	Gene expression data from leaves of Atwrky40 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky40_high light_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123851 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123851 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123851	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123851_20_W40_HL_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123851_sample_table.txt norm	GSM1123851_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40 KO
GSM1123850 1	Gene expression data from leaves of Atwrky40 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky40_high light_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123850 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123850 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123850	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123850_19_W40_HL_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123850_sample_table.txt norm	GSM1123850_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40 KO
GSM1123849 1	Gene expression data from leaves of Col0 Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Col0 plants, treated with high light for 1h at 1000 μE m-2s-1	Col0_high light_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	wild type	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123849 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123849 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123849	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123849_18_Col0_HL_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123849_sample_table.txt norm	GSM1123849_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	wild type
GSM1123848 1	Gene expression data from leaves of Col0 Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Col0 plants, treated with high light for 1h at 1000 μE m-2s-1	Col0_high light_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	wild type	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123848 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123848 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123848	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123848_17_Col0_HL_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123848_sample_table.txt norm	GSM1123848_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	wild type
GSM1123847 1	Gene expression data from leaves of Col0 Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Col0 plants, treated with high light for 1h at 1000 μE m-2s-1	Col0_high light_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	wild type	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123847 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123847 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123847	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123847_16_Col0_HL_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123847_sample_table.txt norm	GSM1123847_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	wild type
GSM1123846 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants	OE_WRKY63.3_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123846 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123846 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123846	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123846_15_OE63.3_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123846_sample_table.txt norm	GSM1123846_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63.3 OE
GSM1123845 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants	OE_WRKY63.3_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123845 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123845 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123845	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123845_14_OE63.3_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123845_sample_table.txt norm	GSM1123845_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63.3 OE
GSM1123844 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants	OE_WRKY63.3_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123844 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123844 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123844	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123844_13_OE63.3_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123844_sample_table.txt norm	GSM1123844_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63.3 OE
GSM1123843 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63 KO plants	Atwrky63_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123843 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123843 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123843	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123843_12_W63_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123843_sample_table.txt norm	GSM1123843_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63 KO
GSM1123842 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63 KO plants	Atwrky63_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123842 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123842 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123842	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123842_11_W63_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123842_sample_table.txt norm	GSM1123842_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63 KO
GSM1123841 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky63 KO plants	Atwrky63_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123841 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123841 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123841	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123841_10_W63_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123841_sample_table.txt norm	GSM1123841_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky63 KO
GSM1123840 1	Gene expression data from leaves of Atwrky40.4 OE Arabidopsis plants	Arabidopsis leaves from 21-day old Atwrky40.4 OE plants	OE_WRKY40.4_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40.4 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123840 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123840 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123840	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123840_9_OE40.4_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123840_sample_table.txt norm	GSM1123840_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	normal light	Atwrky40.4 OE
