Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[TimeUnit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[organism part]	FactorValue[growth condition]
GSM744744 1	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	"Arabidopsis root cells, endodermis and quiescent center, pH 4.6, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root endodermis and quiescent center	Col-0	pSCR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744744 extract 1	total RNA	P-GSE30095-5	GSM744744 LE 1	biotin	P-GSE30095-6	GSM744744	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744744.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744744_sample_table.txt norm	GSM744744_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root endodermis and quiescent center	low pH (pH 4.6) 
GSM744743 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 5.7, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744743 extract 1	total RNA	P-GSE30095-5	GSM744743 LE 1	biotin	P-GSE30095-6	GSM744743	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744743.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744743_sample_table.txt norm	GSM744743_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	standard pH (pH 5.7) 
GSM744742 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 5.7, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744742 extract 1	total RNA	P-GSE30095-5	GSM744742 LE 1	biotin	P-GSE30095-6	GSM744742	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744742.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744742_sample_table.txt norm	GSM744742_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	standard pH (pH 5.7) 
GSM744741 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 5.7, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744741 extract 1	total RNA	P-GSE30095-5	GSM744741 LE 1	biotin	P-GSE30095-6	GSM744741	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744741.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744741_sample_table.txt norm	GSM744741_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	standard pH (pH 5.7) 
GSM744740 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 4.6, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744740 extract 1	total RNA	P-GSE30095-5	GSM744740 LE 1	biotin	P-GSE30095-6	GSM744740	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744740.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744740_sample_table.txt norm	GSM744740_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	low pH (pH 4.6) 
GSM744739 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 4.6, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744739 extract 1	total RNA	P-GSE30095-5	GSM744739 LE 1	biotin	P-GSE30095-6	GSM744739	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744739.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744739_sample_table.txt norm	GSM744739_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	low pH (pH 4.6) 
GSM744738 1	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	"Arabidopsis root cells, cortex, pH 4.6, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root cortex	Col-0	pCOR::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744738 extract 1	total RNA	P-GSE30095-5	GSM744738 LE 1	biotin	P-GSE30095-6	GSM744738	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744738.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744738_sample_table.txt norm	GSM744738_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root cortex	low pH (pH 4.6) 
GSM744737 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 5.7, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744737 extract 1	total RNA	P-GSE30095-5	GSM744737 LE 1	biotin	P-GSE30095-6	GSM744737	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744737_sample_table.txt norm	GSM744737_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	standard pH (pH 5.7) 
GSM744736 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 5.7, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744736 extract 1	total RNA	P-GSE30095-5	GSM744736 LE 1	biotin	P-GSE30095-6	GSM744736	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744736.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744736_sample_table.txt norm	GSM744736_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	standard pH (pH 5.7) 
GSM744735 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 5.7, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744735 extract 1	total RNA	P-GSE30095-5	GSM744735 LE 1	biotin	P-GSE30095-6	GSM744735	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744735.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744735_sample_table.txt norm	GSM744735_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	standard pH (pH 5.7) 
GSM744734 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 4.6, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744734 extract 1	total RNA	P-GSE30095-5	GSM744734 LE 1	biotin	P-GSE30095-6	GSM744734	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744734.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744734_sample_table.txt norm	GSM744734_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	low pH (pH 4.6) 
GSM744733 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 4.6, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744733 extract 1	total RNA	P-GSE30095-5	GSM744733 LE 1	biotin	P-GSE30095-6	GSM744733	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744733_sample_table.txt norm	GSM744733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	low pH (pH 4.6) 
GSM744732 1	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	"Arabidopsis root cells, epidermis and lateral root cap, pH 4.6, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root epidermis and lateral root cap	Col-0	pWER::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744732 extract 1	total RNA	P-GSE30095-5	GSM744732 LE 1	biotin	P-GSE30095-6	GSM744732	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744732_sample_table.txt norm	GSM744732_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root epidermis and lateral root cap	low pH (pH 4.6) 
GSM744731 1	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	"Arabidopsis root cells, columella root cap, pH 5.7, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root columella root cap	Col-0	Pet111::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744731 extract 1	total RNA	P-GSE30095-5	GSM744731 LE 1	biotin	P-GSE30095-6	GSM744731	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744731.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744731_sample_table.txt norm	GSM744731_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root columella root cap	standard pH (pH 5.7) 
GSM744730 1	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	"Arabidopsis root cells, columella root cap, pH 5.7, replicate 2"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root columella root cap	Col-0	Pet111::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744730 extract 1	total RNA	P-GSE30095-5	GSM744730 LE 1	biotin	P-GSE30095-6	GSM744730	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744730.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744730_sample_table.txt norm	GSM744730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root columella root cap	standard pH (pH 5.7) 
GSM744729 1	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	"Arabidopsis root cells, columella root cap, pH 5.7, replicate 1"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root columella root cap	Col-0	Pet111::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744729 extract 1	total RNA	P-GSE30095-5	GSM744729 LE 1	biotin	P-GSE30095-6	GSM744729	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744729.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744729_sample_table.txt norm	GSM744729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root columella root cap	standard pH (pH 5.7) 
GSM744728 1	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	"Arabidopsis root cells, columella root cap, pH 4.6, replicate 3"	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	day	root columella root cap	Col-0	Pet111::GFP	P-GSE30095-2	P-GSE30095-3	P-GSE30095-4	GSM744728 extract 1	total RNA	P-GSE30095-5	GSM744728 LE 1	biotin	P-GSE30095-6	GSM744728	A-AFFY-2	P-GSE30095-7	P-GSE30095-8	GSM744728.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.raw.1.zip	P-GSE30095-1	GSM744728_sample_table.txt norm	GSM744728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30095/E-GEOD-30095.processed.1.zip	root columella root cap	low pH (pH 4.6) 
