Source Name	Characteristics[organism part]	Characteristics[organism]	Characteristics[genotype]	Material Type	Protocol REF	Performer	Extract Name	Protocol REF	Performer	Labeled Extract Name	Label	Protocol REF	Performer	Assay Name	Technology Type	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[organism part]	Factor Value[genotype]
FAX1ox#2_2	flower	Arabidopsis thaliana	FAX1 over-expressor line #2	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#2_2	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#2_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox2_2	array assay	A-AFFY-2	ArrayExpress	FAX1ox2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #2
FAX1ox#2_4	flower	Arabidopsis thaliana	FAX1 over-expressor line #2	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#2_4	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#2_4:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox2_4	array assay	A-AFFY-2	ArrayExpress	FAX1ox2_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #2
FAX1ox#2_6	flower	Arabidopsis thaliana	FAX1 over-expressor line #2	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#2_6	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#2_6:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox2_6	array assay	A-AFFY-2	ArrayExpress	FAX1ox2_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #2
Col_0_3	flower	Arabidopsis thaliana	Col-0 wild type	organism part	P-MTAB-42167	Dr. Katrin Philippar	Col_0_3	P-MTAB-42168	Dr. Katrin Philippar	Col_0_3:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	Col_0_3	array assay	A-AFFY-2	ArrayExpress	Col_0_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	Col-0 wild type
FAX1ox#4_1	flower	Arabidopsis thaliana	FAX1 over-expressor line #4	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#4_1	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#4_1:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox4_1	array assay	A-AFFY-2	ArrayExpress	FAX1ox4_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #4
FAX1ox#4_2	flower	Arabidopsis thaliana	FAX1 over-expressor line #4	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#4_2	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#4_2:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox4_2	array assay	A-AFFY-2	ArrayExpress	FAX1ox4_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #4
FAX1ox#4_4	flower	Arabidopsis thaliana	FAX1 over-expressor line #4	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#4_4	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#4_4:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox4_4	array assay	A-AFFY-2	ArrayExpress	FAX1ox4_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #4
FAX1ox#4_6	flower	Arabidopsis thaliana	FAX1 over-expressor line #4	organism part	P-MTAB-42167	Dr. Katrin Philippar	FAX1ox#4_6	P-MTAB-42168	Dr. Katrin Philippar	FAX1ox#4_6:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	FAX1ox4_6	array assay	A-AFFY-2	ArrayExpress	FAX1ox4_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	flower	FAX1 over-expressor line #4
fax1_1_1s	stem	Arabidopsis thaliana	fax1-1 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_1_1s	P-MTAB-42168	Dr. Katrin Philippar	fax1_1_1s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_1_1s	array assay	A-AFFY-2	ArrayExpress	fax1_1_1s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	fax1-1 knockout
fax1_1_2s	stem	Arabidopsis thaliana	fax1-1 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_1_2s	P-MTAB-42168	Dr. Katrin Philippar	fax1_1_2s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_1_2s	array assay	A-AFFY-2	ArrayExpress	fax1_1_2s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	fax1-1 knockout
WT2_1s	stem	Arabidopsis thaliana	wild type, segregated from fax1-2	organism part	P-MTAB-42167	Dr. Katrin Philippar	WT2_1s	P-MTAB-42168	Dr. Katrin Philippar	WT2_1s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	WT2_1s	array assay	A-AFFY-2	ArrayExpress	WT2_1s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	wild type, segregated from fax1-2
WT2_2s	stem	Arabidopsis thaliana	wild type, segregated from fax1-2	organism part	P-MTAB-42167	Dr. Katrin Philippar	WT2_2s	P-MTAB-42168	Dr. Katrin Philippar	WT2_2s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	WT2_2s	array assay	A-AFFY-2	ArrayExpress	WT2_2s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	wild type, segregated from fax1-2
Col_0_2s	stem	Arabidopsis thaliana	Col-0 wild type	organism part	P-MTAB-42167	Dr. Katrin Philippar	Col_0_2s	P-MTAB-42168	Dr. Katrin Philippar	Col_0_2s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	Col_0_2s	array assay	A-AFFY-2	ArrayExpress	Col_0_2s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	Col-0 wild type
Col_0_3s	stem	Arabidopsis thaliana	Col-0 wild type	organism part	P-MTAB-42167	Dr. Katrin Philippar	Col_0_3s	P-MTAB-42168	Dr. Katrin Philippar	Col_0_3s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	Col_0_3s	array assay	A-AFFY-2	ArrayExpress	Col_0_3s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	Col-0 wild type
fax1_2_1s	stem	Arabidopsis thaliana	fax1-2 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_2_1s	P-MTAB-42168	Dr. Katrin Philippar	fax1_2_1s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_2_1s	array assay	A-AFFY-2	ArrayExpress	fax1_2_1s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	fax1-2 knockout
fax1_2_2s	stem	Arabidopsis thaliana	fax1-2 knockout	organism part	P-MTAB-42167	Dr. Katrin Philippar	fax1_2_2s	P-MTAB-42168	Dr. Katrin Philippar	fax1_2_2s:biotin	biotin	P-MTAB-42169	Dr. Katrin Philippare	fax1_2_2s	array assay	A-AFFY-2	ArrayExpress	fax1_2_2s.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3090/E-MTAB-3090.raw.1.zip	stem	fax1-2 knockout
