Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[TimeUnit]	Characteristics[organism part]	Characteristics[genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE10670GSM269823	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, drought, replicate 2:  T6 leaf-drought-rep2. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269823 sample	P-G10670-4	GSE10670GSM269823 extract	total_RNA	P-G10670-3	GSE10670GSM269823 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-drought-rep2	A-AFFY-2	P-AFFY-6	T6 leaf-drought-rep2	GSM269823.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	water deprivation
GSE10670GSM269815	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, drought, replicate 1:  T6 leaf-drought-rep1. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269815 sample	P-G10670-4	GSE10670GSM269815 extract	total_RNA	P-G10670-3	GSE10670GSM269815 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-drought-rep1	A-AFFY-2	P-AFFY-6	T6 leaf-drought-rep1	GSM269815.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	water deprivation
GSE10670GSM269831	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T6”)	transgenic line (T6) leaf, drought, replicate 3:  T6 leaf-drought-rep3. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269831 sample	P-G10670-4	GSE10670GSM269831 extract	total_RNA	P-G10670-3	GSE10670GSM269831 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T6 leaf-drought-rep3	A-AFFY-2	P-AFFY-6	T6 leaf-drought-rep3	GSM269831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T6”)	water deprivation
GSE10670GSM269825	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, drought, replicate 2:  T8 leaf-drought-rep2. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269825 sample	P-G10670-4	GSE10670GSM269825 extract	total_RNA	P-G10670-3	GSE10670GSM269825 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-drought-rep2	A-AFFY-2	P-AFFY-6	T8 leaf-drought-rep2	GSM269825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	water deprivation
GSE10670GSM269817	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, drought, replicate 1:  T8 leaf-drought-rep1. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269817 sample	P-G10670-4	GSE10670GSM269817 extract	total_RNA	P-G10670-3	GSE10670GSM269817 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-drought-rep1	A-AFFY-2	P-AFFY-6	T8 leaf-drought-rep1	GSM269817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	water deprivation
GSE10670GSM269833	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	pKYL71-35S::InsP5-ptase (line “T8”)	transgenic line (T8) leaf, drought, replicate 3:  T8 leaf-drought-rep3. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269833 sample	P-G10670-4	GSE10670GSM269833 extract	total_RNA	P-G10670-3	GSE10670GSM269833 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	T8 leaf-drought-rep3	A-AFFY-2	P-AFFY-6	T8 leaf-drought-rep3	GSM269833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	pKYL71-35S::InsP5-ptase (line “T8”)	water deprivation
GSE10670GSM269820	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, well watered, replicate 2:  WT leaf-well watered-rep2. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269820 sample	P-G10670-4	GSE10670GSM269820 extract	total_RNA	P-G10670-3	GSE10670GSM269820 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-well watered-rep2	A-AFFY-2	P-AFFY-6	WT leaf-well watered-rep2	GSM269820.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	control
GSE10670GSM269812	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, well watered, replicate 1:  WT leaf-well watered-rep1. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269812 sample	P-G10670-4	GSE10670GSM269812 extract	total_RNA	P-G10670-3	GSE10670GSM269812 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-well watered-rep1	A-AFFY-2	P-AFFY-6	WT leaf-well watered-rep1	GSM269812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	control
GSE10670GSM269828	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, well watered, replicate 3:  WT leaf-well watered-rep3. fully expanded leaves- well watered; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269828 sample	P-G10670-4	GSE10670GSM269828 extract	total_RNA	P-G10670-3	GSE10670GSM269828 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-well watered-rep3	A-AFFY-2	P-AFFY-6	WT leaf-well watered-rep3	GSM269828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	control
GSE10670GSM269813	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, drought, replicate 1:  WT leaf-drought-rep1. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269813 sample	P-G10670-4	GSE10670GSM269813 extract	total_RNA	P-G10670-3	GSE10670GSM269813 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-drought-rep1	A-AFFY-2	P-AFFY-6	WT leaf-drought-rep1	GSM269813.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	water deprivation
GSE10670GSM269821	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, drought, replicate 2:  WT leaf-drought-rep2. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269821 sample	P-G10670-4	GSE10670GSM269821 extract	total_RNA	P-G10670-3	GSE10670GSM269821 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-drought-rep2	A-AFFY-2	P-AFFY-6	WT leaf-drought-rep2	GSM269821.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	water deprivation
GSE10670GSM269829	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	8	week	leaf	wild type	wild type (WT) leaf, drought, replicate 3:  WT leaf-drought-rep3. fully expanded leaves- 7d without water; 8 week old plants	P-G10670-1	P-G10670-2	GSE10670GSM269829 sample	P-G10670-4	GSE10670GSM269829 extract	total_RNA	P-G10670-3	GSE10670GSM269829 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT leaf-drought-rep3	A-AFFY-2	P-AFFY-6	WT leaf-drought-rep3	GSM269829.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.raw.1.zip	E-GEOD-10670-processed-data-1680987043.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10670/E-GEOD-10670.processed.1.zip	wild type	water deprivation
