PROBE	ID	ALIAS
245190_at	AT1G67690	AT1G67690
245191_at	AT1G67770	TEL2
245192_at	AT1G67780	AT1G67780
245193_at	AT1G67810	SUFE2
245194_at	AT1G67820	AT1G67820
245195_at	AT1G67740	PSBY
245196_at	AT1G67750	AT1G67750
245197_at	AT1G67800	AT1G67800
245198_at	AT1G67700	AT1G67700
245199_at	AT1G67730	KCR1
245200_at	AT1G67850	AT1G67850
245201_at	AT1G67840	CSK
245202_at	AT1G67720	AT1G67720
245203_at	AT3G33080	AT3G33080
245204_at	AT5G12270	AT5G12270
245205_at	AT5G12280	AT5G12280
245206_at	AT5G12290	DGS1
245207_at	AT5G12310	AT5G12310
245208_at	AT5G12330	LRP1
245209_at	AT5G12340	AT5G12340
245210_at	AT5G12350	AT5G12350
245211_at	AT5G12370	SEC10
245212_at	AT1G44254	AT1G44224
245213_at	AT1G44575	NPQ4
245214_at	AT1G67855	AT1G67855
245215_at	AT1G67830	ATFXG1
245216_at	AT4G16143	IMPA-2
245217_at	AT1G38340	AT1G38340
245218_s_at	AT1G58842	AT1G58842
245219_at	AT1G59124	AT1G59124
245220_at	AT1G59171	AT1G59171
245221_s_at	AT1G59265	AT1G59265
245222_at	AT3G29787	AT3G29787
245223_at	AT3G29791	AT3G29791
245224_at	AT3G29796	AT3G29796
245225_at	AT3G29800	AT3G29800
245226_at	AT3G29970	AT3G29970
245227_s_at	AT3G30140	AT1G08410
245228_at	AT3G29810	COBL2
245229_at	AT4G25620	AT4G25620
245230_at	AT4G25610	AT4G25610
245231_at	AT4G25600	AT4G25600
245232_at	AT4G25590	ADF7
245233_at	AT4G25580	AT4G25580
245234_at	AT4G25560	AtMYB18
245235_at	AT4G25550	AT4G25550
245236_at	AT4G25540	MSH3
245237_at	AT4G25520	SLK1
245238_at	AT4G25570	ACYB-2
245239_at	AT4G25530	FWA
245240_at	AT1G44510	AT1G44510
245241_at	AT1G44478	AT1G44478
245242_at	AT1G44446	CH1
245243_at	AT1G44414	AT1G44414
245244_at	AT1G44350	ILL6
245245_at	AT1G44318	hemb2
245246_at	AT1G44222	AT1G44224
245247_at	AT4G17230	SCL13
245248_at	AT4G15415	ATB'_GAMMA
245249_at	AT4G16760	ACX1
245250_at	AT4G17490	ATERF6
245251_at	AT4G17615	CBL1
245252_at	AT4G17500	ATERF-1
245253_at	AT4G15440	HPL1
245254_at	AT4G14680	APS3
245255_at	AT4G14110	COP9
245256_at	AT4G15090	FAR1
245257_at	AT4G14640	CAM8
245258_at	AT4G15340	ATPEN1
245259_at	AT4G14150	PAKRP1
245260_at	AT4G16360	AT4G16360
245261_at	AT4G14385	AT4G14385
245262_at	AT4G16563	AT4G16563
245263_at	AT4G17740	AT4G17740
245264_at	AT4G17245	AT4G17245
245265_at	AT4G14400	ACD6
245266_at	AT4G17070	AT4G17070
245267_at	AT4G14060	AT4G14060
245268_at	AT4G16570	PRMT7
245269_at	AT4G14500	AT4G14500
245270_at	AT4G14960	TUA6
245271_at	AT4G16430	AT4G16430
245272_at	AT4G17250	AT4G17250
245273_at	AT4G14950	AT4G14950
245274_at	AT4G14360	AT4G14360
245275_at	AT4G15210	BAM5
245276_at	AT4G16780	ATHB-2
245277_at	AT4G15550	IAGLU
245278_at	AT4G17730	SYP23
245279_at	AT4G17270	AT4G17270
245280_at	AT4G16845	VRN2
245281_at	AT4G15560	CLA1
245282_at	AT4G14990	AT4G14990
245283_at	AT4G13980	AT-HSFA5
245284_at	AT4G14210	PDS3
245285_s_at	AT4G14040	SBP1
245286_at	AT4G14880	OASA1
245287_at	AT4G14910	HISN5B
245288_at	AT4G16420	ADA2B
245289_at	AT4G15470	AT4G15470
245290_at	AT4G16490	AT4G16490
245291_at	AT4G16155	AT4G16155
245292_at	AT4G15093	AT4G15093
245293_at	AT4G16660	AT4G16660
245294_at	AT4G14340	CKI1
245295_at	AT4G16100	AT4G16100
245296_at	AT4G16370	ATOPT3
245297_at	AT4G16510	AT4G16510
245298_at	AT4G15010	AT4G15010
245299_at	AT4G17530	ATRAB1C
245300_at	AT4G16350	CBL6
245301_at	AT4G17190	FPS2
245302_at	AT4G17695	KAN3
245303_at	AT4G17010	AT4G17010
245304_at	AT4G15630	AT4G15630
245305_at	AT4G17215	AT4G17215
245306_at	AT4G14690	ELIP2
245307_at	AT4G16770	AT4G16770
245308_at	AT4G17486	AT4G17486
245309_at	AT4G15140	AT4G15140
245310_at	AT4G13950	RALFL31
245311_at	AT4G14320	AT4G14320
245312_at	AT4G14600	AT4G14600
245313_at	AT4G15420	AT4G15420
245314_at	AT4G16745	AT4G16745
245315_at	AT4G14800	PBD2
245316_at	AT4G14000	AT4G14000
245317_at	AT4G15610	AT4G15610
245318_at	AT4G16985	AT4G16980
245319_at	AT4G16146	AT4G16146
245320_at	AT4G16444	AT4G16444
245321_at	AT4G15545	AT4G15545
245322_at	AT4G14815	AT4G14815
245323_at	AT4G16500	AT4G16500
245324_at	AT4G17260	AT4G17260
245325_at	AT4G14130	XTR7
245326_at	AT4G14100	AT4G14100
245327_at	AT4G16850	AT4G16850
245328_at	AT4G14465	AHL20
245329_at	AT4G14365	XBAT34
245330_at	AT4G14930	AT4G14930
245331_at	AT4G14410	bHLH104
245332_at	AT4G15940	AT4G15940
245333_at	AT4G14615	AT4G14615
245334_at	AT4G15800	RALFL33
245335_at	AT4G16160	ATOEP16-2
245336_at	AT4G16515	RGF6
245337_at	AT4G16566	HINT4
245338_at	AT4G16442	AT4G16442
245339_at	AT4G16120	COBL7
245340_at	AT4G14420	AT4G14420
245341_at	AT4G16447	AT4G16447
245342_at	AT4G16720	AT4G16720
245343_at	AT4G15830	AT4G15830
245344_at	AT4G15475	AT4G15475
245345_at	AT4G16640	AT4G16640
245346_at	AT4G17090	CT-BMY
245347_at	AT4G14890	AT4G14890
245348_at	AT4G17770	ATTPS5
245349_at	AT4G16690	MES16
245350_at	AT4G16830	AT4G16830
245351_at	AT4G17640	CKB2
245352_at	AT4G15490	UGT84A3
245353_at	AT4G16000	AT4G16000
245354_at	AT4G17600	LIL3:1
245355_at	AT4G17390	AT4G17390
245356_at	AT4G13940	MEE58
245357_at	AT4G17560	AT4G17560
245358_at	AT4G15900	PRL1
245359_at	AT4G14430	IBR10
245360_at	AT4G16330	AT4G16330
245361_at	AT4G17790	AT4G17790
245362_at	AT4G17460	HAT1
245363_at	AT4G15120	AT4G15120
245364_at	AT4G15790	AT4G15790
245365_at	AT4G17720	AT4G17720
245366_at	AT4G14965	AtMAPR4
245367_at	AT4G16265	NRPB9B
245368_at	AT4G15510	AT4G15510
245369_at	AT4G15975	AT4G15975
245370_at	AT4G16840	AT4G16840
245371_at	AT4G15750	AT4G15750
245372_at	AT4G15000	AT4G15000
245373_s_at	AT4G14716	ATARD2
245374_at	AT4G17620	AT4G17620
245375_at	AT4G17660	AT4G17660
245376_at	AT4G17690	AT4G17690
245377_at	AT4G17700	AT4G17700
245378_at	AT4G17710	HDG4
245379_at	AT4G17750	HSF1
245380_at	AT4G17760	AT4G17760
245381_at	AT4G17785	MYB39
245382_at	AT4G17800	AT4G17800
245383_at	AT4G17810	AT4G17810
245384_at	AT4G16790	AT4G16790
245385_at	AT4G14020	AT4G14020
245386_at	AT4G14010	RALFL32
245387_at	AT4G17520	AT4G17520
245388_at	AT4G16410	AT4G16410
245389_at	AT4G17480	AT4G17480
245390_at	AT4G17650	AT4G17650
245391_at	AT4G16520	ATG8F
245392_at	AT4G15680	AT4G15680
245393_at	AT4G16260	AT4G16260
245394_at	AT4G16450	AT4G16450
245395_at	AT4G17420	AT4G17420
245396_at	AT4G14870	AT4G14870
245397_at	AT4G14560	IAA1
245398_at	AT4G14900	AT4G14900
245399_at	AT4G17340	TIP2;2
245400_at	AT4G17040	CLPR4
245401_at	AT4G17670	AT4G17670
245402_at	AT4G17585	AT4G17585
245403_at	AT4G17590	AT4G17590
245404_at	AT4G17610	AT4G17610
245405_at	AT4G17150	AT4G17150
245406_at	AT4G17160	ATRABB1A
245407_at	AT4G17170	RABB1C
245408_at	AT4G17180	AT4G17180
245409_at	AT4G17200	AT4G17200
245410_at	AT4G17220	ATMAP70-5
245411_at	AT4G17240	AT4G17240
245412_at	AT4G17280	AT4G17280
245413_at	AT4G17300	NS1
245414_at	AT4G17310	AT4G17310
245415_at	AT4G17330	ATG2484-1
245416_at	AT4G17350	AT4G17350
245417_at	AT4G17360	AT4G17360
245418_at	AT4G17370	AT4G17370
245419_at	AT4G17380	MSH4
245420_at	AT4G17410	AT4G17410
245421_at	AT4G17430	AT4G17430
245422_at	AT4G17470	AT4G17470
245423_at	AT4G17483	AT4G17483
245424_at	AT4G17505	AT4G17505
245425_at	AT4G17510	UCH3
245426_at	AT4G17540	AT4G17540
245427_at	AT4G17550	AT4G17550
245428_at	AT4G17570	GATA26
245429_at	AT4G17580	AT4G17580
245430_at	AT4G17060	FIP2
245431_at	AT4G17080	AT4G17080
245432_at	AT4G17100	AT4G17100
245433_at	AT4G17110	AT4G17140
245434_at	AT4G17120	AT4G17140
245435_at	AT4G17140	AT4G17140
245436_at	AT4G16620	AT4G16620
245437_at	AT4G16630	AT4G16630
245438_at	AT4G16650	AT4G16650
245439_at	AT4G16670	AT4G16670
245440_at	AT4G16680	AT4G16680
245441_at	AT4G16700	PSD1
245442_at	AT4G16710	AT4G16710
245443_at	AT4G16730	TPS02
245444_at	AT4G16740	ATTPS03
245445_at	AT4G16750	AT4G16750
245446_at	AT4G16800	AT4G16800
245447_at	AT4G16820	PLA-I{beta]2
245448_at	AT4G16860	RPP4
245449_at	AT4G16870	AT4G16870
245450_at	AT4G16880	AT4G16880
245451_at	AT4G16890	SNC1
245452_at	AT4G16910	AT4G16910
245453_at	AT4G16900	AT4G16900
245454_at	AT4G16920	AT4G16920
245455_at	AT4G16930	AT4G16930
245456_at	AT4G16950	RPP5
245457_s_at	AT4G16960	AT4G16960
245458_at	AT4G16970	AT4G16970
245459_at	AT4G16980	AT4G16980
245460_at	AT4G16990	RLM3
245461_at	AT4G17000	AT4G17000
245462_at	AT4G17020	AT4G17020
245463_at	AT4G17030	ATEXLB1
245464_at	AT4G17050	UGLYAH
245465_at	AT4G16590	ATCSLA01
245466_at	AT4G16600	AT4G16600
245467_at	AT4G16610	AT4G16610
245468_at	AT4G15980	AT4G15980
245469_at	AT4G16010	AT4G16010
245470_at	AT4G16020	AT4G16020
245471_at	AT4G16030	AT4G16030
245472_at	AT4G16040	AT4G16040
245473_at	AT4G16050	AT4G16050
245474_at	AT4G16060	AT4G16060
245475_at	AT4G16080	AT4G16080
245476_at	AT4G16090	AT4G16090
245477_at	AT4G16110	ARR2
245478_at	AT4G16130	ARA1
245479_at	AT4G16140	AT4G16140
245480_at	AT4G16150	AT4G16150
245481_at	AT4G16170	AT4G16180
245482_at	AT4G16180	AT4G16180
245483_at	AT4G16190	AT4G16190
245484_at	AT4G16210	ECHIA
245485_at	AT4G16230	AT4G16230
245486_x_at	AT4G16240	AT4G16240
245487_at	AT4G16250	PHYD
245488_at	AT4G16270	AT4G16270
245489_at	AT4G16280	FCA
245490_at	AT4G16310	LDL3
245491_at	AT4G16320	LDL3
245492_at	AT4G16340	SPK1
245493_at	AT4G16380	AT4G16380
245494_at	AT4G16390	AT4G16390
245495_at	AT4G16400	AT4G16400
245496_at	AT4G16440	AT4G16440
245497_at	AT4G16460	AT4G16460
245498_at	AT4G16470	AT4G16470
245499_at	AT4G16480	INT4
245500_at	AT4G15590	AT4G15590
245501_at	AT4G15620	AT4G15620
245502_at	AT4G15640	AT4G15640
245503_at	AT4G15650	AT4G15650
245504_at	AT4G15660	AT4G15660
245505_at	AT4G15690	AT4G15690
245506_at	AT4G15700	AT4G15700
245507_at	AT4G15710	AT4G15710
245508_at	AT4G15720	AT4G15720
245509_at	AT4G15730	AT4G15730
245510_at	AT4G15740	AT4G15740
245511_at	AT4G15760	AT4G15755
245512_at	AT4G15770	AT4G15770
245513_at	AT4G15780	ATVAMP724
245514_at	AT4G15805	AT4G15810
245515_at	AT4G15810	AT4G15810
245516_at	AT4G15820	AT4G15820
245517_at	AT4G15840	AT4G15840
245518_at	AT4G15850	ATRH1
245519_at	AT4G15860	AT4G15860
245520_at	AT4G15870	ATTS1
245521_at	AT4G15880	ESD4
245522_at	AT4G15890	AT4G15890
245523_at	AT4G15910	ATDI21
245524_at	AT4G15920	AT4G15920
245525_at	AT4G15930	AT4G15930
245526_at	AT4G15950	NRPD4
245527_at	AT4G15960	AT4G15955
245528_at	AT4G15530	PPDK
245529_at	AT4G15570	MAA3
245530_at	AT4G15580	AT4G15580
245531_at	AT4G15100	scpl30
245532_at	AT4G15110	CYP97B3
245533_at	AT4G15130	CCT2
245534_at	AT4G15150	AT4G15150
245535_at	AT4G15160	AT4G15160
245536_at	AT4G15180	SDG2
245537_at	AT4G15190	FH3
245538_at	AT4G15200	FH3
245539_at	AT4G15220	PDR2
245540_at	AT4G15230	PDR2
245541_at	AT4G15240	AT4G15240
245542_at	AT4G15250	AT4G15250
245543_at	AT4G15260	AT4G15260
245544_at	AT4G15270	AT4G15270
245545_at	AT4G15280	UGT71B5
245546_at	AT4G15290	ATCSLB05
245547_at	AT4G15300	CYP702A2
245548_at	AT4G15310	CYP702A3
245549_at	AT4G15320	ATCSLB06
245550_at	AT4G15330	CYP705A1
245551_at	AT4G15350	CYP705A2
245552_at	AT4G15360	CYP705A3
245553_at	AT4G15370	BARS1
245554_at	AT4G15380	CYP705A4
245555_at	AT4G15390	AT4G15390
245556_at	AT4G15400	AT4G15400
245557_at	AT4G15410	PUX5
245558_at	AT4G15430	AT4G15430
245559_at	AT4G15460	AT4G15460
245560_at	AT4G15480	UGT84A1
245561_at	AT4G15500	UGT84A4
245562_at	AT4G15520	AT4G15520
245563_at	AT4G14580	CIPK4
245564_at	AT4G14590	emb2739
245565_at	AT4G14605	AT4G14605
245566_at	AT4G14610	AT4G14610
245567_at	AT4G14630	GLP9
245568_at	AT4G14650	AT4G14650
245569_at	AT4G14660	NRPE7
245570_at	AT4G14670	CLPB2
245571_at	AT4G14695	AT4G14695
245572_at	AT4G14720	PPD2
245573_at	AT4G14730	AT4G14730
245574_at	AT4G14750	IQD19
245575_at	AT4G14760	AT4G14760
245576_at	AT4G14770	TCX2
245577_at	AT4G14780	AT4G14780
245578_at	AT4G14790	ATSUV3
245579_at	AT4G14810	AT4G14810
245580_at	AT4G14820	AT4G14820
245581_at	AT4G14840	AT4G14840
245582_at	AT4G14850	LOI1
245583_at	AT4G14920	AT4G14920
245584_at	AT4G14940	ATAO1
245585_at	AT4G14970	AT4G14970
245586_at	AT4G14980	AT4G14980
245587_at	AT4G15020	AT4G15020
245588_at	AT4G15030	AT4G15030
245589_at	AT4G15040	AT4G15040
245590_at	AT4G15060	AT4G15060
245591_at	AT4G14530	AT4G14530
245592_at	AT4G14540	NF-YB3
245593_at	AT4G14550	IAA14
245594_at	AT4G14570	AT4G14570
245595_at	AT4G14170	AT4G14170
245596_at	AT4G14180	AtPRD1
245597_at	AT4G14190	AT4G14190
245598_at	AT4G14200	AT4G14200
245599_at	AT4G14220	RHF1A
245600_at	AT4G14230	AT4G14230
245601_at	AT4G14240	AT4G14240
245602_at	AT4G14270	AT4G14270
245603_at	AT4G14280	AT4G14280
245604_at	AT4G14290	AT4G14290
245605_at	AT4G14300	AT4G14300
245606_at	AT4G14310	AT4G14310
245607_at	AT4G14330	AT4G14330
245608_at	AT4G14350	AT4G14350
245609_at	AT4G14370	AT4G14368
245610_at	AT4G14380	AT4G14380
245611_at	AT4G14390	AT4G14390
245612_at	AT4G14440	HCD1
245613_at	AT4G14450	ATBET12
245614_at	AT4G14460	AT4G14460
245615_at	AT4G14470	AT4G14470
245616_at	AT4G14480	AT4G14480
245617_at	AT4G14490	AT4G14490
245618_at	AT4G14510	CFM3B
245619_at	AT4G13990	AT4G13990
245620_at	AT4G14050	AT4G14050
245621_at	AT4G14070	AAE15
245622_at	AT4G14080	MEE48
245623_s_at	AT4G14103	AT4G14103
245624_at	AT4G14090	AT4G14090
245625_at	AT4G14160	AT4G14160
245626_at	AT1G56700	AT1G56700
245627_at	AT1G56600	AtGolS2
245628_at	AT1G56650	PAP1
245629_at	AT1G56580	SVB
245630_at	AT1G25360	AT1G25360
245631_at	AT1G25350	OVA9
245632_at	AT1G25290	ATRBL10
245633_at	AT1G25280	AtTLP10
245634_at	AT1G25270	AT1G25270
245635_at	AT1G25250	AtIDD16
245636_at	AT1G25240	AT1G25240
245637_at	AT1G25230	AT1G25230
245638_s_at	AT1G24996	AT1G24996
245639_at	AT1G25260	AT1G25260
245640_at	AT1G25330	AT1G25330
245641_at	AT1G25370	AT1G25370
245642_at	AT1G25275	AT1G25275
245643_at	AT1G25340	MYB116
245644_at	AT1G25320	AT1G25320
245645_at	AT1G24764	ATMAP70-2
245646_x_at	AT1G25025	AT1G25025
245647_at	AT1G24678	THO2
245648_at	AT1G24938	AT1G24938
245649_at	AT1G24706	THO2
245650_at	AT1G24735	AT1G24735
245651_s_at	AT1G24793	AT1G24793
245652_at	AT4G13960	AT4G13960
245653_at	AT4G13985	FBD1
245654_at	AT1G56540	AT1G56540
