PROBE	ID
264553_s_at	AT1G09480;AT1G09490
264679_s_at	AT1G09690;AT1G09590
264667_s_at	AT1G58350;AT1G09980
264450_s_at	AT1G10250;AT1G10450
261868_s_at	AT1G11450;AT1G11460
257513_s_at	AT1G12390;AT1G12340
259362_s_at	AT1G13350;AT3G53640
262655_s_at	AT1G14190;AT1G14185
262661_s_at	AT1G14230;AT1G14250
262589_s_at	AT1G15150;AT1G15160
261962_s_at	AT1G15560;AT1G36485
262934_s_at	AT1G16270;AT1G79570
256116_at	AT1G16858;AT1G16860
255908_s_at	AT1G18010;AT1G18000
255895_at	AT1G18020;AT1G17990
261664_s_at	AT1G18320;AT3G10110
260659_s_at	AT1G19470;AT1G19460
261144_s_at	AT1G19660;AT1G75380
260900_s_at	AT1G21400;AT5G34780
252789_s_at	AT1G21930;AT3G42150
265174_s_at	AT1G23470;AT1G23460
263033_s_at	AT1G23970;AT1G23950
257400_s_at	AT1G24250;AT1G23810
245751_s_at	AT1G25682;AT1G25988
264979_s_at	AT1G27170;AT1G27180
264488_s_at	AT1G27330;AT1G27350
262319_s_at	AT1G27580;AT1G27540
257455_s_at	AT1G27870;AT2G16100
261468_s_at	AT1G28500;AT1G27860
259767_s_at	AT1G29370;AT1G29350
259790_s_at	AT1G29430;AT5G27780
259776_s_at	AT1G29590;AT1G29550
255996_s_at	AT1G29740;AT1G29730
265816_s_at	AT1G30230;AT2G18110
263216_s_at	AT1G30720;AT1G30730
265152_s_at	AT1G30940;AT1G30935
255747_s_at	AT1G32010;AT5G38190
266624_s_at	AT1G32380;AT2G35390
256467_at	AT1G32590;AT5G45605
263280_x_at	AT1G32830;AT2G14140
261617_s_at	AT1G33090;AT1G33100
260118_s_at	AT5G18700;AT1G33940
256008_s_at	AT1G34040;AT1G34060
261156_s_at	AT1G34520;AT1G34490
245783_s_at	AT1G35180;AT1G35170
262012_s_at	AT1G35625;AT1G35630
261283_s_at	AT1G35770;AT2G06860
266432_s_at	AT1G36035;AT2G07080
256463_s_at	AT1G36190;AT3G32230
256502_at	AT1G36730;AT1G36732
245810_at	AT1G38065;AT1G38131
262271_x_at	AT1G42370;AT1G42360
259620_s_at	AT1G42705;AT4G12260
264413_s_at	AT1G43290;AT3G43450
264414_s_at	AT1G43300;AT3G43460
264419_s_at	AT1G43310;AT5G33320
260810_s_at	AT1G43330;AT1G43745
262724_s_at	AT4G00540;AT1G43330
262720_s_at	AT1G43600;AT1G4361
260811_s_at	AT1G43740;AT1G43750
259456_s_at	AT1G43960;AT1G43995
261326_s_at	AT1G44180;AT1G44820
245212_at	AT1G44224;AT1G44222
260965_s_at	AT1G45090;AT2G12100
266127_s_at	AT1G45332;AT2G45030
261731_s_at	AT1G47780;AT1G47786
261738_s_at	AT1G47813;AT1G47820
261730_s_at	AT1G47816;AT4G04520
256202_s_at	AT1G48150;AT1G50780
260767_s_at	AT1G49140;AT3G18410
262469_s_at	AT1G50220;AT1G50190
266149_x_at	AT1G50850;AT2G12250
257581_s_at	AT1G51120;AT1G50680
265133_s_at	AT1G51240;AT1G51250
256171_s_at	AT1G51750;AT3G14517
262152_s_at	AT1G52430;AT1G52450
262141_s_at	AT1G52460;AT1G52440
265654_s_at	AT1G52850;AT2G13870
261343_s_at	AT1G52960;AT3G43350
262259_s_at	AT1G53870;AT1G53890
262226_at	AT1G53885;AT1G53903
262253_s_at	AT1G53900;AT1G53880
263153_s_at	AT1G54000;AT1G54010
263116_s_at	AT1G54590;AT1G03140
265126_s_at	AT1G55380;AT1G55420
264563_s_at	AT1G55750;AT3G61420
264544_s_at	AT1G55800;AT1G55790
262089_s_at	AT1G56000;AT1G55980
246379_s_at	AT1G57660;AT1G57860
264670_s_at	AT1G57720;AT1G09640
245863_s_at	AT1G58060;AT1G58050
246392_at	AT1G58120;AT1G58122
245219_at	AT1G58807;AT1G59124
245218_s_at	AT1G59218;AT1G58848
245221_s_at	AT1G58889;AT1G59265
257760_s_at	AT1G59770;AT3G23085
262911_s_at	AT1G59860;AT1G07400
264273_s_at	AT1G60300;AT1G60340
264923_s_at	AT1G65970;AT1G60740
264922_s_at	AT1G60830;AT1G60900
257411_s_at	AT1G61330;AT1G61320
265106_s_at	AT1G62590;AT1G63330
265108_s_at	AT1G62620;AT1G63370
261103_s_at	AT1G63140;AT1G62900
266932_s_at	AT1G63250;AT2G07750
265105_s_at	AT1G63340;AT1G62580
265109_s_at	AT1G63360;AT1G62630
265107_s_at	AT1G63380;AT1G62610
261556_s_at	AT1G63390;AT1G62600
261555_s_at	AT1G63630;AT1G63230
262326_at	AT1G64140;AT1G64142
263111_s_at	AT1G65190;AT1G65250
261912_s_at	AT1G66060;AT1G66000
260132_s_at	AT1G66640;AT1G66320
256376_s_at	AT1G66690;AT1G66700
256369_at	AT1G66790;AT3G50674
245760_s_at	AT1G66920;AT1G66910
264991_s_at	AT1G67400;AT3G43400
245187_s_at	AT1G67650;AT1G67680
256475_s_at	AT1G69710;AT1G42680
262262_at	AT1G70782;AT1G70780
259939_s_at	AT1G71270;AT1G71300
259941_s_at	AT1G71370;AT1G71280
260453_s_at	AT1G72510;AT2G09970
245721_s_at	AT1G73460;AT1G73450
259842_at	AT1G73602;AT1G73600
260383_s_at	AT1G74060;AT1G74050
259905_s_at	AT1G74140;AT1G74130
260249_s_at	AT1G74280;AT1G74290
259873_s_at	AT1G76720;AT1G76825
259881_at	AT1G76820;AT1G76825
264475_s_at	AT1G77150;AT1G77170
259758_s_at	AT1G77530;AT1G77520
264279_s_at	AT1G78820;AT1G78830
264299_s_at	AT1G78850;AT1G78860
261886_s_at	AT1G80700;AT1G80980
266112_x_at	AT2G02210
257378_s_at	AT2G02290;AT5G23470
267482_s_at	AT2G02770;AT3G11470
266771_s_at	AT2G03010;AT4G16530
266741_s_at	AT2G03030;AT2G03300
257366_s_at	AT2G03290;AT2G03040
263405_s_at	AT2G04080;AT2G04066
263404_s_at	AT2G04090;AT2G04100
263051_s_at	AT2G04210;AT1G40105
263335_x_at	AT2G04970;AT2G06440
263101_s_at	AT2G05250;AT2G05230
265561_s_at	AT2G05440;AT2G05510
246358_x_at	AT2G0570;AT2G13400
265747_s_at	AT2G06570;AT2G06645
266213_s_at	AT2G06870;AT1G35760
266426_x_at	AT2G07140;AT3G44120
263500_s_at	AT2G07672;ATMG01050
263502_s_at	ATMG00980;AT2G07675
263503_s_at	AT2G07676;ATMG00970
263504_s_at	ATMG00940;AT2G07677
263506_s_at	AT2G07683;ATMG00810
263507_s_at	AT2G07685;ATMG00770
263508_s_at	ATMG00760;AT2G07685
263509_s_at	ATMG00730;AT2G07687
265240_s_at	AT2G07691;ATMG01310
265239_s_at	AT2G07692;ATMG01300
265227_s_at	ATMG01280;AT2G07695
265238_s_at	ATMG01270;AT2G07696
265228_s_at	ATMG01190;AT2G07698
265237_s_at	ATMG00470;AT2G07706
265230_s_at	ATMG00480;AT2G07707
265232_s_at	AT2G07715;ATMG00560
266044_s_at	ATMG00210;AT2G07725
266045_s_at	AT2G07727;ATMG00220
266042_s_at	ATMG00290;AT2G07734
263813_s_at	AT2G10000;AT1G41910
263299_s_at	AT2G11570;AT2G11600
266150_s_at	AT2G12290;AT4G19700
265360_s_at	AT2G13260;AT2G13250
265018_s_at	AT2G13770;AT1G24370
265301_s_at	AT5G02320;AT2G13960
257387_s_at	AT2G14510;AT2G14440
265920_s_at	AT2G15120;AT2G15220
265491_s_at	AT2G15650;AT1G50810
265507_s_at	AT2G15940;AT1G42110
257437_s_at	AT2G16290;AT2G16300
263240_s_at	AT2G16530;AT1G72590
266535_s_at	AT2G16930;AT5G15220
263422_s_at	AT2G17190;AT2G17200
264784_s_at	AT2G17830;AT5G42460
263063_s_at	AT2G18150;AT2G18140
265950_s_at	AT2G18530;AT3G46160
265929_s_at	AT2G18560;AT2G18570
266071_at	AT2G18680;AT2G18670
267489_s_at	AT2G19120;AT4G30100
267335_s_at	AT2G19440;AT1G64760
265941_s_at	AT2G19490;AT3G32920
265421_s_at	AT2G20815;AT2G20616
265420_s_at	AT1G31880;AT2G21030
264017_s_at	AT2G21190;AT4G38790
263758_s_at	AT2G21260;AT2G21250
260691_s_at	AT2G23880;AT1G32390
257436_s_at	AT4G00260;AT2G24650
263588_s_at	AT2G25330;AT2G25320
266241_s_at	AT2G27800;AT5G27300
265571_s_at	AT2G28020;AT2G28230
266675_s_at	AT2G29610;AT2G29830
266676_s_at	AT2G29850;AT2G29605
255863_s_at	AT2G30220;AT2G30310
263397_s_at	AT2G31540;AT2G31550
266389_s_at	AT2G32320;AT2G31580
266067_s_at	AT2G31720;AT2G18810
265670_s_at	AT2G32190;AT2G32210
257356_s_at	AT2G32490;AT2G36110
267553_s_at	AT2G32180;AT2G32650
267644_s_at	AT2G32880;AT2G32870
267446_s_at	AT2G33840;AT1G28350
266550_s_at	AT2G35090;AT2G35070
263952_s_at	AT2G35830;AT2G35810
263933_s_at	AT2G35970;AT4G09590
263922_s_at	AT2G36580;AT3G52990
265199_s_at	AT2G36780;AT2G36770
265952_at	AT2G37480;AT2G37478
267162_s_at	AT2G37690;AT2G05140
267053_s_at	AT2G38380;AT2G38390
263823_s_at	AT2G40340;AT2G40350
255875_s_at	AT2G40500;AT2G40560
255819_s_at	AT2G40590;AT2G40510
266367_s_at	AT2G41400;AT2G41390
257496_s_at	AT2G43730;AT2G43740
267237_s_at	AT2G44040;AT3G59890
246627_s_at	AT2G45300;AT1G48860
264881_s_at	AT3G01760;AT1G61270
258473_s_at	AT3G02620;AT3G02610
258848_at	AT3G03300;AT3G03305
259345_s_at	AT3G03700;AT3G04440
259335_s_at	AT3G03930;AT3G03940
258579_s_at	AT3G04190;AT3G04180
258586_s_at	AT3G04320;AT3G04330
259310_s_at	AT3G05160;AT3G05165
258739_s_at	AT3G05770;AT1G54300
258822_s_at	AT3G07220;AT3G07260
259246_s_at	AT3G07730;AT4G01170
258645_s_at	AT3G07850;AT3G14040
256437_s_at	AT3G08530;AT3G11130
259204_s_at	AT3G09170;AT1G34610
257526_s_at	AT3G09330;AT3G09340
258712_s_at	AT3G09680;AT5G02960
258763_s_at	AT3G10900;AT3G30540
258757_at	AT3G10912;AT3G10910
265712_s_at	AT3G11810;AT2G03330
258778_s_at	AT3G11890;AT3G11860
261959_s_at	AT3G11970;AT1G36590
260942_s_at	AT1G45190;AT3G11990
256658_at	AT3G12010;AT3G12012
257182_s_at	AT3G13210;AT5G45990
256770_at	AT3G13700;AT3G13710
257604_s_at	AT3G13830;AT1G11810
258121_s_at	AT3G14530;AT3G14550
257292_s_at	AT3G15600;AT2G07770
261166_s_at	AT3G15750;AT1G34570
258249_s_at	AT3G15830;AT3G15820
257862_s_at	AT3G17760;AT3G17720
258186_s_at	AT3G17850;AT1G48490
266435_s_at	AT3G18330;AT2G07130
266434_s_at	AT3G18340;AT2G07120
258955_s_at	AT3G18530;AT3G01450
256918_s_at	AT3G18960;AT4G01580
257083_s_at	AT3G20600;AT3G20590
257261_s_at	AT3G21920;AT3G21930
257558_s_at	AT3G22000;AT4G20680
256828_at	AT3G22970;AT3G22968
257175_s_at	AT3G23480;AT3G23470
258125_s_at	AT3G23530;AT3G23510
257176_s_at	AT3G23530;AT3G23510
256902_s_at	AT3G23910;AT3G24255
257568_s_at	AT3G23950;AT3G23970
257590_s_at	AT3G24880;AT3G24870
257960_at	AT3G25570;AT3G25572
258071_s_at	AT3G26080;AT3G26070
257626_s_at	AT3G26250;AT3G26240
265292_s_at	AT3G26260;AT2G14010
256869_at	AT3G26420;AT3G26430
258259_s_at	AT3G26820;AT3G26840
257782_at	AT3G27120;AT3G27130
265298_s_at	AT3G27327;AT2G13930
258031_s_at	AT3G27480;AT3G27490
256634_s_at	AT3G28240;AT5G10670
256595_x_at	AT3G28530;AT1G36770
257042_s_at	AT3G28640;AT3G28660
256988_s_at	AT3G28715;AT3G28710
256580_s_at	AT3G28810;AT3G28820
256739_s_at	AT3G29460;AT2G11180
257281_s_at	AT3G29720;AT3G29680
262995_s_at	AT3G30420;AT1G54430
256561_s_at	AT3G31355;AT3G31330
255970_s_at	AT3G31540;AT3G43000
263531_s_at	AT3G31900;AT2G25020
256845_x_at	AT3G31970;AT1G42605
265548_s_at	AT3G31980;AT2G07620
256560_s_at	AT3G31415;AT3G32030
256669_s_at	AT3G32200;AT5G30420
257890_s_at	AT3G42570;AT3G17070
252775_s_at	AT3G42930;AT5G30545
252752_s_at	AT3G43470;AT3G43480
259369_s_at	AT3G43890;AT1G69150
252693_s_at	AT3G44010;AT3G43980
263358_x_at	AT3G44500
252601_s_at	AT3G45030;AT5G62300
252605_s_at	AT3G45070;AT3G45080
252576_s_at	AT3G45450;AT3G48870
252585_s_at	AT3G45580;AT3G45570
257448_s_at	AT3G45800;AT2G11620
252554_s_at	AT3G46330;AT3G45920
252562_s_at	AT3G46320;AT3G45930
252473_s_at	AT3G46610;AT5G14350
252499_s_at	AT3G46840;AT3G46850
252450_s_at	AT3G47090;AT3G47580
263279_x_at	AT2G14130
252466_x_at	AT3G47270;AT1G32830
252392_s_at	AT3G47890;AT3G47910
252402_s_at	AT3G48060;AT3G48050
252344_s_at	AT3G48620;AT3G44160
252331_s_at	AT3G48780;AT3G48790
252271_s_at	AT5G01430;AT3G49420
252069_s_at	AT3G51640;AT3G51650
252029_s_at	AT3G52660;AT5G28390
251979_at	AT3G53140;AT3G53130
251937_at	AT3G53400;AT3G53402
251954_at	AT3G53668;AT3G53670
263400_s_at	AT3G53870;AT2G31610
266680_s_at	AT3G54730;AT2G19850
251780_s_at	AT3G55310;AT3G55290
251777_s_at	AT3G55650;AT3G55810
261362_s_at	AT3G55750;AT1G41880
251692_s_at	AT3G52020;AT3G56540
251682_s_at	AT3G57110;AT5G60370
251516_s_at	AT3G59310;AT3G59320
251470_at	AT3G59570;AT2G43490
251482_s_at	AT3G59750;AT3G59740
251438_s_at	AT3G59930;AT5G33355
251451_s_at	AT3G60040;AT3G60050
263694_at	AT3G60565;AT1G31210
251349_s_at	AT3G61020;AT3G11030
251316_s_at	AT5G28350;AT3G61480
251241_s_at	AT3G62460;AT3G62530
251216_at	AT4G27597;AT3G62520
251164_s_at	AT3G63340;AT3G63320
257488_s_at	AT1G36950;AT4G00070
255713_s_at	AT4G00290;AT4G00234
255668_s_at	AT4G00238;AT4G00250
255715_s_at	AT4G00320;AT5G41830
255685_s_at	AT4G00620;AT4G00600
255609_s_at	AT4G01180;AT5G59390
255619_s_at	AT5G59920;AT4G01350
255589_s_at	AT4G01590;AT4G35680
255592_s_at	AT4G01640;AT2G34280
255566_s_at	AT4G01780;AT3G48670
255425_s_at	AT4G03360;AT4G02950
255405_s_at	AT4G03460;AT4G03440
264691_s_at	AT4G03530;AT1G70010
263310_s_at	AT2G10350;AT4G03970
255373_s_at	AT4G04130;AT5G34810
255324_s_at	AT4G04290;AT2G07420
255330_s_at	AT3G45520;AT4G04380
255216_s_at	AT5G19740;AT4G07670
255187_s_at	AT4G07760;AT2G12390
255158_s_at	AT3G13250;AT4G07800
255176_s_at	AT4G07950;AT1G01210
258710_s_at	AT4G08520;AT3G09800
255093_s_at	AT4G08580;AT5G17900
255102_s_at	AT4G08680;AT1G78095
255109_s_at	AT4G08750;AT4G08760
255069_s_at	AT4G08990;AT4G14140
245675_at	AT4G09146;AT1G56675
255084_s_at	AT4G09270;AT4G09220
255083_s_at	AT4G09230;AT4G09280
265113_at	AT4G09455;AT1G62460
255802_s_at	AT4G10150;AT4G10160
254997_s_at	AT4G10400;AT4G09920
254977_s_at	AT4G10530;AT4G10520
254985_x_at	AT4G10580;AT1G42605
254987_s_at	AT4G10700;AT4G10660
254941_s_at	AT1G30030;AT4G10830
254959_at	AT4G10955;AT4G10960
254915_s_at	AT4G11320;AT4G11310
254882_s_at	AT4G11710;AT1G30390
254855_s_at	AT4G12140;AT4G12150
254833_s_at	AT4G12290;AT4G12280
254820_s_at	AT4G12510;AT4G12520
254780_s_at	AT4G12770;AT4G12780
263048_s_at	AT4G13500;AT2G05310
245623_s_at	AT4G14096;AT4G14103
262100_s_at	AT4G14250;AT1G59550
264461_s_at	AT1G10190;AT4G15050
248692_s_at	AT4G15070;AT5G48320
267074_s_at	AT4G15096;AT2G40955
245469_at	AT4G16020;AT4G16010
266772_s_at	AT4G16540;AT2G03020
245457_s_at	AT4G16940;AT4G16960
254655_s_at	AT5G46430;AT4G18100
256461_s_at	AT1G36280;AT4G18440
254593_s_at	AT4G18900;AT4G18905
254560_at	AT4G19110;AT4G19112
254567_s_at	AT4G19340;AT4G19260
254568_x_at	AT1G35090;AT4G19300
254569_s_at	AT5G36020;AT4G19320
254570_s_at	AT4G19250;AT4G19330
254539_s_at	AT4G19750;AT4G19760
254540_s_at	AT4G19800;AT4G19770
254542_s_at	AT4G19790;AT4G17450
254471_s_at	AT4G20500;AT4G20730
265217_s_at	AT4G20720;AT1G05090
257063_s_at	AT4G21460;AT3G18240
261872_s_at	AT4G21660;AT1G11520
254389_s_at	AT4G21903;AT4G21910
254338_s_at	AT4G22080;AT4G22090
254353_s_at	AT4G22285;AT4G22350
254309_s_at	AT4G22420;AT4G22390
254312_s_at	AT4G22450;AT1G61510
254283_s_at	AT4G22870;AT4G22880
254259_s_at	AT4G23430;AT4G23420
254163_s_at	AT4G24340;AT4G24350
254053_s_at	AT4G25310;AT4G25300
254007_s_at	AT1G60720;AT4G26360
253929_s_at	AT4G26730;AT2G16030
253905_s_at	AT4G27210;AT4G27200
253879_s_at	AT4G27560;AT4G27570
253773_s_at	AT4G28360;AT1G52370
261600_x_at	AT4G28870;AT1G49680
266949_s_at	AT4G30260;AT2G18840
253586_s_at	AT4G30740;AT4G30710
253596_s_at	AT4G30730;AT4G30750
253602_s_at	AT4G30920;AT4G30910
253528_s_at	AT4G31480;AT4G31490
253362_s_at	AT4G33110;AT4G33120
253311_s_at	AT4G33840;AT4G33830
253312_s_at	AT4G33860;AT4G33850
253316_s_at	AT4G34300;AT4G33930
253266_s_at	AT4G34080;AT2G45260
253220_s_at	AT4G34930;AT4G34920
253177_s_at	AT4G35150;AT4G35160
265687_s_at	AT4G36120;AT2G24470
253079_s_at	AT4G36190;AT4G36195
253099_s_at	AT4G37530;AT4G37520
245134_s_at	AT4G38280;AT2G45250
253003_s_at	AT4G38300;AT4G38650
251112_s_at	AT5G01320;AT5G01330
251055_at	AT5G01712;AT5G01710
259536_s_at	AT1G12350;AT5G02080
251043_s_at	AT5G02340;AT5G02330
251045_s_at	AT2G13910;AT5G02360
257546_s_at	AT5G02700;AT3G28410
250932_s_at	AT5G03220;AT5G03500
250894_s_at	AT5G03810;AT5G03820
250853_s_at	AT5G04700;AT5G04680
246982_s_at	AT5G04860;AT2G10560
250815_s_at	AT5G05040;AT5G05060
250795_at	AT5G05280;AT5G05282
250736_s_at	AT1G01350;AT5G06420
250606_s_at	AT1G69940;AT5G07410
250602_s_at	AT5G07940;AT5G07980
245715_s_at	AT5G08670;AT5G08690
245881_at	AT5G09460;AT5G64340
250486_at	AT5G09672;AT5G09670
250489_s_at	AT5G09720;AT5G09710
255600_s_at	AT4G01020;AT5G10370
250367_s_at	AT5G11170;AT5G11200
258365_s_at	AT5G11880;AT3G14390
250325_s_at	AT5G12060;AT5G12070
250268_s_at	AT5G12950;AT5G12960
250293_s_at	AT5G13370;AT5G13360
250235_s_at	AT5G13430;AT5G13440
259273_s_at	AT3G01300;AT5G15080
246490_at	AT5G15950;AT5G15948
250114_s_at	AT5G16370;AT5G16340
246471_s_at	AT5G17100;AT5G17110
250048_s_at	AT5G17750;AT5G17740
263821_s_at	AT5G18380;AT2G09990
249975_s_at	AT3G06320;AT5G18790
246147_s_at	AT5G19990;AT5G20000
246078_s_at	AT5G20430;AT5G20440
249888_s_at	AT5G37340;AT5G22480
249823_s_at	AT5G23350;AT5G23360
249835_s_at	AT5G23490;AT5G23510
246979_s_at	AT5G25020;AT5G24990
246927_s_at	AT5G25260;AT5G25250
264681_s_at	AT1G65550;AT5G25420
246794_s_at	AT5G27010;AT5G06350
246809_s_at	AT5G27140;AT5G27120
246705_x_at	AT5G28120;AT5G28110
246709_s_at	AT5G28160;AT5G28180
246174_s_at	AT5G28340;AT5G28380
246175_s_at	AT5G28400;AT5G28320
246178_s_at	AT5G28430;AT3G60930
246050_s_at	AT5G28850;AT5G28900
246716_s_at	AT5G28960;AT5G28910
246665_s_at	AT4G04140;AT5G34820
246642_s_at	AT5G59620;AT5G34920
249680_s_at	AT3G61730;AT5G36000
249681_s_at	AT1G35080;AT5G36070
249692_s_at	AT5G36740;AT5G36670
249659_s_at	AT5G36710;AT5G36800
249660_at	AT5G36720;AT5G36805
249663_s_at	AT5G36737;AT5G36660
249662_s_at	AT5G36770;AT5G36680
249664_at	AT5G36722;AT5G36810
249630_s_at	AT5G52090;AT5G37150
263532_s_at	AT5G37350;AT2G24990
249616_s_at	AT5G37750;AT5G37440
249596_s_at	AT5G38010;AT5G37950
249600_s_at	AT5G37940;AT5G38000
249552_s_at	AT5G38250;AT5G38240
249516_s_at	AT5G38550;AT5G38540
267229_s_at	AT5G38640;AT2G44070
249477_s_at	AT5G38940;AT5G38930
249480_s_at	AT5G38990;AT5G39000
249451_s_at	AT5G39490;AT5G39480
249455_s_at	AT5G39540;AT1G50870
249424_s_at	AT5G40080;AT5G39800
249319_s_at	AT5G40880;AT5G49200
249264_s_at	AT5G41750;AT5G41740
249198_s_at	AT5G42350;AT5G42360
249195_s_at	AT5G42500;AT5G42510
249153_s_at	AT5G43400;AT5G43390
249156_s_at	AT5G43490;AT5G48610
256356_s_at	AT5G43620;AT1G66500
249022_s_at	AT5G44830;AT5G44840
248953_at	AT5G45430;AT5G45428
248941_s_at	AT5G45460;AT5G45470
248943_s_at	AT5G45490;AT5G45440
248851_s_at	AT5G46260;AT5G46490
248866_s_at	AT5G46820;AT5G46810
248844_s_at	AT5G46900;AT5G46890
248823_s_at	AT5G46960;AT5G46950
248602_s_at	AT5G49420;AT5G38620
248514_s_at	AT5G50620;AT5G50510
248515_at	AT5G50530;AT5G50640
248516_at	AT5G50645;AT5G50540
248517_at	AT5G50550;AT5G50650
248518_at	AT5G50660;AT5G50560
248522_at	AT5G50565;AT5G50665
248521_s_at	AT5G50630;AT5G50520
248524_s_at	AT5G50670;AT5G50570
248525_s_at	AT5G50610;AT5G50710
