PROBE	TID	ID	AGI	ENSEMBL	UNIGENE
260027_at	AT1G29950	AT1G29950	AT1G29950;AT1G29951;AT1G29952	AT1G29950;AT1G29951;AT1G29952	AT1G29950;AT1G29951;AT1G29952
261864_s_at	AT1G50480	AT1G50480	AT1G50480;AT2G12200;AT2G12280	AT1G50480;AT2G12200;AT2G12280	AT1G50480;AT2G12200;AT2G12280
261341_s_at	AT1G52940	AT1G52940	AT1G52940;AT2G18130;AT3G46120	AT1G52940;AT2G18130;AT3G46120	AT1G52940;AT2G18130;AT3G46120
262082_s_at	AT1G56120	AT1G56120	AT1G56120;AT1G56130;AT1G56140	AT1G56120;AT1G56130;AT1G56140	AT1G56120;AT1G56130;AT1G56140
265561_s_at	AT2G05510	AT2G05510	AT2G05440;AT2G05510	AT1G47480;AT2G05440;AT2G05510	AT1G47480;AT2G05440;AT2G05510
265490_s_at	AT2G15470	AT2G15470	AT2G15450;AT2G15460;AT2G15470	AT2G15450;AT2G15460;AT2G15470	AT2G15450;AT2G15460;AT2G15470
263952_s_at	AT2G35810	AT2G35810	AT2G35810;AT2G35830	AT2G35810;AT2G35820;AT2G35830	AT2G35810;AT2G35820;AT2G35830
266075_s_at	AT2G40710	AT2G40710	AT2G40710;AT4G37680;AT4G38290	AT2G40710;AT4G37680;AT4G38290	AT2G40710;AT4G37680;AT4G38290
266134_s_at	AT2G45110	AT2G45110	AT1G65681;AT2G45110	AT1G65680;AT1G65681;AT2G45110	AT1G65680;AT1G65681;AT2G45110
259011_s_at	AT3G07380	AT3G07380	AT3G07380;AT3G60990;AT5G48190	AT3G07380;AT3G60990;AT5G48190	AT3G07380;AT3G60990;AT5G48190
259381_s_at	AT3G16390	AT3G16390	AT3G16390;AT3G16400;AT3G16410	AT3G16390;AT3G16400;AT3G16410	AT3G16390;AT3G16400;AT3G16410
252592_at	AT3G45640	AT3G45640	AT3G45640	AT3G45640;AT3G45650;AT4G15180	AT3G45640;AT3G45650;AT4G15180
251351_s_at	AT3G61050	AT3G61050	AT3G60950;AT3G61030;AT3G61050	AT3G60950;AT3G61030;AT3G61050	AT3G60950;AT3G61030;AT3G61050
251211_s_at	AT3G62470	AT3G62470	AT3G62470;AT3G62540;AT5G14820	AT3G62470;AT3G62540;AT5G14820	AT3G62470;AT3G62540;AT5G14820
255713_s_at	AT4G00234	AT4G00234	AT4G00234;AT4G00290	AT4G00234;AT4G00280;AT4G00290	AT4G00234;AT4G00280;AT4G00290
254740_s_at	AT4G13890	AT4G13890	AT4G13890;AT4G13930	AT2G42450;AT4G13890;AT4G13930	AT2G42450;AT4G13890;AT4G13930
254567_s_at	AT4G19260	AT4G19260	AT4G19260;AT4G19340	AT4G19260;AT4G19330;AT4G19340	AT4G19260;AT4G19330;AT4G19340
254353_s_at	AT4G22350	AT4G22350	AT4G22285;AT4G22350	AT4G22285;AT4G22290;AT4G22350	AT4G22285;AT4G22290;AT4G22350
254257_s_at	AT4G23350	AT4G23350	AT4G23350;AT4G23360;AT4G23370	AT4G23350;AT4G23360;AT4G23370	AT4G23350;AT4G23360;AT4G23370
253004_at	AT4G38330	AT4G38330	AT4G38280;AT4G38330	AT4G38280;AT4G38290;AT4G38330	AT4G38280;AT4G38290;AT4G38330
250862_s_at	AT5G04800	AT5G04800	AT2G04390;AT2G05220;AT5G04800	AT2G04390;AT2G05220;AT5G04800	AT2G04390;AT2G05220;AT5G04800
246764_s_at	AT5G27310	AT5G27310	AT2G13640;AT2G27780;AT5G27310	AT2G13640;AT2G27780;AT5G27310	AT2G13640;AT2G27780;AT5G27310
246173_s_at	AT5G28370	AT5G28370	AT3G61520;AT5G28370;AT5G28460	AT3G61520;AT5G28370;AT5G28460	AT3G61520;AT5G28370;AT5G28460
249492_at	AT5G39160	AT5G39160	AT5G39130;AT5G39160;AT5G39190	AT5G39130;AT5G39160;AT5G39190	AT5G39130;AT5G39160;AT5G39190
249474_s_at	AT5G39190	AT5G39190	AT5G39130;AT5G39160;AT5G39190	AT5G39130;AT5G39160;AT5G39190	AT5G39130;AT5G39160;AT5G39190
249496_s_at	AT5G39200	AT5G39200	AT5G39140;AT5G39170;AT5G39200	AT5G39140;AT5G39170;AT5G39200	AT5G39140;AT5G39170;AT5G39200
249457_s_at	AT5G39550	AT5G39550	AT1G66040;AT1G66050;AT5G39550	AT1G66040;AT1G66050;AT5G39550	AT1G66040;AT1G66050;AT5G39550
259447_s_at	AT1G02430	AT1G02430	AT1G02430;AT1G02440	AT1G02430;AT1G02440	AT1G02430;AT1G02440
260932_s_at	AT1G02530	AT1G02530	AT1G02520;AT1G02530	AT1G02520;AT1G02530	AT1G02520;AT1G02530
262119_s_at	AT1G02930	AT1G02930	AT1G02920;AT1G02930	AT1G02920;AT1G02930	AT1G02920;AT1G02930
263116_s_at	AT1G03140	AT1G03140	AT1G03140;AT1G54590	AT1G03140;AT1G54590	AT1G03140;AT1G54590
264365_s_at	AT1G03220	AT1G03220	AT1G03220;AT1G03230	AT1G03220;AT1G03230	AT1G03220;AT1G03230
264354_s_at	AT1G03240	AT1G03240	AT1G03200;AT1G03240	AT1G03200;AT1G03240	AT1G03200;AT1G03240
265091_s_at	AT1G03495	AT1G03495	AT1G03495;AT1G03940	AT1G03495;AT1G03940	AT1G03495;AT1G03940
265045_s_at	AT1G03930	AT1G03930	AT1G03930;AT5G44100	AT1G03930;AT5G44100	AT1G03930;AT5G44100
264614_s_at	AT1G04580	AT1G04580	AT1G02590;AT1G04580	AT1G02590;AT1G04580	AT1G02590;AT1G04580
261168_at	AT1G04940	AT1G04940	AT1G04945	AT1G04940;AT1G04945	AT1G04940;AT1G04945
265217_s_at	AT1G05090	AT1G05090	AT1G05090;AT4G20720	AT1G05090;AT4G20720	AT1G05090;AT4G20720
264567_s_at	AT1G05250	AT1G05250	AT1G05240;AT1G05250	AT1G05240;AT1G05250	AT1G05240;AT1G05250
263229_s_at	AT1G05650	AT1G05650	AT1G05650;AT1G05660	AT1G05650;AT1G05660	AT1G05650;AT1G05660
260950_s_at	AT1G06120	AT1G06120	AT1G06090;AT1G06120	AT1G06090;AT1G06120	AT1G06090;AT1G06120
260786_s_at	AT1G06220	AT1G06220	AT1G06220;AT5G25230	AT1G06220;AT5G25230	AT1G06220;AT5G25230
260789_s_at	AT1G06290	AT1G06290	AT1G06290;AT3G06690	AT1G06290;AT3G06690	AT1G06290;AT3G06690
259391_s_at	AT1G06350	AT1G06350	AT1G06350;AT1G06360	AT1G06350;AT1G06360	AT1G06350;AT1G06360
262617_at	AT1G06590	AT1G06590	AT1G06590	AT1G03630;AT1G06590	AT1G03630;AT1G06590
260829_s_at	AT1G06870	AT1G06870	AT1G06870;AT2G30440	AT1G06870;AT2G30440	AT1G06870;AT2G30440
261079_s_at	AT1G07470	AT1G07470	AT1G07470;AT1G07480	AT1G07470;AT1G07480	AT1G07470;AT1G07480
261438_at	AT1G07600	AT1G07600	AT1G07590;AT1G07600	AT1G07590;AT1G07600	AT1G07590;AT1G07600
261435_at	AT1G07620	AT1G07620	AT1G07615	AT1G07615;AT1G07620	AT1G07615;AT1G07620
261433_s_at	AT1G07670	AT1G07670	AT1G07670;AT1G07810	AT1G07670;AT1G07810	AT1G07670;AT1G07810
261464_at	AT1G07730	AT1G07730	AT1G07730;AT1G07740	AT1G07730;AT1G07740	AT1G07730;AT1G07740
261463_at	AT1G07740	AT1G07740	AT1G07740	AT1G07730;AT1G07740	AT1G07730;AT1G07740
261408_s_at	AT1G07820	AT1G07820	AT1G07660;AT1G07820	AT1G07660;AT1G07820	AT1G07660;AT1G07820
261461_at	AT1G07860	AT1G07860	AT1G07860;AT1G07870	AT1G07860;AT1G07870	AT1G07860;AT1G07870
260680_s_at	AT1G08000	AT1G08000	AT1G08000;AT1G08010	AT1G08000;AT1G08010	AT1G08000;AT1G08010
261743_s_at	AT1G08420	AT1G08420	AT1G08420;AT2G27210	AT1G08420;AT2G27210	AT1G08420;AT2G27210
264654_s_at	AT1G08900	AT1G08900	AT1G08890;AT1G08900	AT1G08890;AT1G08900	AT1G08890;AT1G08900
264553_s_at	AT1G09480	AT1G09480	AT1G09480;AT1G09490	AT1G09480;AT1G09490	AT1G09480;AT1G09490
264670_s_at	AT1G09640	AT1G09640	AT1G09640;AT1G57720	AT1G09640;AT1G57720	AT1G09640;AT1G57720
264679_s_at	AT1G09690	AT1G09690	AT1G09590;AT1G09690	AT1G09590;AT1G09690	AT1G09590;AT1G09690
264667_s_at	AT1G09980	AT1G09980	AT1G09980;AT1G58350	AT1G09980;AT1G58350	AT1G09980;AT1G58350
264450_s_at	AT1G10250	AT1G10250	AT1G10250;AT1G10450	AT1G10250;AT1G10450	AT1G10250;AT1G10450
261868_s_at	AT1G11460	AT1G11460	AT1G11450;AT1G11460	AT1G11450;AT1G11460	AT1G11450;AT1G11460
261872_s_at	AT1G11520	AT1G11520	AT1G11520;AT4G21660	AT1G11520;AT4G21660	AT1G11520;AT4G21660
262818_at	AT1G11760	AT1G11760	AT1G11755	AT1G11755;AT1G11760	AT1G11755;AT1G11760
255930_at	AT1G12660	AT1G12660		AT1G12660;AT1G12663	AT1G12660;AT1G12663
255936_at	AT1G12680	AT1G12680	AT1G12680	AT1G12680;AT1G12700	AT1G12680;AT1G12700
261194_at	AT1G12770	AT1G12770	AT1G12775	AT1G12770;AT1G12775	AT1G12770;AT1G12775
262781_s_at	AT1G13060	AT1G13060	AT1G13060;AT3G26340	AT1G13060;AT3G26340	AT1G13060;AT3G26340
259362_s_at	AT1G13350	AT1G13350	AT1G13350;AT3G53640	AT1G13350;AT3G53640	AT1G13350;AT3G53640
262651_at	AT1G14100	AT1G14100	AT1G14100	AT1G14100;AT1G14110	AT1G14100;AT1G14110
262655_s_at	AT1G14190	AT1G14190	AT1G14185;AT1G14190	AT1G14185;AT1G14190	AT1G14185;AT1G14190
262661_s_at	AT1G14250	AT1G14250	AT1G14230;AT1G14250	AT1G14230;AT1G14250	AT1G14230;AT1G14250
262832_s_at	AT1G14870	AT1G14870	AT1G14870;AT1G14880	AT1G14870;AT1G14880	AT1G14870;AT1G14880
262589_s_at	AT1G15150	AT1G15150	AT1G15150;AT1G15160	AT1G15150;AT1G15160	AT1G15150;AT1G15160
261767_s_at	AT1G15500	AT1G15500	AT1G15500;AT1G80300	AT1G15500;AT1G80300	AT1G15500;AT1G80300
261837_s_at	AT1G15910	AT1G15910	AT1G15910;AT4G00380	AT1G15910;AT4G00380	AT1G15910;AT4G00380
262717_s_at	AT1G16410	AT1G16410	AT1G16400;AT1G16410	AT1G16400;AT1G16410	AT1G16400;AT1G16410
262714_s_at	AT1G16430	AT1G16430	AT1G07950;AT1G16430	AT1G07950;AT1G16430	AT1G07950;AT1G16430
256116_at	AT1G16860	AT1G16860	AT1G16858;AT1G16860	AT1G16858;AT1G16860	AT1G16858;AT1G16860
262531_at	AT1G17230	AT1G17230	AT1G17230	AT1G17230;AT1G17235	AT1G17230;AT1G17235
262537_s_at	AT1G17280	AT1G17280	AT1G17280;AT5G50430	AT1G17280;AT5G50430	AT1G17280;AT5G50430
260847_s_at	AT1G17290	AT1G17290	AT1G17290;AT1G72330	AT1G17290;AT1G72330	AT1G17290;AT1G72330
255900_at	AT1G17830	AT1G17830	AT1G17830	AT1G17830;AT3G20300	AT1G17830;AT3G20300
255895_at	AT1G17990	AT1G17990	AT1G17990;AT1G18020	AT1G17990;AT1G18020	AT1G17990;AT1G18020
255908_s_at	AT1G18010	AT1G18010	AT1G18000;AT1G18010	AT1G18000;AT1G18010	AT1G18000;AT1G18010
256127_at	AT1G18200	AT1G18200		AT1G18200;AT1G18210	AT1G18200;AT1G18210
261664_s_at	AT1G18320	AT1G18320	AT1G18320;AT3G10110	AT1G18320;AT3G10110	AT1G18320;AT3G10110
261663_at	AT1G18330	AT1G18330	AT1G18330	AT1G18330;AT3G10113	AT1G18330;AT3G10113
259468_at	AT1G19080	AT1G19080	AT1G19080;AT3G55490	AT1G19080;AT3G55490	AT1G19080;AT3G55490
260659_s_at	AT1G19470	AT1G19470	AT1G19460;AT1G19470	AT1G19460;AT1G19470	AT1G19460;AT1G19470
261149_s_at	AT1G19570	AT1G19570	AT1G19550;AT1G19570	AT1G19550;AT1G19570	AT1G19550;AT1G19570
261144_s_at	AT1G19660	AT1G19660	AT1G19660;AT1G75380	AT1G19660;AT1G75380	AT1G19660;AT1G75380
261245_at	AT1G20130	AT1G20130	AT1G20135	AT1G20130;AT1G20135	AT1G20130;AT1G20135
259563_s_at	AT1G20590	AT1G20590	AT1G20590;AT1G20610	AT1G20590;AT1G20610	AT1G20590;AT1G20610
261457_at	AT1G21065	AT1G21065	AT1G21065	AT1G21065;AT4G02440	AT1G21065;AT4G02440
261450_s_at	AT1G21110	AT1G21110	AT1G21110;AT1G21120	AT1G21110;AT1G21120	AT1G21110;AT1G21120
260900_s_at	AT1G21400	AT1G21400	AT1G21400;AT5G34780	AT1G21400;AT5G34780	AT1G21400;AT5G34780
260919_at	AT1G21520	AT1G21520	AT1G21520	AT1G21520;AT1G21525	AT1G21520;AT1G21525
260923_at	AT1G21570	AT1G21570	AT1G21580	AT1G21570;AT1G21580	AT1G21570;AT1G21580
262985_s_at	AT1G23290	AT1G23290	AT1G23290	AT1G23290;AT1G70600	AT1G23290;AT1G70600
265174_s_at	AT1G23460	AT1G23460	AT1G23460	AT1G23460;AT1G23470	AT1G23460;AT1G23470
265187_at	AT1G23490	AT1G23490	AT1G23490	AT1G23490;AT1G62020	AT1G23490;AT1G62020
257400_s_at	AT1G23810	AT1G23810	AT1G23810;AT1G24250	AT1G23810;AT1G24250	AT1G23810;AT1G24250
263022_s_at	AT1G23940	AT1G23940	AT1G23900;AT1G23940	AT1G23900;AT1G23940	AT1G23900;AT1G23940
263033_s_at	AT1G23950	AT1G23950	AT1G23950;AT1G23970	AT1G23950;AT1G23970	AT1G23950;AT1G23970
255732_at	AT1G25450	AT1G25450	AT1G25450	AT1G25450;AT3G15520	AT1G25450;AT3G15520
245751_s_at	AT1G25988	AT1G25988	AT1G25682;AT1G25988	AT1G25682;AT1G25988	AT1G25682;AT1G25988
264979_s_at	AT1G27170	AT1G27170	AT1G27170;AT1G27180	AT1G27170;AT1G27180	AT1G27170;AT1G27180
264488_s_at	AT1G27330	AT1G27330	AT1G27330;AT1G27350	AT1G27330;AT1G27350	AT1G27330;AT1G27350
262319_s_at	AT1G27540	AT1G27540	AT1G27540;AT1G27580	AT1G27540;AT1G27580	AT1G27540;AT1G27580
261644_s_at	AT1G27830	AT1G27830	AT1G19750;AT1G27840	AT1G19750;AT1G27840	AT1G19750;AT1G27840
245764_s_at	AT1G27840	AT1G27840	AT1G19750;AT1G27840	AT1G19750;AT1G27840	AT1G19750;AT1G27840
261468_s_at	AT1G28500	AT1G28500	AT1G27860;AT1G28500	AT1G27860;AT1G28500	AT1G27860;AT1G28500
262733_s_at	AT1G28670	AT1G28670	AT1G28660;AT1G28670	AT1G28660;AT1G28670	AT1G28660;AT1G28670
259767_s_at	AT1G29350	AT1G29350	AT1G29350;AT1G29370	AT1G29350;AT1G29370	AT1G29350;AT1G29370
259776_s_at	AT1G29550	AT1G29550	AT1G29550;AT1G29590	AT1G29550;AT1G29590	AT1G29550;AT1G29590
259778_at	AT1G29610	AT1G29610	AT1G29600	AT1G29600;AT1G29610	AT1G29600;AT1G29610
259779_s_at	AT1G29620	AT1G29620	AT1G29620;AT1G32720	AT1G29620;AT1G32720	AT1G29620;AT1G32720
255996_s_at	AT1G29730	AT1G29730	AT1G29730;AT1G29740	AT1G29730;AT1G29740	AT1G29730;AT1G29740
260050_at	AT1G29960	AT1G29960	AT1G29960;AT1G29962	AT1G29960;AT1G29962	AT1G29960;AT1G29962
256308_s_at	AT1G30410	AT1G30410	AT1G30410;AT1G30420	AT1G30410;AT1G30420	AT1G30410;AT1G30420
263216_s_at	AT1G30720	AT1G30720	AT1G30720;AT1G30730	AT1G30720;AT1G30730	AT1G30720;AT1G30730
265152_s_at	AT1G30940	AT1G30940		AT1G30935;AT1G30940	AT1G30935;AT1G30940
265159_at	AT1G31060	AT1G31060	AT1G31050	AT1G31050;AT1G31060	AT1G31050;AT1G31060
263706_s_at	AT1G31180	AT1G31180	AT1G31180;AT5G14200	AT1G31180;AT5G14200	AT1G31180;AT5G14200
262557_at	AT1G31330	AT1G31330	AT1G31330	AT1G31330;AT1G64625	AT1G31330;AT1G64625
255747_s_at	AT1G32010	AT1G32010	AT1G32010;AT5G38190	AT1G32010;AT5G38190	AT1G32010;AT5G38190
245788_at	AT1G32120	AT1G32120	AT1G32120	AT1G32120;AT4G26630	AT1G32120;AT4G26630
261617_s_at	AT1G33090	AT1G33090	AT1G33090;AT1G33100	AT1G33090;AT1G33100	AT1G33090;AT1G33100
261620_s_at	AT1G33140	AT1G33140	AT1G33120;AT1G33140	AT1G33120;AT1G33140	AT1G33120;AT1G33140
256448_s_at	AT1G33450	AT1G33450	AT5G15690	AT4G04780;AT5G15690	AT4G04780;AT5G15690
256420_at	AT1G33480	AT1G33480	AT1G33475	AT1G33475;AT1G33480	AT1G33475;AT1G33480
261986_s_at	AT1G33720	AT1G33720	AT1G33720;AT1G33730	AT1G33720;AT1G33730	AT1G33720;AT1G33730
261995_at	AT1G33850	AT1G33850	AT1G33850;AT5G43640	AT1G33850;AT5G43640	AT1G33850;AT5G43640
260118_s_at	AT1G33940	AT1G33940	AT1G33940;AT5G18700	AT1G33940;AT5G18700	AT1G33940;AT5G18700
256008_s_at	AT1G34040	AT1G34040	AT1G34040;AT1G34060	AT1G34040;AT1G34060	AT1G34040;AT1G34060
261159_s_at	AT1G34460	AT1G34460	AT1G34460;AT5G06150	AT1G34460;AT5G06150	AT1G34460;AT5G06150
261156_s_at	AT1G34520	AT1G34520	AT1G34490;AT1G34520	AT1G34490;AT1G34520	AT1G34490;AT1G34520
261166_s_at	AT1G34570	AT1G34570	AT1G34570;AT3G15750	AT1G34570;AT3G15750	AT1G34570;AT3G15750
245783_s_at	AT1G35180	AT1G35180	AT1G35170;AT1G35180	AT1G35170;AT1G35180	AT1G35170;AT1G35180
260079_s_at	AT1G35460	AT1G35460	AT1G35460;AT5G33210	AT1G35460;AT5G33210	AT1G35460;AT5G33210
262012_s_at	AT1G35625	AT1G35625	AT1G35625;AT1G35630	AT1G35625;AT1G35630	AT1G35625;AT1G35630
256313_s_at	AT1G35850	AT1G35850	AT1G35850;AT5G59280	AT1G35850;AT5G59280	AT1G35850;AT5G59280
245810_at	AT1G37607	AT1G37607	AT1G38065;AT1G38131	AT1G38065;AT1G38131	AT1G38065;AT1G38131
261362_s_at	AT1G41880	AT1G41880	AT1G41880;AT3G55750	AT1G41880;AT3G55750	AT1G41880;AT3G55750
261358_s_at	AT1G41920	AT1G41920	AT1G41920;AT3G29450	AT1G41920;AT3G29450	AT1G41920;AT3G29450
256475_s_at	AT1G42680	AT1G42680	AT1G42680;AT1G69710	AT1G42680;AT1G69710	AT1G42680;AT1G69710
264419_s_at	AT1G43310	AT1G43310	AT1G43310;AT5G33320	AT1G43310;AT5G33320	AT1G43310;AT5G33320
262724_s_at	AT1G43330	AT1G43330	AT1G43330;AT4G00540	AT1G43330;AT4G00540	AT1G43330;AT4G00540
262720_s_at	AT1G43610	AT1G43610	AT1G43600;AT1G43610	AT1G43600;AT1G43610	AT1G43600;AT1G43610
261326_s_at	AT1G44180	AT1G44180	AT1G44180;AT1G44820	AT1G44180;AT1G44820	AT1G44180;AT1G44820
260942_s_at	AT1G45190	AT1G45190	AT1G45190;AT3G11990	AT1G45190;AT3G11990	AT1G45190;AT3G11990
262433_s_at	AT1G47500	AT1G47500	AT1G47490;AT1G47500	AT1G47490;AT1G47500	AT1G47490;AT1G47500
262430_s_at	AT1G47550	AT1G47550	AT1G47550;AT1G47560	AT1G47550;AT1G47560	AT1G47550;AT1G47560
262427_s_at	AT1G47600	AT1G47600	AT1G47600;AT1G51470	AT1G47600;AT1G51470	AT1G47600;AT1G51470
262426_s_at	AT1G47630	AT1G47630	AT1G47640	AT1G47625;AT1G47640	AT1G47625;AT1G47640
261731_s_at	AT1G47780	AT1G47780	AT1G47780;AT1G47786	AT1G47780;AT1G47786	AT1G47780;AT1G47786
261738_s_at	AT1G47820	AT1G47820	AT1G47813;AT1G47820	AT1G47813;AT1G47820	AT1G47813;AT1G47820
261309_at	AT1G48600	AT1G48600	AT1G48598;AT1G48600	AT1G48598;AT1G48600	AT1G48598;AT1G48600
246627_s_at	AT1G48860	AT1G48860	AT1G48860;AT2G45300	AT1G48860;AT2G45300	AT1G48860;AT2G45300
260767_s_at	AT1G49140	AT1G49140	AT1G49140;AT3G18410	AT1G49140;AT3G18410	AT1G49140;AT3G18410
262387_s_at	AT1G49340	AT1G49340	AT1G49340;AT1G51040	AT1G49340;AT1G51040	AT1G49340;AT1G51040
261600_x_at	AT1G49680	AT1G49680	AT1G49680;AT4G28870	AT1G49680;AT4G28870	AT1G49680;AT4G28870
262469_s_at	AT1G50190	AT1G50190	AT1G50190;AT1G50220	AT1G50190;AT1G50220	AT1G50190;AT1G50220
262460_s_at	AT1G50390	AT1G50390	AT1G06030;AT1G50390	AT1G06030;AT1G50390	AT1G06030;AT1G50390
257581_s_at	AT1G50680	AT1G50680	AT1G50680;AT1G51120	AT1G50680;AT1G51120	AT1G50680;AT1G51120
256202_s_at	AT1G50780	AT1G50780	AT1G48150;AT1G50780	AT1G48150;AT1G50780	AT1G48150;AT1G50780
265133_s_at	AT1G51250	AT1G51250	AT1G51240;AT1G51250	AT1G51240;AT1G51250	AT1G51240;AT1G51250
256178_s_at	AT1G51780	AT1G51780	AT1G51760;AT1G51780	AT1G51760;AT1G51780	AT1G51760;AT1G51780
265058_s_at	AT1G52040	AT1G52040	AT1G52030;AT1G52040	AT1G52030;AT1G52040	AT1G52030;AT1G52040
262152_s_at	AT1G52450	AT1G52450	AT1G52430;AT1G52450	AT1G52430;AT1G52450	AT1G52430;AT1G52450
262141_s_at	AT1G52460	AT1G52460	AT1G52440;AT1G52460	AT1G52440;AT1G52460	AT1G52440;AT1G52460
262227_s_at	AT1G53750	AT1G53750	AT1G53750;AT1G53780	AT1G53750;AT1G53780	AT1G53750;AT1G53780
