Source Name	Characteristics [Age]	Characteristics [GeneticModification]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [ORGANISM_PART]	Factor Value [GENOTYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
doq-1_apex_A	21 days	induced_mutation	doq-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	doq-1_apex_A	total_RNA	P-AFFY-2	doq-1_apex_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_doq-1_apex_A	A-AFFY-2	P-AFFY-6	apex	doq-1	doq-1_apex_A.CEL	doq-1_apex_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
zet-2_apex_A	21 days	induced_mutation	zet-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	zet-2_apex_A	total_RNA	P-AFFY-2	zet-2_apex_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_zet-2_apex_A	A-AFFY-2	P-AFFY-6	apex	zet-2	zet-2_apex_A.CEL	zet-2_apex_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
Ler_apex_B	21 days	  	Ler	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	Ler_apex_B	total_RNA	P-AFFY-2	Ler_apex_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ler_apex_B	A-AFFY-2	P-AFFY-6	apex	Ler	Ler_apex_B.CEL	Ler_apex_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-3_flower_B	21 days	induced_mutation	sub-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-3_flower_B	total_RNA	P-AFFY-2	sub-3_flower_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-3_flower_B	A-AFFY-2	P-AFFY-6	flower	sub-3	sub-3_flower_B.CEL	sub-3_flower_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
Ler_flower_A	21 days	  	Ler	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	Ler_flower_A	total_RNA	P-AFFY-2	Ler_flower_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ler_flower_A	A-AFFY-2	P-AFFY-6	flower	Ler	Ler_flower_A.CEL	Ler_flower_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
Ler_apex_A	21 days	  	Ler	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	Ler_apex_A	total_RNA	P-AFFY-2	Ler_apex_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ler_apex_A	A-AFFY-2	P-AFFY-6	apex	Ler	Ler_apex_A.CEL	Ler_apex_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-1_flower_B	21 days	induced_mutation	sub-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-1_flower_B	total_RNA	P-AFFY-2	sub-1_flower_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-1_flower_B	A-AFFY-2	P-AFFY-6	flower	sub-1	sub-1_flower_B.CEL	sub-1_flower_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-3_apex_A	21 days	induced_mutation	sub-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-3_apex_A	total_RNA	P-AFFY-2	sub-3_apex_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-3_apex_A	A-AFFY-2	P-AFFY-6	apex	sub-3	sub-3_apex_A.CEL	sub-3_apex_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-1_apex_B	21 days	induced_mutation	sub-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-1_apex_B	total_RNA	P-AFFY-2	sub-1_apex_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-1_apex_B	A-AFFY-2	P-AFFY-6	apex	sub-1	sub-1_apex_B.CEL	sub-1_apex_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-1_flower_A	21 days	induced_mutation	sub-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-1_flower_A	total_RNA	P-AFFY-2	sub-1_flower_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-1_flower_A	A-AFFY-2	P-AFFY-6	flower	sub-1	sub-1_flower_A.CEL	sub-1_flower_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
qky-8_flower_B	21 days	induced_mutation	qky-8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	qky-8_flower_B	total_RNA	P-AFFY-2	qky-8_flower_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_qky-8_flower_B	A-AFFY-2	P-AFFY-6	flower	qky-8	qky-8_flower_B.CEL	qky-8_flower_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
sub-1_apex_A	21 days	induced_mutation	sub-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	sub-1_apex_A	total_RNA	P-AFFY-2	sub-1_apex_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_sub-1_apex_A	A-AFFY-2	P-AFFY-6	apex	sub-1	sub-1_apex_A.CEL	sub-1_apex_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
qky-8_apex_B	21 days	induced_mutation	qky-8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	apex	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	qky-8_apex_B	total_RNA	P-AFFY-2	qky-8_apex_B	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_qky-8_apex_B	A-AFFY-2	P-AFFY-6	apex	qky-8	qky-8_apex_B.CEL	qky-8_apex_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
qky-8_flower_A	21 days	induced_mutation	qky-8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	flower	adult	EFO	EFO_0001272	frozen_sample	P-MTAB-503	P-MTAB-502	P-MTAB-504	qky-8_flower_A	total_RNA	P-AFFY-2	qky-8_flower_A	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_qky-8_flower_A	A-AFFY-2	P-AFFY-6	flower	qky-8	qky-8_flower_A.CEL	qky-8_flower_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.raw.1.zip	P-MTAB-501	Schneitz_slm_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1592/E-MEXP-1592.processed.1.zip
