Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics[developmental stage]	Characteristics[stress]	Characteristics[age]	Unit[time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [stress]
GSM1202377 1	seedlings grown on agar plates, without high light treatment	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 0h	Col-0, RNAi-MBS2/mbs1-1, at HL 0h, biological rep2	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202377 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202377 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202377	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202377_7659_RD34_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202377_sample_table.txt norm	GSM1202377_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	unstressed control
GSM1202376 1	seedlings grown on agar plates, without high light treatment	Col-0, RNAi-MBS2/mbs1-1, whole seedlings without root, at HL 0h	Col-0, RNAi-MBS2/mbs1-1, at HL 0h, biological rep1	Col-0	RNAi-MBS2/mbs1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202376 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202376 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202376	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202376_7659_RD74_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202376_sample_table.txt norm	GSM1202376_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	RNAi-MBS2/mbs1-1 knockdown	unstressed control
GSM1202375 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, mbs1-1, whole seedlings without root, at HL 3h	Col-0, mbs1-1, at HL 3h, biological rep3	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202375 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202375 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202375	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202375_7659_RD78_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202375_sample_table.txt norm	GSM1202375_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	high light
GSM1202374 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, mbs1-1, whole seedlings without root, at HL 3h	Col-0, mbs1-1, at HL 3h, biological rep2	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202374 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202374 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202374	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202374_7659_RD38_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202374_sample_table.txt norm	GSM1202374_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	high light
GSM1202373 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, mbs1-1, whole seedlings without root, at HL 3h	Col-0, mbs1-1, at HL 3h, biological rep1	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202373 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202373 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202373	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202373_7659_RD58_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202373_sample_table.txt norm	GSM1202373_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	high light
GSM1202372 1	seedlings grown on agar plates, without high light treatment	Col-0, mbs1-1, whole seedlings without root, at HL 0h	Col-0, mbs1-1, at HL 0h, biological rep3	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202372 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202372 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202372	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202372_7659_RD52_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202372_sample_table.txt norm	GSM1202372_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	unstressed control
GSM1202371 1	seedlings grown on agar plates, without high light treatment	Col-0, mbs1-1, whole seedlings without root, at HL 0h	Col-0, mbs1-1, at HL 0h, biological rep2	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202371 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202371 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202371	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202371_7659_RD72_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202371_sample_table.txt norm	GSM1202371_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	unstressed control
GSM1202370 1	seedlings grown on agar plates, without high light treatment	Col-0, mbs1-1, whole seedlings without root, at HL 0h	Col-0, mbs1-1, at HL 0h, biological rep1	Col-0	mbs1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202370 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202370 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202370	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202370_7659_RD32_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202370_sample_table.txt norm	GSM1202370_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	mbs1-1 mutant	unstressed control
GSM1202369 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, flu, whole seedlings without root, at HL 3h	Col-0, flu, at HL 3h, biological rep3	Col-0	fluorescent (flu) mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202369 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202369 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202369	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202369_7659_RD62_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202369_sample_table.txt norm	GSM1202369_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	fluorescent (flu) mutant	high light
GSM1202368 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, flu, whole seedlings without root, at HL 3h	Col-0, flu, at HL 3h, biological rep2	Col-0	fluorescent (flu) mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202368 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202368 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202368	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202368_7659_RD42_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202368_sample_table.txt norm	GSM1202368_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	fluorescent (flu) mutant	high light
GSM1202367 1	seedlings grown on agar plates, HL stress (1000 µE m−2 s−1)	Col-0, flu, whole seedlings without root, at HL 3h	Col-0, flu, at HL 3h, biological rep1	Col-0	fluorescent (flu) mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	HL stress (1000 µE m−2 s−1)	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202367 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202367 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202367	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202367_7659_RD82_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202367_sample_table.txt norm	GSM1202367_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	fluorescent (flu) mutant	high light
GSM1202366 1	seedlings grown on agar plates, without high light treatment	Col-0, flu, whole seedlings without root, at HL 0h	Col-0, flu, at HL 0h, biological rep3	Col-0	fluorescent (flu) mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202366 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202366 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202366	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202366_7659_RD36_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202366_sample_table.txt norm	GSM1202366_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	fluorescent (flu) mutant	unstressed control
GSM1202365 1	seedlings grown on agar plates, without high light treatment	Col-0, flu, whole seedlings without root, at HL 0h	Col-0, flu, at HL 0h, biological rep2	Col-0	fluorescent (flu) mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedlings without root	seedling	without high light treatment	12	day	P-GSE49596-2	ArrayExpress	P-GSE49596-3	ArrayExpress	P-GSE49596-4	ArrayExpress	GSM1202365 extract 1	total RNA	P-GSE49596-5	ArrayExpress	GSM1202365 LE 1	biotin	P-GSE49596-6	ArrayExpress	GSM1202365	A-AFFY-2	ArrayExpress	array assay	P-GSE49596-7	ArrayExpress	GSM1202365_7659_RD56_20130620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.raw.1.zip	P-GSE49596-1	ArrayExpress	GSM1202365_sample_table.txt norm	GSM1202365_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49596/E-GEOD-49596.processed.1.zip	fluorescent (flu) mutant	unstressed control
