Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [UV-B quality]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
305 - 6h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	305 - 6h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_305 - 6h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_305 - 6h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_305 - 6h - 1	A-AFFY-2	P-AFFY-6	6	h	305nm cut-off	H_305 - 6h - 1	Ulm_305_6h_1_jp22102002ath1_07_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
327 - 1h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	327 - 1h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_327 - 1h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_327 - 1h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_327 - 1h - 1	A-AFFY-2	P-AFFY-6	1	h	327nm cut-off	H_327 - 1h - 1	Ulm_327_1h_1_jp22102002ath1_02_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
quartz - 6h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	quartz - 6h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_quartz - 6h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_quartz - 6h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_quartz - 6h - 1	A-AFFY-2	P-AFFY-6	6	h	unfiltered	H_quartz - 6h - 1	Ulm_quartz_6h_1_jp22102002ath1_09_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
295 - 1h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	295 - 1h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_295 - 1h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_295 - 1h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_295 - 1h - 1	A-AFFY-2	P-AFFY-6	1	h	295nm cut-off	H_295 - 1h - 1	Ulm_295_1h_1_jp22102002ath1_04_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
305 - 1h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	305 - 1h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_305 - 1h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_305 - 1h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_305 - 1h - 1	A-AFFY-2	P-AFFY-6	1	h	305nm cut-off	H_305 - 1h - 1	Ulm_305_1h_1_jp22102002ath1_03_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
quartz - 1h - 1	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	quartz - 1h - 1	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_quartz - 1h - 1	total_RNA	P-MEXP-9948	10	none	biotin	L_quartz - 1h - 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_quartz - 1h - 1	A-AFFY-2	P-AFFY-6	1	h	unfiltered	H_quartz - 1h - 1	Ulm_quartz_1h_1_jp22102002ath1_05_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
305 - 6h - 2	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	305 - 6h - 2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_305 - 6h - 2	total_RNA	P-MEXP-9948	10	none	biotin	L_305 - 6h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_305 - 6h - 2	A-AFFY-2	P-AFFY-6	6	h	305nm cut-off	H_305 - 6h - 2	Ulm_305_6h_2_jp22102002ath1_16_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
quartz - 1h - 2	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	quartz - 1h - 2	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_quartz - 1h - 2	total_RNA	P-MEXP-9948	10	none	biotin	L_quartz - 1h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_quartz - 1h - 2	A-AFFY-2	P-AFFY-6	1	h	unfiltered	H_quartz - 1h - 2	Ulm_quartz_1h_2_jp22102002ath1_14_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
305 - 1h - 4	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	305 - 1h - 4	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_305 - 1h - 4	total_RNA	P-MEXP-9948	10	none	biotin	L_305 - 1h - 4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_305 - 1h - 4	A-AFFY-2	P-AFFY-6	1	h	305nm cut-off	H_305 - 1h - 4	Ulm_305_1h_4_jp08082002ath1_04_pl2_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
327 - 1h - 4	7	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	Wassilewskija	P-MEXP-9939	P-MEXP-17438	327 - 1h - 4	P-MEXP-9941	total RNA	none	P-MEXP-9943	E_327 - 1h - 4	total_RNA	P-MEXP-9948	10	none	biotin	L_327 - 1h - 4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_327 - 1h - 4	A-AFFY-2	P-AFFY-6	1	h	327nm cut-off	H_327 - 1h - 4	Ulm_327_1h_4_jp08082002ath1_03_mi2_CEL.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-550-processed-data-1343524576.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-550/E-MEXP-550.processed.1.zip
