Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit [time unit]
GSE5615GSM131137	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-1	GSE5615GSM131137 sample	GSE5615GSM131137 extract	total_RNA	GSE5615GSM131137 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-23_2-2-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-23_2-2-4_REP2_ATH1	GSM131137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	4	hour
GSE5615GSM131123	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-1	GSE5615GSM131123 sample	GSE5615GSM131123 extract	total_RNA	GSE5615GSM131123 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-9_1-2-4_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-9_1-2-4_REP_1_ATH1	GSM131123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	4	hour
GSE5615GSM131120	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-12	GSE5615GSM131120 sample	GSE5615GSM131120 extract	total_RNA	GSE5615GSM131120 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-6_1-6-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-6_1-6-1_REP_1_ATH1	GSM131120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	1	hour
GSE5615GSM131134	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-17	GSE5615GSM131134 sample	GSE5615GSM131134 extract	total_RNA	GSE5615GSM131134 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-20_2-6-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-20_2-6-1_REP2_ATH1	GSM131134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	1	hour
GSE5615GSM131148	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-17	GSE5615GSM131148 sample	GSE5615GSM131148 extract	total_RNA	GSE5615GSM131148 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-34_3-6-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-34_3-6-1_REP3_ATH1	GSM131148.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	1	hour
GSE5615GSM131113	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-5	GSE5615GSM131113 sample	GSE5615GSM131113 extract	total_RNA	GSE5615GSM131113 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-41_3-6-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-41_3-6-4_REP3_ATH1	GSM131113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	4	hour
GSE5615GSM131127	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-5	GSE5615GSM131127 sample	GSE5615GSM131127 extract	total_RNA	GSE5615GSM131127 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-13_1-6-4_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-13_1-6-4_REP1_ATH1	GSM131127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	4	hour
GSE5615GSM131141	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-5	GSE5615GSM131141 sample	GSE5615GSM131141 extract	total_RNA	GSE5615GSM131141 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-27_2-6-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-27_2-6-4_REP2_ATH1	GSM131141.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	Flg-22 1uM	4	hour
GSE5615GSM131145	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-9	GSE5615GSM131145 sample	GSE5615GSM131145 extract	total_RNA	GSE5615GSM131145 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-31_3-3-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-31_3-3-1_REP3_ATH1	GSM131145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	1	hour
GSE5615GSM131131	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-9	GSE5615GSM131131 sample	GSE5615GSM131131 extract	total_RNA	GSE5615GSM131131 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-17_2-3-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-17_2-3-1_REP2_ATH1	GSM131131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	1	hour
GSE5615GSM131117	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-9	GSE5615GSM131117 sample	GSE5615GSM131117 extract	total_RNA	GSE5615GSM131117 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-3_1-3-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-3_1-3-1_REP_1_ATH1	GSM131117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	1	hour
GSE5615GSM131138	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-2	GSE5615GSM131138 sample	GSE5615GSM131138 extract	total_RNA	GSE5615GSM131138 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-24_2-3-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-24_2-3-4_REP2_ATH1	GSM131138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	4	hour
GSE5615GSM131110	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-2	GSE5615GSM131110 sample	GSE5615GSM131110 extract	total_RNA	GSE5615GSM131110 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-38_3-3-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-38_3-3-4_REP3_ATH1	GSM131110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	4	hour
GSE5615GSM131124	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-2	GSE5615GSM131124 sample	GSE5615GSM131124 extract	total_RNA	GSE5615GSM131124 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-10_1-3-4_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-10_1-3-4_REP1_ATH1	GSM131124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST 1uM	4	hour
GSE5615GSM131147	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-16	GSE5615GSM131147 sample	GSE5615GSM131147 extract	total_RNA	GSE5615GSM131147 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-33_3-5-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-33_3-5-1_REP3_ATH1	GSM131147.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	1	hour
