Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE7743GSM187255	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	P-G7743-6	P-G7743-1	GSE7743GSM187255 sample	P-G7743-4	GSE7743GSM187255 extract	total_RNA	P-G7743-3	GSE7743GSM187255 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_HL_C	A-AFFY-2	P-AFFY-6	hy5_HL_C	GSM187255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	hy5
GSE7743GSM187254	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"hy5, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. hy5, 7 d old seedlings"	hy5	seedling	7	day	P-G7743-6	P-G7743-1	GSE7743GSM187254 sample	P-G7743-4	GSE7743GSM187254 extract	total_RNA	P-G7743-3	GSE7743GSM187254 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	hy5_HL_B	A-AFFY-2	P-AFFY-6	hy5_HL_B	GSM187254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	hy5
GSE7743GSM187239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours BL:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Arabidopsis Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-2	P-G7743-1	GSE7743GSM187239 sample	P-G7743-4	GSE7743GSM187239 extract	total_RNA	P-G7743-3	GSE7743GSM187239 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_BL_A	A-AFFY-2	P-AFFY-6	Col-O_BL_A	GSM187239.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	blue light	wild type
GSE7743GSM187241	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours BL:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-2	P-G7743-1	GSE7743GSM187241 sample	P-G7743-4	GSE7743GSM187241 extract	total_RNA	P-G7743-3	GSE7743GSM187241 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_BL_C	A-AFFY-2	P-AFFY-6	Col-O_BL_C	GSM187241.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	blue light	wild type
GSE7743GSM187240	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours BL:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-2	P-G7743-1	GSE7743GSM187240 sample	P-G7743-4	GSE7743GSM187240 extract	total_RNA	P-G7743-3	GSE7743GSM187240 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_BL_B	A-AFFY-2	P-AFFY-6	Col-O_BL_B	GSM187240.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	blue light	wild type
GSE7743GSM187245	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	  	P-G7743-1	GSE7743GSM187245 sample	P-G7743-4	GSE7743GSM187245 extract	total_RNA	P-G7743-3	GSE7743GSM187245 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_LL_A	A-AFFY-2	P-AFFY-6	Col-O_LL_A	GSM187245.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	wild type
GSE7743GSM187246	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	  	P-G7743-1	GSE7743GSM187246 sample	P-G7743-4	GSE7743GSM187246 extract	total_RNA	P-G7743-3	GSE7743GSM187246 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_LL_B	A-AFFY-2	P-AFFY-6	Col-O_LL_B	GSM187246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	wild type
GSE7743GSM187247	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, control:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	  	P-G7743-1	GSE7743GSM187247 sample	P-G7743-4	GSE7743GSM187247 extract	total_RNA	P-G7743-3	GSE7743GSM187247 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_LL_C	A-AFFY-2	P-AFFY-6	Col-O_LL_C	GSM187247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	control	wild type
GSE7743GSM187243	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-5	P-G7743-1	GSE7743GSM187243 sample	P-G7743-4	GSE7743GSM187243 extract	total_RNA	P-G7743-3	GSE7743GSM187243 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col_HL_B	A-AFFY-2	P-AFFY-6	Col_HL_B	GSM187243.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	wild type
GSE7743GSM187244	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-5	P-G7743-1	GSE7743GSM187244 sample	P-G7743-4	GSE7743GSM187244 extract	total_RNA	P-G7743-3	GSE7743GSM187244 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_HL_C	A-AFFY-2	P-AFFY-6	Col-O_HL_C	GSM187244.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	wild type
GSE7743GSM187242	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-O, 3 hours high light:  Part of an experiment investigating transcriptome changes in of wt, cry1 and hy5 after high light and in wt after blue light treatment.. Col-O, 7 d old seedlings"	Col-0	seedling	7	day	P-G7743-5	P-G7743-1	GSE7743GSM187242 sample	P-G7743-4	GSE7743GSM187242 extract	total_RNA	P-G7743-3	GSE7743GSM187242 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-O_HL_A	A-AFFY-2	P-AFFY-6	Col-O_HL_A	GSM187242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7743-processed-data-1630511097.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7743/E-GEOD-7743.processed.1.zip	high light	wild type
