Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Term Source REF	Characteristics [Organism]	Term Source REF	Protocol REF	Parameter Value [start time]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Factor Value [organism_part]	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana__S:BioSource:MEXP:175138	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175138leaf2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8014leaf2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11338EXTRACTleaf2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8143	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves_2_rptscan.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175138	29	days	mo	Lansberg-0wild_type	leaf	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7306	SAMPLE175138leaf2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8014leaf2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11338EXTRACTleaf2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8143	A-AFFY-2	ArrayExpress	P-AFFY-6	leaf	  	leaves_2_rptscan.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175139	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175139stem1c	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8015stem1c	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11339EXTRACTstem1c	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8144	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175139	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175139stem1c	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8015stem1c	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11339EXTRACTstem1c	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8144	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175140	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175140stem1d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8016stem1d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11340EXTRACTstem1d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8145	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175140	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175140stem1d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8016stem1d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11340EXTRACTstem1d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8145	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175141	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175141stem1e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8017stem1e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11341EXTRACTstem1e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8146	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175141	29	days	mo	Lansberg-0wild_type	stem base	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7307	SAMPLE175141stem1e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8017stem1e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11341EXTRACTstem1e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8146	A-AFFY-2	ArrayExpress	P-AFFY-6	stem base	  	stem1_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175142	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175142stem2a	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8018stem2a	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11342EXTRACTstem2a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8147	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175142	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175142stem2a	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8018stem2a	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11342EXTRACTstem2a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8147	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175143	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175143stem2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8019stem2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11343EXTRACTstem2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8148	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175143	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175143stem2d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8019stem2d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11343EXTRACTstem2d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8148	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175144	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175144stem2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8020stem2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11344EXTRACTstem2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8149	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175144	29	days	mo	Lansberg-0wild_type	stem lower middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7308	SAMPLE175144stem2e	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8020stem2e	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11344EXTRACTstem2e	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8149	A-AFFY-2	ArrayExpress	P-AFFY-6	stem lower middle	  	stem2_1_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175145	29	days	mo	Lansberg-0wild_type	stem upper middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7309	SAMPLE175145stem3a	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8021stem3a	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11345EXTRACTstem3a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8150	A-AFFY-2	ArrayExpress	P-AFFY-6	stem upper middle	  	stem3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175145	29	days	mo	Lansberg-0wild_type	stem upper middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7309	SAMPLE175145stem3a	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8021stem3a	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11345EXTRACTstem3a	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8150	A-AFFY-2	ArrayExpress	P-AFFY-6	stem upper middle	  	stem3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175146	29	days	mo	Lansberg-0wild_type	stem upper middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7309	SAMPLE175146stem3d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8022stem3d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11355EXTRACTstem3d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8151	A-AFFY-2	ArrayExpress	P-AFFY-6	stem upper middle	  	stem3_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342540302.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:175146	29	days	mo	Lansberg-0wild_type	stem upper middle	  	frozen_sample	mo	Arabidopsis thaliana	ncbitax	P-MEXP-7314	29	P-MEXP-7309	SAMPLE175146stem3d	P-MEXP-7311	P-MEXP-7312	total RNA	none	EXTRACT8022stem3d	total_RNA	P-MEXP-6065	none	biotin	15	LABEL11355EXTRACTstem3d	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:8151	A-AFFY-2	ArrayExpress	P-AFFY-6	stem upper middle	  	stem3_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.raw.1.zip	P-MEXP-2796	E-MEXP-265-processed-data-1342536967.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-265/E-MEXP-265.processed.1.zip
