Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5730GSM133774	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	meristem tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, meristem tissue	GSE5730GSM133774 sample	GSE5730GSM133774 extract	total_RNA	GSE5730GSM133774 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-26_torpedo-meristem_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-26_torpedo-meristem_Rep2_ATH1	GSM133774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	meristem tissue
GSE5730GSM133769	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, basal tissue	GSE5730GSM133769 sample	GSE5730GSM133769 extract	total_RNA	GSE5730GSM133769 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-21_torpedo-basal_Rep6_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-21_torpedo-basal_Rep6_ATH1	GSM133769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	basal tissue
GSE5730GSM133761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	cotyledon	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo cotyledon	GSE5730GSM133761 sample	GSE5730GSM133761 extract	total_RNA	GSE5730GSM133761 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-13_torpedo-cotyledon_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-13_torpedo-cotyledon_Rep1_ATH1	GSM133761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	cotyledon
GSE5730GSM133764	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	cotyledon	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo cotyledon	GSE5730GSM133764 sample	GSE5730GSM133764 extract	total_RNA	GSE5730GSM133764 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-16_torpedo-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-16_torpedo-root_Rep2_ATH1	GSM133764.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	cotyledon
GSE5730GSM133762	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo root	GSE5730GSM133762 sample	GSE5730GSM133762 extract	total_RNA	GSE5730GSM133762 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-14_torpedo-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-14_torpedo-root_Rep1_ATH1	GSM133762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	root
GSE5730GSM133755	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	heart stage embryo	cotyledon pole	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: heart stage embryo, cotyledon pole	GSE5730GSM133755 sample	GSE5730GSM133755 extract	total_RNA	GSE5730GSM133755 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-7_heart-stage-cotyledon_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-7_heart-stage-cotyledon_Rep1_ATH1	GSM133755.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	heart stage embryo	cotyledon pole
GSE5730GSM133780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: globular embryo, apical tissue	GSE5730GSM133780 sample	GSE5730GSM133780 extract	total_RNA	GSE5730GSM133780 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-3_globular-apical_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-3_globular-apical_Rep3_ATH1	GSM133780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	apical tissue
GSE5730GSM133775	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	meristem tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, meristem tissue	GSE5730GSM133775 sample	GSE5730GSM133775 extract	total_RNA	GSE5730GSM133775 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-27_torpedo-meristem_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-27_torpedo-meristem_Rep3_ATH1	GSM133775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	meristem tissue
GSE5730GSM133770	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, apical tissue	GSE5730GSM133770 sample	GSE5730GSM133770 extract	total_RNA	GSE5730GSM133770 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-22_torpedo-apical_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-22_torpedo-apical_Rep4_ATH1	GSM133770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	apical tissue
GSE5730GSM133771	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	apical tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, apical tissue	GSE5730GSM133771 sample	GSE5730GSM133771 extract	total_RNA	GSE5730GSM133771 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-23_torpedo-apical_Rep5_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-23_torpedo-apical_Rep5_ATH1	GSM133771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	apical tissue
GSE5730GSM133773	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	meristem tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, meristem tissue	GSE5730GSM133773 sample	GSE5730GSM133773 extract	total_RNA	GSE5730GSM133773 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-25_torpedo-meristem_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-25_torpedo-meristem_Rep1_ATH1	GSM133773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	meristem tissue
GSE5730GSM133777	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	globular embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: globular embryo, basal tissue	GSE5730GSM133777 sample	GSE5730GSM133777 extract	total_RNA	GSE5730GSM133777 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-4_globular-basal_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-4_globular-basal_Rep1_ATH1	GSM133777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	globular embryo	basal tissue
GSE5730GSM133760	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	heart stage embryo	root pole	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: heart stage embryo, root pole	GSE5730GSM133760 sample	GSE5730GSM133760 extract	total_RNA	GSE5730GSM133760 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-12_heart-stage-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-12_heart-stage-root_Rep3_ATH1	GSM133760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	heart stage embryo	root pole
GSE5730GSM133765	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	cotyledon	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo cotyledon	GSE5730GSM133765 sample	GSE5730GSM133765 extract	total_RNA	GSE5730GSM133765 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-17_torpedo-cotyledon_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-17_torpedo-cotyledon_Rep3_ATH1	GSM133765.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	cotyledon
GSE5730GSM133768	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	torpedo embryo	basal tissue	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: torpedo embryo, basal tissue	GSE5730GSM133768 sample	GSE5730GSM133768 extract	total_RNA	GSE5730GSM133768 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-20_torpedo-basal_Rep5_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-20_torpedo-basal_Rep5_ATH1	GSM133768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	torpedo embryo	basal tissue
GSE5730GSM133763	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	embryo	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: ca. 30% Lighting: 16 hour day Nutrients: Compost Water: watering every other day. Stock Code: N1092; Tissue: embryo root	GSE5730GSM133763 sample	GSE5730GSM133763 extract	total_RNA	GSE5730GSM133763 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Lindsey_1-15_torpedo-cotyledon_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Lindsey_1-15_torpedo-cotyledon_Rep2_ATH1	GSM133763.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.raw.1.zip	E-GEOD-5730-processed-data-1628583532.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5730/E-GEOD-5730.processed.1.zip	embryo	root
