Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	Unit [time unit]	FactorValue [genotype]	FactorValue [ecotype]
GSM1511301 1	Biological replicate 1 of 3. lec2-8-1.CEL	lec2-1_8 DAF Seed	lec2-1  8 DAF Seed 1	8	day	lec2-1 mutant	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511301 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511301 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511301	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511301_lec2-8-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511301_sample_table.txt norm	GSM1511301_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	lec2-1 mutant	Ws
GSM1511300 1	Biological replicate 3 of 3. lec1-8-3.CEL	lec1-1_8 DAF Seed	lec1-1  8 DAF Seed 3	8	day	lec1-1 mutant	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511300 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511300 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511300	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511300_lec1-8-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511300_sample_table.txt norm	GSM1511300_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	lec1-1 mutant	Ws
GSM1511299 1	Biological replicate 2 of 3. lec1-8-2.CEL	lec1-1_8 DAF Seed	lec1-1  8 DAF Seed 2	8	day	lec1-1 mutant	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511299 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511299 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511299	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511299_lec1-8-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511299_sample_table.txt norm	GSM1511299_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	lec1-1 mutant	Ws
GSM1511298 1	Biological replicate 1 of 3. lec1-8-1.CEL	lec1-1_8 DAF Seed	lec1-1  8 DAF Seed 1	8	day	lec1-1 mutant	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511298 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511298 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511298	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511298_lec1-8-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511298_sample_table.txt norm	GSM1511298_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	lec1-1 mutant	Ws
GSM1511297 1	Biological replicate 3 of 3. Controls for lec1-1 and lec2-1 examination. WS8-3.CEL	wild-type (WS)_8 DAF Seed	wild-type (WS) 8 DAF Seed 3	8	day	wild type	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511297 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511297 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511297	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511297_WS8-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511297_sample_table.txt norm	GSM1511297_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	wild type	Ws
GSM1511296 1	Biological replicate 2 of 3. Controls for lec1-1 and lec2-1 examination. WS8-2.CEL	wild-type (WS)_8 DAF Seed	wild-type (WS) 8 DAF Seed 2	8	day	wild type	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511296 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511296 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511296	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511296_WS8-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511296_sample_table.txt norm	GSM1511296_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	wild type	Ws
GSM1511295 1	Biological replicate 1 of 3. Controls for lec1-1 and lec2-1 examination. WS8-1.CEL	wild-type (WS)_8 DAF Seed	wild-type (WS) 8 DAF Seed 1	8	day	wild type	Ws	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511295 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511295 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511295	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511295_WS8-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511295_sample_table.txt norm	GSM1511295_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	wild type	Ws
GSM1511294 1	Biological replicate 3 of 3. fus12-3.CEL	fus3-3_12 DAF Seed	fus3-3  12 DAF Seed 3	12	day	fus3-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511294 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511294 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511294	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511294_fus12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511294_sample_table.txt norm	GSM1511294_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	fus3-3 mutant	Col-0
GSM1511293 1	Biological replicate 2 of 3. fus12-2.CEL	fus3-3_12 DAF Seed	fus3-3  12 DAF Seed 2	12	day	fus3-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511293 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511293 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511293	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511293_fus12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511293_sample_table.txt norm	GSM1511293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	fus3-3 mutant	Col-0
GSM1511292 1	Biological replicate 1 of 3. fus12-1.CEL	fus3-3_12 DAF Seed	fus3-3  12 DAF Seed 1	12	day	fus3-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511292 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511292 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511292	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511292_fus12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511292_sample_table.txt norm	GSM1511292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	fus3-3 mutant	Col-0
GSM1511291 1	Biological replicate 3 of 3. Controls for fus3-3 examination. Col12-3.CEL	wild-type (Col-0)_12 DAF Seed	wild-type (Col-0) 12 DAF Seed 1-3	12	day	wild type	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511291 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511291 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511291	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511291_Col12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511291_sample_table.txt norm	GSM1511291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	wild type	Col-0
GSM1511290 1	Biological replicate 2 of 3. Controls for fus3-3 examination. Col12-2.CEL	wild-type (Col-0)_12 DAF Seed	wild-type (Col-0) 12 DAF Seed 1-2	12	day	wild type	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511290 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511290 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511290	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511290_Col12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511290_sample_table.txt norm	GSM1511290_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	wild type	Col-0
GSM1511289 1	Biological replicate 1 of 3. Controls for fus3-3 examination. Col12-1.CEL	wild-type (Col-0)_12 DAF Seed	wild-type (Col-0) 12 DAF Seed 1-1	12	day	wild type	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511289 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511289 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511289	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511289_Col12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511289_sample_table.txt norm	GSM1511289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	12	day	wild type	Col-0
GSM1511288 1	Biological replicate 3 of 3. fus8-3.CEL	fus3-3_8 DAF Seed	fus3-3  8 DAF Seed 3	8	day	fus3-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61684-2	ArrayExpress	P-GSE61684-3	ArrayExpress	P-GSE61684-4	ArrayExpress	GSM1511288 extract 1	total RNA	P-GSE61684-5	ArrayExpress	GSM1511288 LE 1	biotin	P-GSE61684-6	ArrayExpress	GSM1511288	A-AFFY-2	ArrayExpress	array assay	P-GSE61684-7	ArrayExpress	GSM1511288_fus8-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.raw.1.zip	P-GSE61684-1	ArrayExpress	GSM1511288_sample_table.txt norm	GSM1511288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61684/E-GEOD-61684.processed.1.zip	8	day	fus3-3 mutant	Col-0
