Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell type]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time]	Unit [time unit]
GSM1887757 1	Progression of tracheary element secondary cell wall deposition at 84h	Differentiating Arabidopsis cell culture time-point at 84h - biological rep B	Cell culture time-point at 84h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887757 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887757 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887757	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887757_B7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887757_sample_table.txt norm	GSM1887757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	84	hour
GSM1887756 1	Progression of tracheary element secondary cell wall deposition at 72h	Differentiating Arabidopsis cell culture time-point at 72h - biological rep B	Cell culture time-point at 72h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887756 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887756 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887756	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887756_B6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887756_sample_table.txt norm	GSM1887756_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	72	hour
GSM1887755 1	Initiation of tracheary element secondary cell wall deposition at 60h	Differentiating Arabidopsis cell culture time-point at 60h - biological rep B	Cell culture time-point at 60h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887755 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887755 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887755	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887755_B5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887755_sample_table.txt norm	GSM1887755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	60	hour
GSM1887754 1	Progression of tracheary element differentiation prior to secondary cell wall deposition at 48h	Differentiating Arabidopsis cell culture time-point at 48h - biological rep B	Cell culture time-point at 48h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887754 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887754 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887754	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887754_B4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887754_sample_table.txt norm	GSM1887754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	48	hour
GSM1887753 1	Initial step of tracheary element differentiation at 36h	Differentiating Arabidopsis cell culture time-point at 36h - biological rep B	Cell culture time-point at 36h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887753 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887753 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887753	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887753_B3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887753_sample_table.txt norm	GSM1887753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	36	hour
GSM1887752 1	Loss of cell division, initiation of cell expansion and tracheary element differentiation at 24h	Differentiating Arabidopsis cell culture time-point at 24h - biological rep B	Cell culture time-point at 24h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887752 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887752 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887752	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887752_B2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887752_sample_table.txt norm	GSM1887752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	24	hour
GSM1887751 1	Loss of cell division, initiation of cell expansion at 12h	Differentiating Arabidopsis cell culture time-point at 12h - biological rep B	Cell culture time-point at 12h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887751 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887751 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887751	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887751_B1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887751_sample_table.txt norm	GSM1887751_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	12	hour
GSM1887750 1	Undifferentiated actively dividing pluripotent cells at 0h	Differentiating Arabidopsis cell culture time-point at 0h - biological rep B	Cell culture time-point at 0h - biological rep B	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887750 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887750 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887750	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887750_B0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887750_sample_table.txt norm	GSM1887750_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	0	hour
GSM1887749 1	Completion of tracheary element secondary cell wall deposition and preparation of programmed cell death and post-mortem lignification at 96h	Differentiating Arabidopsis cell culture time-point at 96h - biological rep A	Cell culture time-point at 96h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887749 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887749 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887749	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887749_A8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887749_sample_table.txt norm	GSM1887749_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	96	hour
GSM1887748 1	Progression of tracheary element secondary cell wall deposition at 84h	Differentiating Arabidopsis cell culture time-point at 84h - biological rep A	Cell culture time-point at 84h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887748 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887748 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887748	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887748_A7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887748_sample_table.txt norm	GSM1887748_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	84	hour
GSM1887747 1	Progression of tracheary element secondary cell wall deposition at 72h	Differentiating Arabidopsis cell culture time-point at 72h - biological rep A	Cell culture time-point at 72h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887747 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887747 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887747	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887747_A6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887747_sample_table.txt norm	GSM1887747_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	72	hour
GSM1887746 1	Initiation of tracheary element secondary cell wall deposition at 60h	Differentiating Arabidopsis cell culture time-point at 60h - biological rep A	Cell culture time-point at 60h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887746 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887746 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887746	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887746_A5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887746_sample_table.txt norm	GSM1887746_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	60	hour
GSM1887745 1	Progression of tracheary element differentiation prior to secondary cell wall deposition at 48h	Differentiating Arabidopsis cell culture time-point at 48h - biological rep A	Cell culture time-point at 48h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887745 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887745 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887745	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887745_A4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887745_sample_table.txt norm	GSM1887745_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	48	hour
GSM1887744 1	Initial step of tracheary element differentiation at 36h	Differentiating Arabidopsis cell culture time-point at 36h - biological rep A	Cell culture time-point at 36h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887744 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887744 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887744	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887744_A3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887744_sample_table.txt norm	GSM1887744_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	36	hour
GSM1887743 1	Loss of cell division, initiation of cell expansion and tracheary element differentiation at 24h	Differentiating Arabidopsis cell culture time-point at 24h - biological rep A	Cell culture time-point at 24h - biological rep A	inducible pluripotent cell	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE73146-2	ArrayExpress	P-GSE73146-3	ArrayExpress	P-GSE73146-4	ArrayExpress	GSM1887743 extract 1	total RNA	P-GSE73146-5	ArrayExpress	GSM1887743 LE 1	biotin	P-GSE73146-6	ArrayExpress	GSM1887743	A-AFFY-2	ArrayExpress	array assay	P-GSE73146-7	ArrayExpress	GSM1887743_A2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.raw.1.zip	P-GSE73146-1	ArrayExpress	GSM1887743_sample_table.txt norm	GSM1887743_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-73146/E-GEOD-73146.processed.1.zip	24	hour
