Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[tissue]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [AGENT]	FactorValue [TIME]
GSM865975 1	Seedlings_untreated_12h_B	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 12h	seedling at T12, untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865975 extract 1	total RNA	P-GSE35325-5	  	GSM865975 LE 1	biotin	P-GSE35325-6	  	GSM865975	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865975_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865975_sample_table.txt norm	GSM865975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	12 hrs
GSM865974 1	Seedlings_untreated_12h_A	Gene expression data from 4 days old seedlings, 12 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 12h	seedling at T12, untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865974 extract 1	total RNA	P-GSE35325-5	  	GSM865974 LE 1	biotin	P-GSE35325-6	  	GSM865974	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865974_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865974_sample_table.txt norm	GSM865974_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	12 hrs
GSM865973 1	Seedlings_R3089_6h_B	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 6h	seedling at T6, exp. to volatiles Sm. R3089, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865973 extract 1	total RNA	P-GSE35325-5	  	GSM865973 LE 1	biotin	P-GSE35325-6	  	GSM865973	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865973_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865973_sample_table.txt norm	GSM865973_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Stenotrophomonas maltophilia R3089	6 hrs
GSM865972 1	Seedlings_R3089_6h_A	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; volatile-treated from Stenotrophomonas maltophilia R3089	Arabidopsis seedlings exp. To volatiles R3089 6h	seedling at T6, exp. to volatiles Sm. R3089, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865972 extract 1	total RNA	P-GSE35325-5	  	GSM865972 LE 1	biotin	P-GSE35325-6	  	GSM865972	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865972_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865972_sample_table.txt norm	GSM865972_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Stenotrophomonas maltophilia R3089	6 hrs
GSM865971 1	Seedlings_HRO-C48_6h_B	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 6h	seedling at T6, exp. to volatiles Sp. HRO-C48, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865971 extract 1	total RNA	P-GSE35325-5	  	GSM865971 LE 1	biotin	P-GSE35325-6	  	GSM865971	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865971_6-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865971_sample_table.txt norm	GSM865971_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Serratia plymuthica HRO-C48	6 hrs
GSM865970 1	Seedlings_HRO-C48_6h_A	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; volatile-treated from Serratia plymuthica HRO-C48	Arabidopsis seedlings exp. To volatiles 4Rx13 6h	seedling at T6, exp. to volatiles Sp. HRO-C48, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865970 extract 1	total RNA	P-GSE35325-5	  	GSM865970 LE 1	biotin	P-GSE35325-6	  	GSM865970	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865970_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865970_sample_table.txt norm	GSM865970_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	volatiles from Serratia plymuthica HRO-C48	6 hrs
GSM865969 1	Seedlings_untreated_6h_B	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 6h	seedling at T6, untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865969 extract 1	total RNA	P-GSE35325-5	  	GSM865969 LE 1	biotin	P-GSE35325-6	  	GSM865969	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865969_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865969_sample_table.txt norm	GSM865969_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	6 hrs
GSM865968 1	Seedlings_untreated_6h_A	Gene expression data from 4 days old seedlings, 6 hours after start of the experiment; mock treated	Arabidopsis seedlings untreated after 6h	seedling at T6, untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865968 extract 1	total RNA	P-GSE35325-5	  	GSM865968 LE 1	biotin	P-GSE35325-6	  	GSM865968	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865968_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865968_sample_table.txt norm	GSM865968_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	6 hrs
GSM865967 1	Seedlings_untreated_0h_B	Gene expression data from 4 days old seedlings, at start of the experiment; mock treated	Arabidopsis seedlings untreated	seedling at T0, untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865967 extract 1	total RNA	P-GSE35325-5	  	GSM865967 LE 1	biotin	P-GSE35325-6	  	GSM865967	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865967_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865967_sample_table.txt norm	GSM865967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	0 hrs
GSM865966 1	Seedlings_untreated_0h_A	Gene expression data from 4 days old seedlings, at start of the experiment; mock treated	Arabidopsis seedlings untreated	seedling at T0, untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days	Col-0	whole seedling	P-GSE35325-2	  	P-GSE35325-3	  	P-GSE35325-4	  	GSM865966 extract 1	total RNA	P-GSE35325-5	  	GSM865966 LE 1	biotin	P-GSE35325-6	  	GSM865966	A-AFFY-2	  	P-GSE35325-7	  	P-GSE35325-8	  	GSM865966_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.raw.1.zip	P-GSE35325-1	  	GSM865966_sample_table.txt norm	GSM865966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35325/E-GEOD-35325.processed.1.zip	4 days	untreated	0 hrs
