Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [molecule subtype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]	FactorValue [molecule subtype]
GSM1516707 1	6am_S_3	wild type_6am_small polysomal	wild type, 6am, small polysomal, replicate 3	10 days	Columbia	wild type	6am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516707 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516707 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516707	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516707_26_6AM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516707_sample_table.txt norm	GSM1516707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Small polysomal RNA
GSM1516706 1	6am_N_3	wild type_6am_non-polysomal	wild type, 6am, non-polysomal, replicate 3	10 days	Columbia	wild type	6am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516706 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516706 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516706	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516706_25_6AM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516706_sample_table.txt norm	GSM1516706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Non-polysomal RNA
GSM1516705 1	12am_L_2	wild type_12am_large polysomal	wild type, 12am, large polysomal, replicate 2	10 days	Columbia	wild type	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516705 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516705 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516705	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516705_24_12AM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516705_sample_table.txt norm	GSM1516705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Large polysomal RNA
GSM1516704 1	12am_S_2	wild type_12am_small polysomal	wild type, 12am, small polysomal, replicate 2	10 days	Columbia	wild type	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516704 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516704 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516704	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516704_23_12AM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516704_sample_table.txt norm	GSM1516704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Small polysomal RNA
GSM1516703 1	12am_N_2	wild type_12am_non-polysomal	wild type, 12am, non-polysomal, replicate 2	10 days	Columbia	wild type	12am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516703 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516703 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516703	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516703_22_12AM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516703_sample_table.txt norm	GSM1516703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Non-polysomal RNA
GSM1516702 1	6pm_L_2	wild type_6pm_large polysomal	wild type, 6pm, large polysomal, replicate 2	10 days	Columbia	wild type	6pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516702 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516702 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516702	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516702_21_6PM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516702_sample_table.txt norm	GSM1516702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Large polysomal RNA
GSM1516701 1	6pm_S_2	wild type_6pm_small polysomal	wild type, 6pm, small polysomal, replicate 2	10 days	Columbia	wild type	6pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516701 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516701 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516701	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516701_20_6PM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516701_sample_table.txt norm	GSM1516701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Small polysomal RNA
GSM1516700 1	6pm_N_2	wild type_6pm_non-polysomal	wild type, 6pm, non-polysomal, replicate 2	10 days	Columbia	wild type	6pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516700 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516700 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516700	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516700_19_6PM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516700_sample_table.txt norm	GSM1516700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Non-polysomal RNA
GSM1516699 1	12pm_L_2	wild type_12pm_large polysomal	wild type, 12pm, large polysomal, replicate 2	10 days	Columbia	wild type	12pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516699 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516699 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516699	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516699_18_12PM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516699_sample_table.txt norm	GSM1516699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Large polysomal RNA
GSM1516698 1	12pm_S_2	wild type_12pm_small polysomal	wild type, 12pm, small polysomal, replicate 2	10 days	Columbia	wild type	12pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516698 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516698 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516698	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516698_17_12PM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516698_sample_table.txt norm	GSM1516698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Small polysomal RNA
GSM1516697 1	12pm_N_2	wild type_12pm_non-polysomal	wild type, 12pm, non-polysomal, replicate 2	10 days	Columbia	wild type	12pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516697 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516697 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516697	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516697_16_12PM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516697_sample_table.txt norm	GSM1516697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Non-polysomal RNA
GSM1516696 1	6am_L_2	wild type_6am_large polysomal	wild type, 6am, large polysomal, replicate 2	10 days	Columbia	wild type	6am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516696 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516696 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516696	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516696_15_6AM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516696_sample_table.txt norm	GSM1516696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Large polysomal RNA
GSM1516695 1	6am_S_2	wild type_6am_small polysomal	wild type, 6am, small polysomal, replicate 2	10 days	Columbia	wild type	6am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516695 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516695 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516695	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516695_14_6AM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516695_sample_table.txt norm	GSM1516695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Small polysomal RNA
GSM1516694 1	6am_N_2	wild type_6am_non-polysomal	wild type, 6am, non-polysomal, replicate 2	10 days	Columbia	wild type	6am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516694 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516694 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516694	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516694_13_6AM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516694_sample_table.txt norm	GSM1516694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Non-polysomal RNA
GSM1516693 1	12am_L_1	wild type_12am_large polysomal	wild type, 12am, large polysomal, replicate 1	10 days	Columbia	wild type	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516693 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516693 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516693	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516693_12_12AM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516693_sample_table.txt norm	GSM1516693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Large polysomal RNA
GSM1516692 1	12am_S_1	wild type_12am_small polysomal	wild type, 12am, small polysomal, replicate 1	10 days	Columbia	wild type	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516692 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516692 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516692	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516692_11_12AM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516692_sample_table.txt norm	GSM1516692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Small polysomal RNA
