Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1362216 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Elevated CO2 leaf primordia replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362216 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362216 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362216	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362216_5115_E_E11_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362216_sample_table.txt norm	GSM1362216_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362215 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Ambient CO2 leaf primordia replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362215 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362215 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362215	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362215_5114_E_A11_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362215_sample_table.txt norm	GSM1362215_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362214 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Ambient CO2 leaf primordia replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362214 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362214 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362214	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362214_5113_E_A22_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362214_sample_table.txt norm	GSM1362214_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362213 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Elevated CO2 leaf primordia replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362213 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362213 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362213	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362213_5112_E_E22_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362213_sample_table.txt norm	GSM1362213_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362212 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Ambient CO2 leaf primordia replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362212 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362212 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362212	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362212_5111_E_A12_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362212_sample_table.txt norm	GSM1362212_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362211 1	gene expression data from  leaf 10 primordia	Leaf 10 Primordia	Elevated CO2 leaf primordia replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362211 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362211 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362211	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362211_5110_E_E12_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362211_sample_table.txt norm	GSM1362211_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362210 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Ambient CO2 expanding leaf replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362210 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362210 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362210	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362210_5097_E_Ax3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362210_sample_table.txt norm	GSM1362210_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362209 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Elevated CO2 expanding leaf replicate 3	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362209 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362209 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362209	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362209_5096_E_Ex3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362209_sample_table.txt norm	GSM1362209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362208 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Ambient CO2 expanding leaf replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362208 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362208 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362208	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362208_5095_E_Ax2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362208_sample_table.txt norm	GSM1362208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362207 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Elevated CO2 expanding leaf replicate 2	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362207 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362207 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362207	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362207_5093_E_Ex5_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362207_sample_table.txt norm	GSM1362207_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362206 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Ambient CO2 expanding leaf replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362206 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362206 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362206	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362206_5092_E_Ax4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362206_sample_table.txt norm	GSM1362206_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
GSM1362205 1	gene expression data from expanding leaf 10	Leaf 10 during rapid expansion	Elevated CO2 expanding leaf replicate 1	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE56480-2	ArrayExpress	P-GSE56480-3	ArrayExpress	P-GSE56480-4	ArrayExpress	GSM1362205 extract 1	total RNA	P-GSE56480-5	ArrayExpress	GSM1362205 LE 1	biotin	P-GSE56480-6	ArrayExpress	GSM1362205	A-AFFY-2	ArrayExpress	array assay	P-GSE56480-7	ArrayExpress	GSM1362205_5091_E_Ex1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.raw.1.zip	P-GSE56480-1	ArrayExpress	GSM1362205_sample_table.txt norm	GSM1362205_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-56480/E-GEOD-56480.processed.1.zip
