Source Name	Material Type	Characteristics[Organism]	Characteristics[material supplier]	Characteristics[specimen with known storage state]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[strain or line]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[environmental stress]
15min HL control 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min HL control 2	total RNA	P-AFFY-2	L_15min HL control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min HL control 2	A-AFFY-2	P-AFFY-6	HL15_Control_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL15_Control_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
15min HL control 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min HL control 3	total RNA	P-AFFY-2	L_15min HL control 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min HL control 3	A-AFFY-2	P-AFFY-6	HL15_Control_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL15_Control_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
15min W 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W 1	total RNA	P-AFFY-2	L_15min W 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W 1	A-AFFY-2	P-AFFY-6	W15_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	15min wounding
15min W 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W 2	total RNA	P-AFFY-2	L_15min W 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W 2	A-AFFY-2	P-AFFY-6	W15_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	15min wounding
15min W 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W 3	total RNA	P-AFFY-2	L_15min W 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W 3	A-AFFY-2	P-AFFY-6	W15_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	15min wounding
15min W control 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W control 1	total RNA	P-AFFY-2	L_15min W control 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W control 1	A-AFFY-2	P-AFFY-6	W15_Control_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_Control_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
15min W control 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W control 2	total RNA	P-AFFY-2	L_15min W control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W control 2	A-AFFY-2	P-AFFY-6	W15_Control_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_Control_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
15min W control 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_15min W control 3	total RNA	P-AFFY-2	L_15min W control 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_15min W control 3	A-AFFY-2	P-AFFY-6	W15_Control_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W15_Control_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min H 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H 1	total RNA	P-AFFY-2	L_45min H 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H 1	A-AFFY-2	P-AFFY-6	H45_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min heat stress
45min H 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H 2	total RNA	P-AFFY-2	L_45min H 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H 2	A-AFFY-2	P-AFFY-6	H45_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min heat stress
45min H 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H 3	total RNA	P-AFFY-2	L_45min H 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H 3	A-AFFY-2	P-AFFY-6	H45_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min heat stress
45min H control 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H control 1	total RNA	P-AFFY-2	L_45min H control 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H control 1	A-AFFY-2	P-AFFY-6	H45_Control_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_Control_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min H control 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H control 2	total RNA	P-AFFY-2	L_45min H control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H control 2	A-AFFY-2	P-AFFY-6	H45_Control_M_2B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_Control_M_2B.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min H control 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min H control 3	total RNA	P-AFFY-2	L_45min H control 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min H control 3	A-AFFY-2	P-AFFY-6	H45_Control_M_3B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	H45_Control_M_3B.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min HL 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL 1	total RNA	P-AFFY-2	L_45min HL 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL 1	A-AFFY-2	P-AFFY-6	HL45_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min high light
45min HL 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL 2	total RNA	P-AFFY-2	L_45min HL 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL 2	A-AFFY-2	P-AFFY-6	HL45_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min high light
45min HL 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL 3	total RNA	P-AFFY-2	L_45min HL 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL 3	A-AFFY-2	P-AFFY-6	HL45_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min high light
45min HL control 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL control 1	total RNA	P-AFFY-2	L_45min HL control 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL control 1	A-AFFY-2	P-AFFY-6	HL45_Control_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_Control_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min HL control 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL control 2	total RNA	P-AFFY-2	L_45min HL control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL control 2	A-AFFY-2	P-AFFY-6	HL45_Control_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_Control_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min HL control 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min HL control 3	total RNA	P-AFFY-2	L_45min HL control 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min HL control 3	A-AFFY-2	P-AFFY-6	HL45_Control_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	HL45_Control_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min W 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min W 1	total RNA	P-AFFY-2	L_45min W 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min W 1	A-AFFY-2	P-AFFY-6	W45_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W45_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min wounding
45min W 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min W 2	total RNA	P-AFFY-2	L_45min W 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min W 2	A-AFFY-2	P-AFFY-6	W45_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W45_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min wounding
45min W 3	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min W 3	total RNA	P-AFFY-2	L_45min W 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min W 3	A-AFFY-2	P-AFFY-6	W45_M_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W45_M_3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	45min wounding
45min W control 1	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min W control 1	total RNA	P-AFFY-2	L_45min W control 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min W control 1	A-AFFY-2	P-AFFY-6	W45_Control_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W45_Control_M_1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
45min W control 2	organism part	Arabidopsis thaliana	University of North Texas	frozen sample	21 to 24	day	meristem	wild type	Columbia-0	P-MTAB-28780	P-MTAB-28782	P-MTAB-28781	P-MTAB-28780	E_45min W control 2	total RNA	P-AFFY-2	L_45min W control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	H_45min W control 2	A-AFFY-2	P-AFFY-6	W45_Control_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	W45_Control_M_2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3754/E-MEXP-3754.processed.1.zip	control
