Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM594710 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs was isolated to use control. Replicate 5 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with CHX, rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594710 extract 1	total RNA	P-GSE24169-5	GSM594710 LE 1	Biotin	P-GSE24169-6	GSM594710	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594710.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594710_sample_table.txt norm	GSM594710_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 6hrs
GSM594709 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs was isolated to use control. Replicate 4 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with CHX, rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594709 extract 1	total RNA	P-GSE24169-5	GSM594709 LE 1	Biotin	P-GSE24169-6	GSM594709	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594709.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594709_sample_table.txt norm	GSM594709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 6hrs
GSM594708 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs was isolated to use control. Replicate 3 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594708 extract 1	total RNA	P-GSE24169-5	GSM594708 LE 1	Biotin	P-GSE24169-6	GSM594708	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594708_sample_table.txt norm	GSM594708_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 6hrs
GSM594707 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs was isolated to use control. Replicate 2 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594707 extract 1	total RNA	P-GSE24169-5	GSM594707 LE 1	Biotin	P-GSE24169-6	GSM594707	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594707_sample_table.txt norm	GSM594707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 6hrs
GSM594706 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs was isolated to use control. Replicate 1 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 6hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594706 extract 1	total RNA	P-GSE24169-5	GSM594706 LE 1	Biotin	P-GSE24169-6	GSM594706	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594706_sample_table.txt norm	GSM594706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 6hrs
GSM594705 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by VND7 without new protein synthesis. Replicate 5 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with DEX plus CHX, rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594705 extract 1	total RNA	P-GSE24169-5	GSM594705 LE 1	Biotin	P-GSE24169-6	GSM594705	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594705_sample_table.txt norm	GSM594705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594704 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by VND7 without new protein synthesis. Replicate 4 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with DEX plus CHX, rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594704 extract 1	total RNA	P-GSE24169-5	GSM594704 LE 1	Biotin	P-GSE24169-6	GSM594704	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594704_sample_table.txt norm	GSM594704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594703 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by VND7 without new protein synthesis. Replicate 3 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with DEX plus CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594703 extract 1	total RNA	P-GSE24169-5	GSM594703 LE 1	Biotin	P-GSE24169-6	GSM594703	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594703_sample_table.txt norm	GSM594703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594702 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by VND7 without new protein synthesis. Replicate 2 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with DEX plus CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594702 extract 1	total RNA	P-GSE24169-5	GSM594702 LE 1	Biotin	P-GSE24169-6	GSM594702	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594702_sample_table.txt norm	GSM594702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
GSM594701 1	Total RNA from 10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs was isolated to identify induced genes by VND7 without new protein synthesis. Replicate 1 of 5.	10d whole seedlings expressing 35S:VND7-VP16-GR treated with 10mM CHX for 2hrs followed by 10mM DEX for 4hrs	10d seedlings expressing 35S:VND7-VP16-GR treated with DEX plus CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	transgenic 35S:VND-VP16-GR	Col-0	seedling	P-GSE24169-2	P-GSE24169-3	P-GSE24169-4	GSM594701 extract 1	total RNA	P-GSE24169-5	GSM594701 LE 1	Biotin	P-GSE24169-6	GSM594701	A-AFFY-2	  	P-GSE24169-7	P-GSE24169-8	GSM594701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.raw.1.zip	P-GSE24169-1	GSM594701_sample_table.txt norm	GSM594701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24169/E-GEOD-24169.processed.1.zip	transgenic 35S:VND-VP16-GR	10mM cycloheximide (CHX) 2hrs and 10mM dexamethazone (DEX) 4hrs
