Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[developmental stage]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]
GSE5617GSM131170	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous far-red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-2	GSE5617GSM131170 sample	GSE5617GSM131170 extract	total_RNA	GSE5617GSM131170 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-2_1-FL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-2_1-FL_REP1_ATH1	GSM131170.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous far-red light
GSE5617GSM131185	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous far-red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-2	GSE5617GSM131185 sample	GSE5617GSM131185 extract	total_RNA	GSE5617GSM131185 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-18_2-FL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-18_2-FL_REP2_ATH1	GSM131185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous far-red light
GSE5617GSM131200	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous far-red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-2	GSE5617GSM131200 sample	GSE5617GSM131200 extract	total_RNA	GSE5617GSM131200 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-34_3-FL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-34_3-FL_REP3_ATH1	GSM131200.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous far-red light
GSE5617GSM131172	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-4	GSE5617GSM131172 sample	GSE5617GSM131172 extract	total_RNA	GSE5617GSM131172 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-4_1-RL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-4_1-RL_REP1_ATH1	GSM131172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous red light
GSE5617GSM131187	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-4	GSE5617GSM131187 sample	GSE5617GSM131187 extract	total_RNA	GSE5617GSM131187 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-20_2-RL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-20_2-RL_REP2_ATH1	GSM131187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous red light
GSE5617GSM131202	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous red light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-4	GSE5617GSM131202 sample	GSE5617GSM131202 extract	total_RNA	GSE5617GSM131202 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-36_3-RL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-36_3-RL_REP3_ATH1	GSM131202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous red light
GSE5617GSM131176	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous white light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-8	GSE5617GSM131176 sample	GSE5617GSM131176 extract	total_RNA	GSE5617GSM131176 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-8_1-WL_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-8_1-WL_REP1_ATH1	GSM131176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous white light
GSE5617GSM131191	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous white light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-16	GSE5617GSM131191 sample	GSE5617GSM131191 extract	total_RNA	GSE5617GSM131191 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-24_2-WL_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-24_2-WL_REP2_ATH1	GSM131191.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous white light
GSE5617GSM131206	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: 4 d darkness --> 4 h continuous white light Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-16	GSE5617GSM131206 sample	GSE5617GSM131206 extract	total_RNA	GSE5617GSM131206 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-40_3-WL_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-40_3-WL_REP3_ATH1	GSM131206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	4 h continuous white light
GSE5617GSM131177	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-9	GSE5617GSM131177 sample	GSE5617GSM131177 extract	total_RNA	GSE5617GSM131177 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-9_1-DS_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-9_1-DS_REP1_ATH1	GSM131177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	45 min complete darkness
GSE5617GSM131192	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-17	GSE5617GSM131192 sample	GSE5617GSM131192 extract	total_RNA	GSE5617GSM131192 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-25_2-DS_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-25_2-DS_REP2_ATH1	GSM131192.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	45 min complete darkness
GSE5617GSM131207	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	hypocotyl and cotyledon	hypocotyl emergence stage	Col-0:  location: Growth Room Humidity: not adjusted Temperature: 22°C Lighting: darkness Medium: Murashige and Skoog / agar 1.2 % Stratification: 8°C, 48 hour darkness. Stock Code: N1092; Developmental stage: 0.7; Tissue: mainly hypocotyl and cotyledons	P-G5617-17	GSE5617GSM131207 sample	GSE5617GSM131207 extract	total_RNA	GSE5617GSM131207 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_D-41_3-DS_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_D-41_3-DS_REP3_ATH1	GSM131207.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.raw.1.zip	E-GEOD-5617-processed-data-1628498495.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5617/E-GEOD-5617.processed.1.zip	45 min complete darkness
