Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	Term Source REF	Term Accession Number	FactorValue[compound]	FactorValue[time]	Unit[time unit]
GSM476837 1	Gene expression data from untreated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476837 extract 1	total RNA	P-GSE19245-4	GSM476837 LE 1	biotin	P-GSE19245-5	GSM476837	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476837.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476837_sample_table.txt norm	GSM476837_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	none	0	hour
GSM476836 1	Gene expression data from untreated shoot cells (oas-a1.1 mutant)	Shoots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476836 extract 1	total RNA	P-GSE19245-4	GSM476836 LE 1	biotin	P-GSE19245-5	GSM476836	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476836_sample_table.txt norm	GSM476836_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	shoot	EFO	EFO_0000992	none	0	hour
GSM476835 1	Gene expression data from untreated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476835 extract 1	total RNA	P-GSE19245-4	GSM476835 LE 1	biotin	P-GSE19245-5	GSM476835	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476835_sample_table.txt norm	GSM476835_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	none	0	hour
GSM476834 1	Gene expression data from untreated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476834 extract 1	total RNA	P-GSE19245-4	GSM476834 LE 1	biotin	P-GSE19245-5	GSM476834	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476834_sample_table.txt norm	GSM476834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	none	0	hour
GSM476833 1	Gene expression data from untreated root cells (oas-a1.1 mutant)	Roots, oas-a1.1, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	oas-a1.1 	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476833 extract 1	total RNA	P-GSE19245-4	GSM476833 LE 1	biotin	P-GSE19245-5	GSM476833	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476833_sample_table.txt norm	GSM476833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	oas-a1.1 	root	EFO	EFO_0000989	none	0	hour
GSM476832 1	Gene expression data from untreated shoot cells (wild type)	Shoots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476832 extract 1	total RNA	P-GSE19245-4	GSM476832 LE 1	biotin	P-GSE19245-5	GSM476832	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476832_sample_table.txt norm	GSM476832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	none	0	hour
GSM476831 1	Gene expression data from untreated shoot cells (wild type)	Shoots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476831 extract 1	total RNA	P-GSE19245-4	GSM476831 LE 1	biotin	P-GSE19245-5	GSM476831	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476831_sample_table.txt norm	GSM476831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	none	0	hour
GSM476830 1	Gene expression data from untreated shoot cells (wild type)	Shoots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	shoot	EFO	EFO_0000992	P-GSE19245-2	P-GSE19245-3	GSM476830 extract 1	total RNA	P-GSE19245-4	GSM476830 LE 1	biotin	P-GSE19245-5	GSM476830	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476830_sample_table.txt norm	GSM476830_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	shoot	EFO	EFO_0000992	none	0	hour
GSM476829 1	Gene expression data from untreated root cells (wild type)	Roots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476829 extract 1	total RNA	P-GSE19245-4	GSM476829 LE 1	biotin	P-GSE19245-5	GSM476829	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476829.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476829_sample_table.txt norm	GSM476829_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	none	0	hour
GSM476828 1	Gene expression data from untreated root cells (wild type)	Roots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476828 extract 1	total RNA	P-GSE19245-4	GSM476828 LE 1	biotin	P-GSE19245-5	GSM476828	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476828_sample_table.txt norm	GSM476828_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	none	0	hour
GSM476827 1	Gene expression data from untreated root cells (wild type)	Roots, Wild Type, Untreated	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	root	EFO	EFO_0000989	P-GSE19245-2	P-GSE19245-3	GSM476827 extract 1	total RNA	P-GSE19245-4	GSM476827 LE 1	biotin	P-GSE19245-5	GSM476827	A-AFFY-2	P-GSE19245-6	P-GSE19245-7	GSM476827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.raw.1.zip	P-GSE19245-1	GSM476827_sample_table.txt norm	GSM476827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19245/E-GEOD-19245.processed.1.zip	wild type	root	EFO	EFO_0000989	none	0	hour
