Source Name	Material Type	Characteristics [Organism]	Description	Comment[Sample_source_name]	Characteristics[OrganismPart]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM]
GSE13641GSM343426	whole_organism	Rorippa amphibia	R. amphibia, submerged, roots, gene expression data from roots of 24 h submerged R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343426 sample	organism_part	P-G13641-5	GSE13641GSM343426 extract	total_RNA	P-G13641-3	GSE13641GSM343426 LE biotin	synthetic_RNA	biotin	R. amphibia, submerged, rep2	A-AFFY-2	GSM343426	GSM343426.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343426 Norm	GSM343426_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia
GSE13641GSM343427	whole_organism	Rorippa amphibia	R. amphibia, submerged, roots, gene expression data from roots of 24 h submerged R. amphibia roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343427 sample	organism_part	P-G13641-5	GSE13641GSM343427 extract	total_RNA	P-G13641-3	GSE13641GSM343427 LE biotin	synthetic_RNA	biotin	R. amphibia, submerged, rep3	A-AFFY-2	GSM343427	GSM343427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343427 Norm	GSM343427_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia
GSE13641GSM343428	whole_organism	Rorippa sylvestris	R. sylvestris, submerged, roots, gene expression data from roots of 24h submerged R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343428 sample	organism_part	P-G13641-5	GSE13641GSM343428 extract	total_RNA	P-G13641-3	GSE13641GSM343428 LE biotin	synthetic_RNA	biotin	R. sylvestris, submerged, rep1	A-AFFY-2	GSM343428	GSM343428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343428 Norm	GSM343428_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa sylvestris
GSE13641GSM343429	whole_organism	Rorippa sylvestris	R. sylvestris, submerged, roots, gene expression data from roots of 24h submerged R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343429 sample	organism_part	P-G13641-5	GSE13641GSM343429 extract	total_RNA	P-G13641-3	GSE13641GSM343429 LE biotin	synthetic_RNA	biotin	R. sylvestris, submerged, rep2	A-AFFY-2	GSM343429	GSM343429.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343429 Norm	GSM343429_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa sylvestris
GSE13641GSM343430	whole_organism	Rorippa sylvestris	R. sylvestris, submerged, roots, gene expression data from roots of 24h submerged R. sylvestris roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris, submerged, roots	root	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343430 sample	organism_part	P-G13641-5	GSE13641GSM343430 extract	total_RNA	P-G13641-3	GSE13641GSM343430 LE biotin	synthetic_RNA	biotin	R. sylvestris, submerged, rep3	A-AFFY-2	GSM343430	GSM343430.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343430 Norm	GSM343430_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa sylvestris
GSE13641GSM343431	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, submerged, roots, gene expression data from roots of 24h submerged F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, submerged, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343431 sample	organism_part	P-G13641-5	GSE13641GSM343431 extract	total_RNA	P-G13641-3	GSE13641GSM343431 LE biotin	synthetic_RNA	biotin	F1 hybrid, submerged, rep1	A-AFFY-2	GSM343431	GSM343431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343431 Norm	GSM343431_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343432	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, submerged, roots, gene expression data from roots of 24h submerged F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, submerged, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343432 sample	organism_part	P-G13641-5	GSE13641GSM343432 extract	total_RNA	P-G13641-3	GSE13641GSM343432 LE biotin	synthetic_RNA	biotin	F1 hybrid, submerged, rep2	A-AFFY-2	GSM343432	GSM343432.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343432 Norm	GSM343432_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343433	whole_organism	Rorippa amphibia x Rorippa sylvestris	F1 hybrid, submerged, roots, gene expression data from roots of 24h submerged F1 hybrid roots after applying a probe mask with genomic DNA hybridisation intensity threshold 80. clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	F1 hybrid, submerged, roots	root	clonal plant origin: Clonal plants derived from one germinated seed of an interspecific cross between the Rorippa amphibia and Rorippa sylvestris genotypes described here	P-G13641-1	P-G13641-2	GSE13641GSM343433 sample	organism_part	P-G13641-5	GSE13641GSM343433 extract	total_RNA	P-G13641-3	GSE13641GSM343433 LE biotin	synthetic_RNA	biotin	F1 hybrid, submerged, rep3	A-AFFY-2	GSM343433	GSM343433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343433 Norm	GSM343433_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	submerged	Rorippa amphibia x Rorippa sylvestris
GSE13641GSM343434	whole_organism	Rorippa amphibia	R. amphibia genomic DNA, R. amphibia genomic DNA used to make a probe mask. Genomic DNA was extracted using the Qiagen DNeasy Plant Mini Kit. 500 ng DNA was amplified and labeled using the Bioprime DNA labelling kit (Invitrogen) and 6.1 ug DNA was hybridised to the Affymetrix Ath1 Arabidopsis GeneChip. clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. amphibia genomic DNA	n/a	clonal plant origin: Clonal plants derived from a R. amphibia rhizome collected along the Yssel river near Doesburg, the Netherlands (N: 52º01'25'' E: 06º08'42'') and a R. sylvestris rhizome was collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343434 sample	organism_part	P-G13641-7	GSE13641GSM343434 extract	genomic_DNA	P-G13641-6	GSE13641GSM343434 LE biotin	synthetic_DNA	biotin	R. amphibia genomic DNA	A-AFFY-2	GSM343434	GSM343434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343434 Norm	GSM343434_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	n/a	Rorippa amphibia
GSE13641GSM343435	whole_organism	Rorippa sylvestris	R. sylvestris genomic DNA, R. sylvestris genomic DNA used to make a probe mask. Genomic DNA was extracted using the Qiagen DNeasy Plant Mini Kit. 500 ng DNA was amplified and labeled using the Bioprime DNA labelling kit (Invitrogen) and 6.1 ug DNA was hybridised to the Affymetrix Ath1 Arabidopsis GeneChip. clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	R. sylvestris genomic DNA	n/a	clonal plant origin: Clonal plants derived from a R. sylvestris rhizome collected along the river Rhine near Millingerwaard, the Netherlands (N: 51º52'02'' E: 06º08'42'')	P-G13641-1	P-G13641-2	GSE13641GSM343435 sample	organism_part	P-G13641-7	GSE13641GSM343435 extract	genomic_DNA	P-G13641-6	GSE13641GSM343435 LE biotin	synthetic_DNA	biotin	R. sylvestris genomic DNA	A-AFFY-2	GSM343435	GSM343435.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.raw.1.zip	P-G13641-4	GSE13641GSM343435 Norm	GSM343435_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13641/E-GEOD-13641.processed.1.zip	ATH1-121501.CDF	n/a	Rorippa sylvestris
