Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Characteristics[initial time point]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [treatment]
GSM861426 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif5 high R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861426 extract 1	total RNA	P-GSE35057-5	GSM861426 LE 1	biotin	P-GSE35057-6	GSM861426	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861426_pif5_high_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861426_sample_table.txt norm	GSM861426_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	high red/far-red light ratio
GSM861425 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif5 high R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif5 mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861425 extract 1	total RNA	P-GSE35057-5	GSM861425 LE 1	biotin	P-GSE35057-6	GSM861425	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861425_pif5_high_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861425_sample_table.txt norm	GSM861425_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif5 mutant	high red/far-red light ratio
GSM861424 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif4pif5 low R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861424 extract 1	total RNA	P-GSE35057-5	GSM861424 LE 1	biotin	P-GSE35057-6	GSM861424	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861424_pif4pif5_low_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861424_sample_table.txt norm	GSM861424_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	low red/far-red light ratio
GSM861423 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif4pif5 low R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861423 extract 1	total RNA	P-GSE35057-5	GSM861423 LE 1	biotin	P-GSE35057-6	GSM861423	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861423_pif4pif5_low_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861423_sample_table.txt norm	GSM861423_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	low red/far-red light ratio
GSM861422 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	pif4pif5 low R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861422 extract 1	total RNA	P-GSE35057-5	GSM861422 LE 1	biotin	P-GSE35057-6	GSM861422	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861422_pif4pif5_low_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861422_sample_table.txt norm	GSM861422_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	low red/far-red light ratio
GSM861421 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif4pif5 high R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861421 extract 1	total RNA	P-GSE35057-5	GSM861421 LE 1	biotin	P-GSE35057-6	GSM861421	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861421_pif4pif5_high_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861421_sample_table.txt norm	GSM861421_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	high red/far-red light ratio
GSM861420 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif4pif5 high R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861420 extract 1	total RNA	P-GSE35057-5	GSM861420 LE 1	biotin	P-GSE35057-6	GSM861420	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861420_pif4pif5_high_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861420_sample_table.txt norm	GSM861420_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	high red/far-red light ratio
GSM861419 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	pif4pif5 high R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	pif4pif5 double mutant	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861419 extract 1	total RNA	P-GSE35057-5	GSM861419 LE 1	biotin	P-GSE35057-6	GSM861419	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861419_pif4Pif5_high_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861419_sample_table.txt norm	GSM861419_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	pif4pif5 double mutant	high red/far-red light ratio
GSM861418 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	Col-0 low R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861418 extract 1	total RNA	P-GSE35057-5	GSM861418 LE 1	biotin	P-GSE35057-6	GSM861418	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861418_Col_low_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861418_sample_table.txt norm	GSM861418_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	low red/far-red light ratio
GSM861417 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	Col-0 low R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861417 extract 1	total RNA	P-GSE35057-5	GSM861417 LE 1	biotin	P-GSE35057-6	GSM861417	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861417_Col_low_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861417_sample_table.txt norm	GSM861417_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	low red/far-red light ratio
GSM861416 1	seedlings were kept for 1 h in high R/FR light in the morning and subsequently transfered to low R/FR for additional 2 h	plant seedlings	Col-0 low R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861416 extract 1	total RNA	P-GSE35057-5	GSM861416 LE 1	biotin	P-GSE35057-6	GSM861416	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861416_Col_low_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861416_sample_table.txt norm	GSM861416_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	low red/far-red light ratio
GSM861415 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	Col-0 high R/FR rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861415 extract 1	total RNA	P-GSE35057-5	GSM861415 LE 1	biotin	P-GSE35057-6	GSM861415	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861415_Col_high_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861415_sample_table.txt norm	GSM861415_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	high red/far-red light ratio
GSM861414 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	Col-0 high R/FR rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861414 extract 1	total RNA	P-GSE35057-5	GSM861414 LE 1	biotin	P-GSE35057-6	GSM861414	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861414_Col_high_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861414_sample_table.txt norm	GSM861414_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	high red/far-red light ratio
GSM861413 1	seedlings were kept for 3 h in high R/FR light in the morning	plant seedlings	Col-0 high R/FR rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	germination	Columbia-0	wild type	seedling	EFO	EFO_0001992	P-GSE35057-3	P-GSE35057-2	P-GSE35057-4	GSM861413 extract 1	total RNA	P-GSE35057-5	GSM861413 LE 1	biotin	P-GSE35057-6	GSM861413	A-AFFY-2	  	P-GSE35057-7	P-GSE35057-8	GSM861413_Col_high_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.raw.1.zip	P-GSE35057-1	GSM861413_sample_table.txt norm	GSM861413_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35057/E-GEOD-35057.processed.1.zip	wild type	high red/far-red light ratio
